,name,statid,ascents,lat,lon,min_lat_d,max_lat_d,min_lon_d,max_lon_d,max_time
190,LAGOS/OSHODI,0-20000-0-65202,7506,6.5,3.3833,-0.03184974111266836,0.03814842531909335,-0.14485083751157024,0.04331421257515178,2810.0247734110367
191,ENUGU,0-20000-0-65257,659,6.47,7.56,0.0,0.06712755307667706,-0.05035968752300235,0.012283370483059386,895.2533510099405
192,PARAKOU,0-20000-0-65330,34479,9.35,2.62,-0.0394516041274624,0.039415010993293365,-0.15184720587977907,0.01785229896720031,1855.73726161641
193,COTONOU,0-20000-0-65344,53328,6.35,2.3833,-0.040832869966886065,0.01445928385521178,-0.1018267088689524,0.02972769614354842,1694.1411808677026
194,TAMALE,0-20000-0-65418,2174,9.5,-0.85,-0.006995523806773818,0.013674333154250817,-0.04863072028745463,0.010918300047301432,1026.6146923692725
195,ABIDJAN,0-20000-0-65578,65484,5.25,-3.93,-0.042168579963864694,0.04461183158468085,-0.24669389721038693,0.01641581501209588,3764.2112495509527
196,ORLAND III (1241-1),0-20001-0-01241,43342,63.70544,9.61198,-0.4509607008510699,0.2713508175628405,-0.6989518328324049,0.5608104352991887,2639.9196860557367
197,EKOFISK (1400-1),0-20001-0-01400,15136,56.5422,3.2236,-0.1666219915198326,0.23145804720037688,-0.13476823542787875,0.6051493670072206,1603.0536664439112
198,STAVANGER/SOLA (1415-1),0-20001-0-01415,47141,58.87423,5.66505,-0.07262223251350264,0.025815185300238852,-0.04196951784665259,0.14487661620170922,1865.9218898990362
199,OSLO-BLINDERN (1492-1),0-20001-0-01492,2933,59.94269,10.71946,-0.04698967195272985,0.0015998303500879274,-0.0718433787731616,0.001374994064725854,826.8203469651785
200,VALENTIA OBSERVATORY (3953-1),0-20001-0-03953,84844,51.9381,-10.2433,-0.33792169794835303,0.20722325822658405,-0.5217113462024834,0.6242016320569039,4080.217949649696
201,MADRID/BARAJAS RS,0-20001-0-08221,46017,40.4653,-3.5797,-0.13387522785824757,0.03326200282284475,-0.02548366987918138,0.18105534875480211,1405.8984460357783
202,GIBRALTAR (8495-1),0-20001-0-08495,73256,36.15,-5.35,-0.4603492410132759,0.01157021596266361,-0.3156842775512061,0.06496195487085821,3239.4950649640077
203,LINDENBERG (10393-1),0-20001-0-10393,116183,52.2167,14.1167,-0.010758062871254026,4.391957126159696e-05,0.0,0.016429695904150776,869.8731831215637
204,ESSEN-BREDENEY (10410-1),0-20001-0-10410,66025,51.4056,6.9686,-0.1434136116336049,0.006816727586361537,-0.3565945859894608,0.004794792226670452,1393.2830168827622
205,MEININGEN (10548-1),0-20001-0-10548,62903,50.5617,10.3772,-0.07981350748607241,0.009986100427269662,-0.07339166378303474,0.07442077178363071,884.7144944319144
206,WIEN/HOHE WARTE (11035-1),0-20001-0-11035,97515,48.2488,16.3575,-0.0681323096308688,0.021232518602175787,0.0,0.054454338641736655,1933.1226160538724
207,UDINE/RIVOLTO RDS,0-20001-0-16045,67373,45.9806,13.0592,-0.0008895505250805513,0.0,-0.018523359580154164,0.0,301.429544139395
208,MILANO LINATE RDS,0-20001-0-16080,67849,45.4612,9.28413,-0.13697930475208864,0.07060854273778006,-0.4245309786732214,0.008951487131685809,2124.4103235258094
209,BRINDISI RDS,0-20001-0-16320,66946,40.65062,17.94772,-0.3520379268666787,0.14157763009426816,-0.19404119795190056,0.24564436333634276,3237.3769820183393
210,TRAPANI BIRGI RDS,0-20001-0-16429,48945,37.9142,12.4914,-0.23077842244585156,0.11777637353313963,-0.4271255427284739,0.15800815674392688,2101.1924380439687
211,KEM',0-20001-0-22522,56831,64.95,34.65,-0.027966494592988056,0.014531103408685908,-0.04291150294294255,0.07100544085916738,680.1768401917908
212,KAUNAS (26629-1),0-20001-0-26629,54228,54.8839,23.8358,-0.1691771077618327,0.07162000907873534,-0.44701653019699705,0.4583282009344032,4021.092027326147
213,KAZAN'(VYAZOVYE),0-20001-0-27594,2886,55.81444,48.51167,-0.007877239988907547,0.0012634539666649403,0.0,0.0070805985753779055,139.3814310861709
214,PERM' (28225-1),0-20001-0-28225,46904,57.9583,56.1972,0.0,0.008301221657532665,-0.0017398725974189233,0.002295786246392595,398.21272743693373
215,BREST (33008-1),0-20001-0-33008,51009,52.1167,23.6833,-0.6872358832077623,0.37116820637919545,-0.8832799571220349,0.7768544321699977,4789.722715283457
216,GOMEL (33041-1),0-20001-0-33041,36143,52.4019,30.9631,-0.4920195451580298,0.21108099032573335,-0.7050257801931394,0.6084171014895929,3526.67673612947
217,SARATOV (34172-1),0-20001-0-34172,60787,51.5567,46.0394,-0.11134063113576076,0.031790718731024015,-0.09561153604227002,0.041082601527982376,1119.0155213413866
218,VOLGOGRAD (34467-1),0-20001-0-34467,65417,48.7833,44.3333,-0.0551870899485607,0.035148161191429494,-0.10435365532739382,0.009445550592488416,824.1593260057596
219,ROSTOV-NA-DONU (34731-1),0-20001-0-34731,62441,47.25,39.8167,-0.023016428506714703,0.04063574653756774,-0.06842708129453001,0.0031955574216411264,732.8530766204938
220,ASTRAHAN' (34882-1),0-20001-0-34882,63621,46.2833,47.9833,-0.05683460175641386,0.023949000433574952,-0.20051479005977058,0.003941958242023702,1678.4964018182964
221,TUAPSE (37011-1),0-20001-0-37011,53363,44.1,39.0333,-0.013753589144521072,0.0,0.0,0.0423473255022202,561.4917141539976
222,MAHACHKALA (37259-1),0-20001-0-37259,29495,43.0,47.5,-0.02906898440478045,0.002151334471236055,0.0,0.0494400319256485,1107.1755879097764
223,YEREVAN AERO,0-20001-0-37789,50987,40.2169,44.5017,-0.0052466639375410296,0.0,-0.006321798607658025,0.0,122.0473264649267
224,TURKMENBASHI (38507-1),0-20001-0-38507,38102,40.03,52.98,-0.022188968966162292,0.009800856307407457,-0.0885863056275582,0.08082682461829194,1061.8686457251497
225,KUWAIT INTERNATIONAL AIRPORT (40582-1),0-20001-0-40582,48224,29.24,47.97,-0.26366731881482863,0.1274028971464496,-0.0013650846556316765,0.5291864737339083,2126.8748652185877
226,DOUALA R.S.,0-20001-0-64910,36629,4.02,9.7,-0.031161413286256767,0.012040380949983387,-0.06316203236187334,0.013644551887889378,1189.6655336035042
227,HEMSBY,0-20300-0-03496,70383,52.68,1.68,-0.47352243915818093,0.03754707848240457,-0.5371446662880919,0.20062920551499408,3838.7445108477314
228,GRACIOSA/AERODROMO,0-620-2001-0507,1591,39.09,-28.03,-0.07042178148247302,0.0731572380624641,0.0,0.32025851262822513,1528.0510279346786
229,GRACIOSA/AERODROMO,0-620-2001-08507,2200,39.0833,-28.0333,-0.07120321777513539,0.07281860018853337,-0.030432132531696965,0.32151582614108065,1528.3405351855442
