1/era5.conv._89644,89644, -66.95, 143.93,,,,
1/era5.conv._35225,35225,  50.75,  56.53,,,,
1/era5.conv._52983,52983,  36.87, 104.15,,,,
1/era5.conv._71976,71976,  66.87,-134.20,,,,
1/era5.conv._52657,52657,  38.18, 100.25,,,,
1/era5.conv._96535,96535,  -1.70, 109.30,,,,
1/era5.conv._38343,38343,  42.95,  72.75,,,,
1/era5.conv._28601,28601,  55.32,  50.62,,,,
1/era5.conv._53942,53942,  35.75, 109.42,  30.68, -97.68,19901213,99991231
1/era5.conv._62459,62459,  28.23,  32.62,,,,
1/era5.conv._42122,42122,  29.17,  73.17,,,,
1/era5.conv._82276,82276,  -3.32, -44.42,,,,
1/era5.conv._57666,57666,  28.48, 111.73,,,,
1/era5.conv._55248,55248,  32.07,  84.13,,,,
1/era5.conv._53821,53821,  36.77, 107.20,  37.48, -82.52,19911031,19930615
1/era5.conv._53853,53853,  36.82, 110.93,  30.40, -86.47,19961106,99991231
1/era5.conv._54237,54237,  42.07, 121.67,,,,
1/era5.conv._43069,43069,  18.15,  74.58,,,,
1/era5.conv._51855,51855,  38.15,  85.55,,,,
1/era5.conv._42135,42135,  30.17,  75.83,,,,
1/era5.conv._42426,42426,  26.27,  94.82,,,,
1/era5.conv._61660,61660,  14.67,  17.08,,,,
1/era5.conv._91928,91928, -14.80,-138.82,,,,
1/era5.conv._91931,91931, -16.77,-153.95,,,,
1/era5.conv._28957,28957,  52.68,  62.60,,,,
1/era5.conv._30565,30565,  54.45, 116.52,,,,
1/era5.conv._30969,30969,  49.92, 116.82,,,,
1/era5.conv._32207,32207,  48.05, 153.25,,,,
1/era5.conv._53664,53664,  38.47, 111.12,,,,
1/era5.conv._53745,53745,  37.47, 109.58,,,,
1/era5.conv._56173,56173,  32.82, 102.85,,,,
1/era5.conv._61997,61997, -46.50,  51.00,,,,
1/era5.conv._94050,94050,  -5.65, 147.80,  40.05,-107.89,19970227,99991231
1/era5.conv._32379,32379,  56.10, 159.90,,,,
1/era5.conv._35756,35756,  46.88,  64.67,,,,
1/era5.conv._67022,67022, -14.65,  49.62,,,,
1/era5.conv._30858,30858,  51.20, 113.72,,,,
1/era5.conv._40858,40858,  23.98,  50.83,,,,
1/era5.conv._94649,94649, -30.60, 130.40,,,,
1/era5.conv._57089,57089,  34.03, 113.72,,,,
1/era5.conv._67045,67045, -16.95,  46.83,,,,
1/era5.conv._42034,42034,  34.15,  77.57,,,,
1/era5.conv._52633,52633,  38.80,  98.42,,,,
1/era5.conv._42374,42374,  26.75,  82.08,,,,
1/era5.conv._43334,43334,  10.80,  73.95,,,,
1/era5.conv._94321,94321, -21.25, 132.61,,,,
1/era5.conv._58647,58647,  28.08, 119.12,,,,
1/era5.conv._62308,62308,  31.23,  27.86,,,,
1/era5.conv._31562,31562,  50.93, 138.20,,,,
1/era5.conv._62940,62940,   4.57,  28.40,,,,
1/era5.conv._40456,40456,  22.33,  54.00,,,,
1/era5.conv._94323,94323, -24.38, 132.43,,,,
1/era5.conv._43124,43124,  17.92,  71.53,,,,
1/era5.conv._94643,94643, -31.00, 125.32,,,,
1/era5.conv._97290,97290,  -8.47, 121.36,,,,
1/era5.conv._56067,56067,  33.45, 101.45,,,,
1/era5.conv._67207,67207, -12.13,  34.76,,,,
1/era5.conv._96533,96533,   1.08, 109.67,,,,
1/era5.conv._41516,41516,  15.51, 107.57,,,,
1/era5.conv._31306,31306,  53.53, 128.75,  11.60,  37.42,19640701,19670228
1/era5.conv._51701,51701,  40.27,  75.22, -12.02, -77.13,19571001,19950101
1/era5.conv._51931,51931,  36.85,  81.66,,,,
1/era5.conv._54587,54587,  39.02, 123.13,,,,
1/era5.conv._94208,94208, -15.50, 124.53,  45.62,-121.13,10101,99991231
1/era5.conv._94025,94025,  -4.45, 145.37,  40.50,-107.25,19661009,19661101
1/era5.conv._32227,32227,  59.15, 159.90,,,,
1/era5.conv._30915,30915,  50.38, 103.27,,,,
1/era5.conv._31996,31996,  43.43, 134.77,,,,
1/era5.conv._31895,31895,  45.63, 135.47,,,,
