primary_id	file_lat	wban_lat	file_lon	wban_lon	file
80426	6.13	-6.133333333333334	149.020004	149.03333333333333	149.020004	era5.1759.conv.2:80426
80429	1.65	-1.65	149.970001	149.96666666666667	149.970001	era5.1759.conv.2:80429
80430	1.68	-1.6833333333333333	149.970001	149.96666666666667	149.970001	era5.1759.conv.2:80430
80433	7.75	-7.75	147.619995	147.61666666666667	147.619995	era5.1759.conv.2:80433
80505	6.25	-6.25	155.119995	155.11666666666667	155.119995	era5.1759.conv.2:80505
80506	4.3	-4.3	154.119995	154.11666666666667	154.119995	era5.1759.conv.2:80506
80509	6.23	-6.233333333333333	155.119995	155.11666666666667	155.119995	era5.1759.conv.2:80509
80510	9.07	-9.066666666666666	159.229996	159.23333333333332	159.229996	era5.1759.conv.2:80510
80704	8.07	-8.066666666666666	178.380005	178.38333333333333	178.380005	era5.1759.conv.2:80704
81605	17.530001	-17.533333333333335	167.300003	167.3	167.300003	era5.1759.conv.2:81605
80402	8.77	-8.766666666666667	148.369995	148.36666666666667	148.369995	era5.1759.conv.2:80402
50402	2.9	-2.9	-40.869999	-40.86666666666667	-40.869999	era5.1759.conv.2:50402
80301	0.95	-0.95	134.820007	134.81666666666666	134.820007	era5.1759.conv.2:80301
80412	6.62	-6.616666666666667	147.850006	147.85	147.850006	era5.1759.conv.2:80412
82408	21.42	-21.416666666666668	145.229996	145.23333333333332	145.229996	era5.1759.conv.2:82408
80502	9.2	-9.2	152.949997	152.95	152.949997	era5.1759.conv.2:80502
80413	5.63	-5.633333333333333	146.5	146.5	146.5	era5.1759.conv.2:80413
80415	5.47	-5.466666666666667	148.419998	148.41666666666666	148.419998	era5.1759.conv.2:80415
80511	6.5	-6.5	155.169998	155.16666666666666	155.169998	era5.1759.conv.2:80511
80422	3.2	-3.2	142.449997	142.45	142.449997	era5.1759.conv.2:80422
80513	8.6	-8.6	157.919998	157.91666666666666	157.919998	era5.1759.conv.2:80513
80305	0.5	-0.5	132.080002	132.08333333333334	132.080002	era5.1759.conv.2:80305
