primary_id	station_name	files
0-124-0-73033	Vernon UA, BC	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._73033', '/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._71115']
0-124-0-73110	Shearwater UA, NS	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._73110']
0-20000-0-01001	JAN MAYEN (1001-0)	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01001']
0-20000-0-01002	VERLEGENHUKEN	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01002']
0-20000-0-01003	HORNSUND	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01003']
0-20000-0-01007	NY-ALESUND	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01004']
0-20000-0-01008	SVALBARD AP	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01008']
0-20000-0-01009	KARL XII OYA	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01009']
0-20000-0-01018	ANDOYA-TROLLTINDEN	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01006']
0-20000-0-01025	TROMSO/LANGNES	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01025']
0-20000-0-01037	SKIBOTN 2	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01035']
0-20000-0-01052	HAMMERFEST AP	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01052']
0-20000-0-01141	LEKNES AP	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01141']
0-20000-0-01144	HELLIGVAER II	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01138']
0-20000-0-01152	BODO VI	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01152']
0-20000-0-01205	SVINOY LH	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01206']
0-20000-0-01225	VEIHOLMEN	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01224']
0-20000-0-01241	ORLAND III (1241-0)	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01241']
0-20000-0-01253	SOKNEDAL	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01252']
0-20000-0-01262	NORDOYAN LH	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01262']
0-20000-0-01332	FJAERLAND-BREMUSEET	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01334']
0-20000-0-01384	OSLO/GARDERMOEN	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01384']
0-20000-0-01393	DREVSJO	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01393']
0-20000-0-01400	EKOFISK (1400-0)	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01400']
0-20000-0-01408	HAUGESUND AP	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01408']
0-20000-0-01431	SIRDAL-SINNES	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01432']
0-20000-0-01455	TVEITSUND	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01455']
0-20000-0-01465	TORUNGEN LH	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01465']
0-20000-0-02019	KATTERJAKK A	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._01020', '/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02020']
0-20000-0-02024	STORA SJOFALLET	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02026']
0-20000-0-02049	GALLIVARE	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02048']
0-20000-0-02054	NEDRE SOPPERO	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02084']
0-20000-0-02055	NAIMAKKA	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02055']
0-20000-0-02110	GIELAS	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02105', '/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02118']
0-20000-0-02119	KVIKKJOKK ARRENJARKA	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02120']
0-20000-0-02151	JOKKMOKK FPL	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02152']
0-20000-0-02154	VIDSEL	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02154']
0-20000-0-02176	PITE-RONNSKAR	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02158']
0-20000-0-02181	OVERKALIX-SVARTBYN	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02182']
0-20000-0-02186	LULEA-KALLAX (2186-0)	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02186', '/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02185']
0-20000-0-02226	OSTERSUND FROSON	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02225']
0-20000-0-02260	VASTMARKUM	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02259']
0-20000-0-02331	HUNGE	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02330']
0-20000-0-02365	SUNDSVALL HARNOSAND (2365-0)	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02365', '/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02366']
0-20000-0-02417	PALGRUNDEN	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02417']
0-20000-0-02432	OREBRO	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02432']
0-20000-0-02464	STOCKHOLM/BROMMA	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02465']
0-20000-0-02501	VADEROARNA	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02501']
0-20000-0-02516	VINGA	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02517']
0-20000-0-02518	NIDINGEN	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02519']
0-20000-0-02520	SATENAS	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02520']
0-20000-0-02527	GOTEBORG/LANDVETTER	['/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._02527']
