primary_id	station_name	files
0-20000-0-01007	NY-ALESUND	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:4796', '/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:4797']
0-20000-0-01025	TROMSO/LANGNES	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5628']
0-20000-0-01055	FRUHOLMEN LH	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5162']
0-20000-0-01098	VARDO	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5382']
0-20000-0-01107	ROST AP	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5303']
0-20000-0-01257	TRONDHEIM/VOLL	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5369']
0-20000-0-01317	BERGEN/FLORIDA	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5062', '/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:4887']
0-20000-0-01463	AS	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5046', '/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:4883']
0-20000-0-01466	KJELLER AP	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5479']
0-20000-0-01468	KONGSVINGER	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5337']
0-20000-0-02020	KATTERJAKK	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5492', '/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5573']
0-20000-0-02229	OSTERSUND, SOL	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5615']
0-20000-0-02429	DAGLOSEN	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5572']
0-20000-0-02464	STOCKHOLM/BROMMA	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5745']
0-20000-0-02531	GOTEBORG, SOL	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5679']
0-20000-0-02562	LINKOPING/MALMSLATT	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5701', '/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5700', '/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5225', '/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:6098', '/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5609', '/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5226']
0-20000-0-02611	HELSINGBORG	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5703']
0-20000-0-02635	MALMO	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5708']
0-20000-0-02667	KARLSKRONA-SODERSTJERNA	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5691']
0-20000-0-02744	TAMPERE SATAKUNNANKATU	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5522']
0-20000-0-02790	KUMLINGE KK	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:4995']
0-20000-0-02795	HELSINKI HARMAJA	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5515', '/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5516']
0-20000-0-02796	LIEKSA LAMPELA	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5513', '/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5210']
0-20000-0-02814	KEMIJARVI AIRFIELD	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5510']
0-20000-0-02836	SODANKYLA ARCTIC RESEARCH CENTRE	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5517']
0-20000-0-02883	KAJAANI PETAISENNISKA	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5506']
0-20000-0-02903	KRUUNUPYY AIRPORT	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5511']
0-20000-0-02913	KAUHAVA AIRFIELD	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5508', '/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5507', '/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5509']
0-20000-0-02937	KOKEMAKI TULKKILA	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5512']
0-20000-0-02956	KOUVOLA UTTI LENTOPORTINTIE	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5528', '/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5526', '/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:5527']
0-20000-0-02964	KUSTAVI ISOKARI	['/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:6124']
