primary_id	station_name	files
0-20000-0-10504	AMAPA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10504']
0-20000-0-10507	AMAPA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10507']
0-20000-0-10508	TIMEHRI/CHEDDI JAGAN INTERNATIONAL	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10508']
0-20000-0-10509	ZANDERIJ	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10509']
0-20000-0-10513	KOELN/BONN	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:10513']
0-20000-0-10544	WASSERKUPPE	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:10544']
0-20000-0-10637	FRANKFURT/MAIN	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:10637']
0-20000-0-10639	OFFENTHAL (RADAR)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:10639']
0-20000-0-10701	COROZAL OESTE	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10701']
0-20000-0-10705	COROZAL OESTE	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10705']
0-20000-0-10707	COROZAL OESTE	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10707']
0-20000-0-10710	TOCUMEN	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10710']
0-20000-0-10711	COROZAL OESTE	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10711']
0-20000-0-10712	COROZAL OESTE	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10712']
0-20000-0-10716	COROZAL OESTE	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10716']
0-20000-0-10739	STUTTGART/SCHNARRENBERG (10739-0)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:10739']
0-20000-0-10743	NIEDERSTETTEN	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:34163']
0-20000-0-10804	DAVID	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10804']
0-20000-0-10806	TOBIAS BOLANOS PALMA INTERNATIONAL AIRPORT	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10806']
0-20000-0-10865	MUENCHEN-STADT	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:34171']
0-20000-0-10868	MUENCHEN-OBERSCHLEISSHEIM	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:10868']
