primary_id	station_name	files
0-20000-0-01400	EKOFISK (1400-0)	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_001400.nc']
0-20000-0-01415	STAVANGER/SOLA (1415-0)	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_001415.nc']
0-20000-0-02186	LULEA-KALLAX (2186-0)	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_002185.nc']
0-20000-0-02226	OSTERSUND FROSON	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_002225.nc']
0-20000-0-02365	SUNDSVALL HARNOSAND (2365-0)	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_002365.nc']
0-20000-0-02464	STOCKHOLM/BROMMA	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_002465.nc']
0-20000-0-02531	GOTEBORG, SOL	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_002527.nc']
0-20000-0-02548	VISINGSO	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_002313.nc']
0-20000-0-02591	VISBY AEROLOGISKA STATION	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_002591.nc']
0-20000-0-02836	SODANKYLA ARCTIC RESEARCH CENTRE	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_002836.nc']
0-20000-0-02935	JYVASKYLA AIRPORT	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_002935.nc']
0-20000-0-02963	JOKIOINEN OBSERVATORY	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_002963.nc']
0-20000-0-02974	VANTAA HELSINKI-VANTAA AIRPORT	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_002974.nc']
0-20000-0-03005	LERWICK	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003005.nc']
0-20000-0-03023	SOUTH UIST RANGE	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003023.nc']
0-20000-0-03026	STORNOWAY AIRPORT	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003026.nc']
0-20000-0-03066	KINLOSS	['/raid60/scratch/leo/scratch/ncar/rda/UADB_trhc_003066.nc']
0-20000-0-03091	DYCE	['/raid60/scratch/leo/scratch/ncar/rda/UADB_trhc_003091.nc']
0-20000-0-03171	LEUCHARS	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003171.nc']
0-20000-0-03214	WALNEY ISLAND	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003213.nc']
0-20000-0-03238	ALBEMARLE	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003238.nc']
0-20000-0-03240	BOULMER	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003240.nc']
0-20000-0-03257	LEEMING	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003257.nc']
0-20000-0-03316	CROSBY	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003322.nc']
0-20000-0-03354	NOTTINGHAM, WATNALL	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003354.nc']
0-20000-0-03377	WADDINGTON	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003377.nc']
0-20000-0-03410	LAKE VYRNWY NO 2	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003317.nc']
0-20000-0-03414	SHAWBURY	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003414.nc']
0-20000-0-03469	HOLBEACH NO 2	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003470.nc']
0-20000-0-03482	MARHAM	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003476.nc']
0-20000-0-03488	WEYBOURNE	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_003496.nc']
