	date_time	sensor_id	value
0	1942-03-26 15:00:00	S07 	1
1	1942-04-20 15:00:00	S07 	1
2	1942-05-05 14:00:00	S07 	1
3	1942-05-12 15:00:00	S07 	1
4	1942-06-13 11:00:00	S07 	1
5	1942-06-24 15:00:00	S07 	1
6	1942-07-14 14:00:00	S07 	1
7	1942-10-10 14:00:00	S07 	1
8	1943-01-30 10:00:00	S07 	1
9	1943-03-23 17:00:00	S07 	1
10	1943-03-29 09:00:00	S07 	1
11	1943-04-01 08:00:00	S07 	1
12	1943-04-05 10:00:00	S07 	1
13	1943-04-17 08:00:00	S07 	1
14	1943-04-18 08:00:00	S07 	1
15	1943-04-24 15:00:00	S07 	1
16	1943-05-03 15:00:00	S07 	1
17	1943-05-04 15:00:00	S07 	1
18	1943-05-07 14:00:00	S07 	1
19	1943-05-13 08:00:00	S07 	1
20	1943-05-14 07:00:00	S07 	1
21	1943-05-18 11:00:00	S07 	1
22	1943-05-20 14:00:00	S07 	1
23	1943-05-21 14:00:00	S07 	1
24	1943-05-27 14:00:00	S07 	1
25	1943-05-28 15:00:00	S07 	1
26	1943-06-01 14:00:00	S07 	1
27	1943-06-02 14:00:00	S07 	1
28	1943-06-30 16:00:00	S07 	1
29	1943-07-06 07:00:00	S07 	1
30	1943-07-07 08:00:00	S07 	1
31	1943-07-12 13:00:00	S07 	1
32	1943-07-14 07:00:00	S07 	1
33	1943-07-15 07:00:00	S07 	1
34	1943-07-20 07:00:00	S07 	1
35	1943-07-21 07:00:00	S07 	1
36	1943-07-30 07:00:00	S07 	1
37	1943-07-31 07:00:00	S07 	1
38	1943-08-03 07:00:00	S07 	1
39	1943-08-05 15:00:00	S07 	1
40	1943-08-21 07:00:00	S07 	1
41	1943-08-24 07:00:00	S07 	1
42	1943-08-25 07:00:00	S07 	1
43	1943-08-31 07:00:00	S07 	1
44	1943-09-01 07:00:00	S07 	1
45	1943-09-02 07:00:00	S07 	1
46	1943-09-28 07:00:00	S07 	1
47	1943-09-29 07:00:00	S07 	1
48	1943-09-30 07:00:00	S07 	1
49	1943-10-01 07:00:00	S07 	1
50	1943-10-14 07:00:00	S07 	1
51	1943-10-15 07:00:00	S07 	1
52	1943-10-16 07:00:00	S07 	1
53	1943-10-26 07:00:00	S07 	1
54	1943-10-27 07:00:00	S07 	1
55	1943-10-28 07:00:00	S07 	1
56	1943-10-29 07:00:00	S07 	1
57	1943-11-17 08:00:00	S07 	1
58	1943-11-18 08:00:00	S07 	1
59	1943-11-23 09:00:00	S07 	1
60	1943-12-04 08:00:00	S07 	1
61	1943-12-06 10:00:00	S07 	1
62	1943-12-07 09:00:00	S07 	1
63	1944-01-07 13:00:00	S07 	1
64	1944-01-08 08:00:00	S07 	1
65	1944-01-09 08:00:00	S07 	1
66	1944-01-10 08:00:00	S07 	1
67	1944-01-14 14:00:00	S07 	1
68	1944-01-20 07:00:00	S07 	1
69	1944-01-21 08:00:00	S07 	1
70	1944-02-18 08:00:00	S07 	1
71	1944-02-21 07:00:00	S07 	1
72	1944-03-14 08:00:00	S07 	1
73	1944-03-16 08:00:00	S07 	1
74	1944-03-22 15:00:00	S07 	1
75	1944-03-23 08:00:00	S07 	1
76	1944-03-23 15:00:00	S07 	1
77	1944-03-24 08:00:00	S07 	1
