,station,start,end,obs,lat,lon,rh,temp,u,v,rh_h,temp_h,u_h,v_h
667,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_VEM00080422.csv,2012-05-0712:00:00+00,2014-10-0712:00:00+00,5484,10.6667,-63.25,,,,,,,,
668,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_VEM00080444.csv,1986-06-0312:00:00+00,2008-10-1512:00:00+00,3028,8.15,-63.55,,,,,,,,
669,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_VEM00080447.csv,1966-06-0912:00:00+00,2013-10-1712:00:00+00,63436,7.85,-72.45,,,,,,,,
670,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_UVM00065503.csv,1977-06-0112:00:00+00,2022-10-1312:00:00+00,254194,12.35,-1.5167,,,,,,,,
671,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_VEM00080450.csv,2007-03-1212:00:00+00,2011-07-1812:00:00+00,4758,7.9,-67.4167,,,,,,,,
672,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_VEM00080462.csv,1974-07-0912:00:00+00,2011-12-3012:00:00+00,9208,4.6,-61.1167,,,,,,,,
673,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_VMM00048839.csv,2012-05-0300:00:00+00,2023-05-0600:00:00+00,171277,20.1333,107.717,,,,,,,,
674,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_VMM00048845.csv,2009-03-1000:00:00+00,2023-05-0400:00:00+00,214529,18.6667,105.683,,,,,,,,
675,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_WAM00068098.csv,1990-02-1400:00:00+00,2016-10-2812:00:00+00,46835,-22.9833,14.65,,,,,,,,
676,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_USM00074646.csv,2000-01-0100:00:00+00,2023-05-0612:00:00+00,1041994,36.6,-97.5,0.5084143922713503,0.11328437015970232,0.14021695795635808,-0.4249847120385073,0.39395714530947346,0.11438662640566143,0.1273534320922842,-0.4378336505693647
677,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_USM00072681.csv,1965-01-0100:00:00+00,2023-05-0712:00:00+00,2554050,43.5672,-116.211,-1.35474057942373,0.36970543053069127,0.21433332696695473,-0.23627941911755468,-0.5671529760663063,0.28369300482149234,0.2288978249214774,-0.27544436777142195
678,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZIM00067774.csv,1970-01-1400:00:00+00,2017-12-2600:00:00+00,174222,-17.8333,31.0167,,,,,,,,
679,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV00ASDE01.csv,2006-11-1500:00:00+00,2017-08-1011:00:00+00,147239,999.0,999.0,,,,,,,,
680,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_USM00072712.csv,1965-01-0100:00:00+00,2023-05-0712:00:00+00,2387069,46.8683,-68.0136,0.7755135442182853,0.22350849423854696,0.17476420691173233,0.0924712084880589,1.3070343645614202,0.2446931665469092,0.19631974551175688,0.11411700355002181
681,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV00ASDE02.csv,2006-11-1112:00:00+00,2017-10-0811:00:00+00,141343,999.0,999.0,,,,,,,,
682,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV00ASDE03.csv,2006-11-2318:00:00+00,2017-06-2911:00:00+00,137878,999.0,999.0,,,,,,,,
683,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV00ASDE09.csv,2007-05-2312:00:00+00,2023-03-2311:00:00+00,35905,999.0,999.0,,,,,,,,
684,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV00ASDE04.csv,2006-06-1912:00:00+00,2016-09-3011:00:00+00,136673,999.0,999.0,,,,,,,,
685,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_USM00072694.csv,1965-01-0100:00:00+00,2023-05-0712:00:00+00,2586887,44.9092,-123.008,0.02420908104121213,0.17932758331190335,0.18453167732004616,-0.2826686670870203,0.03804230718449659,0.10973533037395893,0.19974487364138907,-0.3208614816440587
686,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_VMM00048855.csv,1965-01-0100:00:00+00,2023-05-0612:00:00+00,745914,16.0667,108.35,0.2736496404983926,0.3541412732343446,-0.3880203905015782,-0.0817575299176822,0.606166852382757,0.31043311278980473,-0.3904916076667554,-0.08425294475656785
687,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_USM00072747.csv,1965-01-0100:00:00+00,2023-05-0712:00:00+00,2423227,48.5647,-93.3975,0.2431558219509163,0.18882313452565036,0.31858706291992905,0.004850956578018527,0.9529287762659188,0.23851929328275,0.3381965436124913,0.0245252865065146
688,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV00ASDK01.csv,2007-03-0306:00:00+00,2021-07-2223:00:00+00,121429,999.0,999.0,,,,,,,,
689,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_WAM00068110.csv,1986-05-0100:00:00+00,2023-05-0612:00:00+00,414767,-22.5667,17.1,,,,,,,,
690,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_USM00072776.csv,1965-01-0100:00:00+00,2023-05-0712:00:00+00,2307159,47.4614,-111.385,0.13183618091969243,0.13486442954696493,0.23342020329941474,0.020980713217962216,0.8353273741342643,0.09778526434257316,0.25354972242515605,0.0411905329090317
691,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_VMM00048820.csv,1965-03-2412:00:00+00,2023-05-0612:00:00+00,917146,21.0333,105.8,0.18283903539821034,0.259209966524525,0.0915923204931719,-0.01174142035026717,0.4719177617061613,0.25168682874388865,0.0977407508202348,-0.005595432611896651
692,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV000ASDK3.csv,2009-01-2912:00:00+00,2015-03-1800:00:00+00,85350,999.0,999.0,,,,,,,,
693,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV00ASDK02.csv,2007-07-1300:00:00+00,2017-11-0811:00:00+00,125361,999.0,999.0,,,,,,,,
694,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV00ASES01.csv,2008-01-1112:00:00+00,2017-09-2111:00:00+00,99168,999.0,999.0,,,,,,,,
695,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_USM00072768.csv,1965-01-0100:00:00+00,2023-05-0712:00:00+00,2365376,48.2067,-106.626,-0.5710583014030642,0.11197190878261534,0.2760948392865314,-0.050096214597179015,-0.6602181737935248,0.10586125628468274,0.2912018785771303,-0.09130810956389361
696,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_VMM00048900.csv,1965-01-0100:00:00+00,2023-05-0612:00:00+00,831388,10.8167,106.667,1.50840776817122,0.18518523117901142,-0.21237128053394655,-0.07752604644866241,1.5115795373370597,0.1846842855358662,-0.21519335072601584,-0.08042640138948613
697,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV00ASEU01.csv,2006-11-1200:00:00+00,2017-09-0511:00:00+00,105972,999.0,999.0,,,,,,,,
698,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV00ASEU02.csv,2007-01-2500:00:00+00,2017-09-0823:00:00+00,117215,999.0,999.0,,,,,,,,
699,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_USM00072764.csv,1965-01-0100:00:00+00,2023-05-0712:00:00+00,2434945,46.7717,-100.759,-0.23130562691411613,0.19265487567657918,0.40948024746163675,-0.18564985917226798,-0.17508959802620783,0.16284204294845087,0.42473152817714327,-0.2270504433327847
700,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_USM00074455.csv,1995-02-1700:00:00+00,2023-05-0712:00:00+00,1894484,41.6114,-90.5817,0.31255227713632566,0.3079885151156247,0.37239876315253995,0.15915268851214875,0.2577066524152938,0.2027829046739569,0.38817309575577985,0.11497512235349235
701,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_USM00072786.csv,1965-01-0100:00:00+00,2023-05-0712:00:00+00,2363790,47.6806,-117.627,-0.2660073195082014,0.11164211991160584,0.248555735853899,-0.27989652701311063,-0.15956481158173078,0.11582265906378221,0.2641482805956232,-0.32262935924199043
702,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV00ASEU03.csv,2007-01-1300:00:00+00,2017-07-0617:00:00+00,112567,999.0,999.0,,,,,,,,
703,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV00ASEU04.csv,2006-11-1112:00:00+00,2017-09-1711:00:00+00,92082,999.0,999.0,,,,,,,,
704,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV00ASGB01.csv,2007-01-0112:00:00+00,2011-07-0912:00:00+00,34735,999.0,999.0,,,,,,,,
705,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV00ASEU05.csv,2006-11-1700:00:00+00,2017-08-1423:00:00+00,98335,999.0,999.0,,,,,,,,
706,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV0000EBUQ.csv,2003-02-1312:00:00+00,2007-11-0412:00:00+00,26172,999.0,999.0,,,,,,,,
707,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV00ASEU06.csv,2011-08-2418:00:00+00,2017-08-0923:00:00+00,88412,999.0,999.0,,,,,,,,
708,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_USM00072797.csv,1966-07-3012:00:00+00,2023-05-0712:00:00+00,2529502,47.9339,-124.56,1.4150838556971879,0.1807607618150285,0.2576233493019655,-0.2808326379947041,1.4946772667686736,0.16287173192650717,0.27690777235514025,-0.26147352063129037
709,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV000ASFR2.csv,2007-04-0400:00:00+00,2018-05-2711:00:00+00,91714,999.0,999.0,,,,,,,,
710,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV000ASFR4.csv,2010-02-2515:00:00+00,2018-06-0216:00:00+00,93475,999.0,999.0,,,,,,,,
711,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV000ASFR3.csv,2010-02-0200:00:00+00,2018-06-0917:00:00+00,101193,999.0,999.0,,,,,,,,
712,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV000ASFR1.csv,2007-03-2215:00:00+00,2018-03-2512:00:00+00,132817,999.0,999.0,,,,,,,,
713,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV000ELML7.csv,2000-01-1012:00:00+00,2005-11-3012:00:00+00,76365,999.0,999.0,,,,,,,,
714,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ZZV0000JCCX.csv,1988-01-1600:00:00+00,2009-10-1300:00:00+00,63012,999.0,999.0,,,,,,,,
715,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_USM00074494.csv,1970-11-1800:00:00+00,2021-03-3112:00:00+00,2205719,41.6569,-69.9589,0.89887957423727,0.29968156903010934,0.38672931668257043,0.1078352227398879,0.9493891260514213,0.33303074724145565,0.40430601623221374,0.05753796714575041
