1759/era5.1759.conv.2:10715,10715,10715
1759/era5.1759.conv.2:13711,13711,0-20000-0-72303
1759/era5.1759.conv.2:14710,14710,0-20000-0-72605
1759/era5.1759.conv.1941,20694,0-20000-0-47159
1759/era5.1759.conv.2:25302,25302,0-20000-0-70361
1759/era5.1759.conv.2:12849,12849,0-20000-0-74783
1759/era5.1759.conv.2:13712,13712,0-20000-0-72302
1759/era5.1759.conv.2:13859,13859,13859
1759/era5.1759.conv.2:15603,15603,0-20000-0-71421
1759/era5.1759.conv.2:14714,14714,74482
1759/era5.1759.conv.2:23115,23115,0-20000-0-72286
1759/era5.1759.conv.2:12851,12851,12881
1759/era5.1759.conv.2:26609,26609,0-20000-0-70116
1759/era5.1759.conv.2:13717,13717,0-20000-0-74791
1759/era5.1759.conv.2:34002,34002,0-20000-0-07790
1759/era5.1759.conv.2:13860,13860,0-20000-0-72217
1759/era5.1759.conv.2:80702,80702,
1759/era5.1759.conv.2:23117,23117,23117
1759/era5.1759.conv.2:12853,12853,0-20000-0-72202
1759/era5.1759.conv.2:10713,10713,10713
1759/era5.1759.conv.2:30001,30001,0-20000-0-65203
1759/era5.1759.conv.2:34106,34106,0-20000-0-16261
1759/era5.1759.conv.2:25504,25504,0-20000-0-70333
1759/era5.1759.conv.2:13950,13950,13950
1759/era5.1759.conv.2:13754,13754,0-20000-0-72309
1759/era5.1759.conv.2:81301,81301,
1759/era5.1759.conv.1:94335,94335,0-20000-0-94335
1759/era5.1759.conv.2:24111,24111,0-20000-0-72581
1759/era5.1759.conv.2:13903,13903,13903
1759/era5.1759.conv.2:34112,34112,0-20000-0-16320
1759/era5.1759.conv.2:31001,31001,0-20000-0-65046
1759/era5.1759.conv.2:12854,12854,0-20000-0-72205
1759/era5.1759.conv.2:11103,11103,0-20000-0-61641
1759/era5.1759.conv.2:23118,23118,0-20000-0-72488
1759/era5.1759.conv.2:14701,14701,0-20000-0-72520
1759/era5.1759.conv.2:81304,81304,
1759/era5.1759.conv.2:14721,14721,0-20000-0-72508
1759/era5.1759.conv.2:24114,24114,0-20000-0-72786
1759/era5.1759.conv.2:34121,34121,0-20000-0-16324
1759/era5.1759.conv.2:13921,13921,0-20000-0-72446
