1761/era5.1761.conv.1904,671,
1761/era5.1761.conv.1905,10393,0-20000-0-10393
1761/era5.1761.conv.1906,10393,0-20000-0-10393
1761/era5.1761.conv.1907,10393,0-20000-0-10393
1761/era5.1761.conv.1908,10393,0-20000-0-10393
1761/era5.1761.conv.1909,10393,0-20000-0-10393
1761/era5.1761.conv.1910,10393,0-20000-0-10393
1761/era5.1761.conv.1911,10393,0-20000-0-10393
1761/era5.1761.conv.1912,10393,0-20000-0-10393
1761/era5.1761.conv.1913,10393,0-20000-0-10393
1761/era5.1761.conv.1914,10393,0-20000-0-10393
1761/era5.1761.conv.1915,10393,0-20000-0-10393
1761/era5.1761.conv.1916,10393,0-20000-0-10393
1761/era5.1761.conv.1918,14903,0-20000-0-72550
1761/era5.1761.conv.1917,10393,0-20000-0-10393
1761/era5.1761.conv.1919,13924,13924
1761/era5.1761.conv.1920,72405,0-20000-0-72405
1761/era5.1761.conv.1921,93829,0-20000-0-72222
1761/era5.1761.conv.1922,41407,91212
1761/era5.1761.conv.1923,93829,0-20000-0-72222
1761/era5.1761.conv.1924,94881,94881
1761/era5.1761.conv.1925,41407,91212
1761/era5.1761.conv.1926,22517,0-20000-0-91182
1761/era5.1761.conv.1927,72550,72546
1761/era5.1761.conv.1928,24234,0-20000-0-72793
1761/era5.1761.conv.1929,4115,0-20000-0-72681
1761/era5.1761.conv.1930,4115,0-20000-0-72681
1761/era5.1761.conv.1931,24244,0-20000-0-72793
1761/era5.1761.conv.1932,72219,0-20000-0-72219
1761/era5.1761.conv.1933,24244,0-20000-0-72793
1761/era5.1761.conv.1934,72365,0-20000-0-72365
1761/era5.1761.conv.1935,24244,0-20000-0-72793
1761/era5.1761.conv.1936,72266,0-20000-0-72266
1761/era5.1761.conv.1937,72266,0-20000-0-72266
1761/era5.1761.conv.1938,72266,0-20000-0-72266
1761/era5.1761.conv.1939,23075,0-20000-0-72363
1761/era5.1761.conv.1940,72266,0-20000-0-72266
1761/era5.1761.conv.1941,72266,0-20000-0-72266
1761/era5.1761.conv.1942,72266,0-20000-0-72266
1761/era5.1761.conv.1943,23197,0-20000-0-72293
1761/era5.1761.conv.1946,25501,0-20000-0-70350
1761/era5.1761.conv.1947,47412,0-20000-0-47412
1761/era5.1761.conv.1944,23113,0-20000-0-72274
1761/era5.1761.conv.1945,23113,0-20000-0-72274
1761/era5.1761.conv.1967,42182,0-20000-0-42182
1761/era5.1761.conv.1965,42182,0-20000-0-42182
1761/era5.1761.conv.1966,48855,0-20000-0-48855
1761/era5.1761.conv.1948,23199,0-20000-0-72281
1761/era5.1761.conv.1949,11601,0-20000-0-78948
1761/era5.1761.conv.1968,13858,0-20000-0-72221
1761/era5.1761.conv.1969,13858,0-20000-0-72221
1761/era5.1761.conv.1950,47604,0-20000-0-47604
1761/era5.1761.conv.1964,25501,0-20000-0-70350
1761/era5.1761.conv.1970,13858,0-20000-0-72221
1761/era5.1761.conv.1971,13858,0-20000-0-72221
1761/era5.1761.conv.1972,48698,0-20000-0-48698
1761/era5.1761.conv.1951,47412,0-20000-0-47412
1761/era5.1761.conv.1961,25501,0-20000-0-70350
1761/era5.1761.conv.1952,47412,0-20000-0-47412
1761/era5.1761.conv.1963,25501,0-20000-0-70350
1761/era5.1761.conv.1962,41515,0-20000-0-41515
1761/era5.1761.conv.1953,47744,0-20000-0-47744
1761/era5.1761.conv.1960,25501,0-20000-0-70350
1761/era5.1761.conv.1973,8508,0-20000-0-08508
1761/era5.1761.conv.1959,1093,0-20000-0-41150
1761/era5.1761.conv.1:1001,1001,0-20000-0-01001
1761/era5.1761.conv.1974,72311,0-20000-0-72311
1761/era5.1761.conv.1954,96465,0-20000-0-96465
1761/era5.1761.conv.1955,1491,0-20000-0-93891
1761/era5.1761.conv.1:10035,10035,0-20000-0-10035
1761/era5.1761.conv.1:10113,10113,0-20000-0-10113
1761/era5.1761.conv.1:10147,10147,0-20000-0-10147
1761/era5.1761.conv.1975,72311,0-20000-0-72311
1761/era5.1761.conv.1:10169,10169,0-20000-0-10169
1761/era5.1761.conv.1976,72311,0-20000-0-72311
1761/era5.1761.conv.1956,48877,0-20000-0-48877
1761/era5.1761.conv.1:1028,1028,0-20000-0-01028
1761/era5.1761.conv.1:10184,10184,0-20000-0-10184
1761/era5.1761.conv.1:1030,1030,0-20000-0-01030
1761/era5.1761.conv.1977,72311,0-20000-0-72311
1761/era5.1761.conv.1978,25701,70454
1761/era5.1761.conv.1:10384,10384,0-20000-0-10384
1761/era5.1761.conv.1:10385,10385,0-20000-0-10385
1761/era5.1761.conv.1:10338,10338,0-20000-0-10338
1761/era5.1761.conv.1979,72311,0-20000-0-72311
1761/era5.1761.conv.1:10513,10513,0-20000-0-10513
1761/era5.1761.conv.1:10544,10544,0-20000-0-10544
1761/era5.1761.conv.1:10454,10454,0-20000-0-10454
1761/era5.1761.conv.1:10637,10637,0-20000-0-10637
1761/era5.1761.conv.1:10639,10639,0-20000-0-10637
1761/era5.1761.conv.1:10868,10868,0-20000-0-10868
