	file	kind	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
22	era5.conv._94732	MATCHING_ID_NONMATCHING_COORD	0-20777-0-94732	 	23	94732	 	 	 	 	 	[148.83, 148.83]	[-34.27, -34.27]	 	19800804	19800804	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
23	era5.conv._40552	MATCHING_ID_NONMATCHING_COORD	0-20777-0-40552	 	24	40552	 	 	 	 	 	[48.1, 48.1]	[30.0, 30.0]	 	19830428	19830428	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
24	era5.conv._38816	MATCHING_ID_NONMATCHING_COORD	0-20777-0-38816	 	25	38816	 	 	 	 	 	[-9.99, -9.99]	[0.99, 0.99]	 	19930725	19930725	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
25	era5.conv._25777	ORPHAN	0-20888-0-25777	 	26	25777	 	 	 	 	 	179.13	62.42	 	19851012	19851012	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
26	era5.conv._04207	ORPHAN	0-20888-0-04207	 	27	4207	 	 	 	 	 	-59.0	81.73	 	19920820	19920820	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
27	era5.conv._42191	ORPHAN	0-20888-0-42191	 	28	42191	 	 	 	 	 	79.12	28.05	 	19810523	19810523	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
28	era5.conv._34271	ORPHAN	0-20888-0-34271	 	29	34271	 	 	 	 	 	45.88	50.82	 	19820326	19820326	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
29	era5.conv._30165	ORPHAN	0-20888-0-30165	 	30	30165	 	 	 	 	 	115.98	58.43	 	19840115	19840115	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
30	era5.conv._31895	ORPHAN	0-20888-0-31895	 	31	31895	 	 	 	 	 	135.47	45.63	 	19790903	19790903	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
31	era5.conv._64455	ORPHAN	0-20888-0-64455	 	32	64455	 	 	 	 	 	16.8	-1.22	 	19790725	19800611	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
32	era5.conv._97330	ORPHAN	0-20888-0-97330	 	33	97330	 	 	 	 	 	127.2	-8.07	 	19800416	19800416	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
33	era5.conv._28426	ORPHAN	0-20888-0-28426	 	34	28426	 	 	 	 	 	57.27	56.52	 	19860612	19860612	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
34	era5.conv._35699	MATCHING_ID_NONMATCHING_COORD	0-20777-0-35699	 	35	35699	 	 	 	 	 	[74.82, 74.82]	[47.45, 47.45]	 	19810315	19810315	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
35	era5.conv._42063	ORPHAN	0-20888-0-42063	 	36	42063	 	 	 	 	 	77.07	32.58	 	19810531	19810531	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
36	era5.conv._02502	ORPHAN	0-20888-0-02502	 	37	2502	 	 	 	 	 	12.03	58.9	 	19800710	19800710	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
37	era5.conv._40915	ORPHAN	0-20888-0-40915	 	38	40915	 	 	 	 	 	69.5	36.73	 	19810506	19810506	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
38	era5.conv._28028	ORPHAN	0-20888-0-28028	 	39	28028	 	 	 	 	 	56.6	59.38	 	19810113	19810113	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
39	era5.conv._40917	ORPHAN	0-20888-0-40917	 	40	40917	 	 	 	 	 	70.08	36.85	 	19810616	19810616	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
40	era5.conv._94641	MATCHING_ID_NONMATCHING_COORD	0-20777-0-94641	 	41	94641	 	 	 	 	 	[128.2, 128.2]	[-31.83, -31.83]	 	19810826	19810826	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
