primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	station_configuration_code
0-20000-0-07690	5	17	[]	[]	NICE	[]	[]	0	7.209000110626221	43.64799880981445	NA	1943-01-04	1948-12-31	1	0	63	NMS	[]	Saint-Laurent-du-Var	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	6.5180047764930995	7.899995444759342	43.14799880981445	44.14799880981445	S. Schroeder	0	8
0-20000-0-07761	5	18	[]	[]	AJACCIO	[]	[]	0	8.791999816894531	41.917999267578125	NA	1951-01-04	1958-12-31	1	0	63	NMS	[]	Ajaccio	NA	NA	0	63	29	1	NA	NA	[2, 29]	NA	[]	8.12004866860076	9.463950965188303	41.417999267578125	42.417999267578125	S. Schroeder	0	13
0-20000-0-27612	5	19	[]	[]	MOSKVA VDNH	[]	[]	0	37.25	55.93000030517578	NA	1946-03-12	1953-12-31	1	0	63	NMS	[]	Skhodnya	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	36.35747013181579	38.14252986818421	55.43000030517578	56.43000030517578	S. Schroeder	0	13
0-20000-0-43192	5	20	[]	[]	GOA/PANJIM	[]	[]	0	73.81999969482422	15.430000305175781	NA	1954-05-01	1956-04-27	1	0	63	NMS	[]	Mormugao	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	73.30130394224454	74.3386954474039	14.930000305175781	15.930000305175781	S. Schroeder	0	8
0-20000-0-61766	5	21	617661	-1	BISSAU AEROPORTO	[]	[]	0	-15.5	11.869999885559082	NA	1961-01-02	1967-06-19	1	0	63	NMS	[]	Bissau	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	-16.01092520582938	-14.98907479417062	11.369999885559082	12.369999885559082	S. Schroeder	0	8
0-20000-0-61931	5	22	[]	[]	S. TOME	[]	[]	0	6.71999979019165	0.3799999952316284	NA	1957-01-02	1972-09-30	1	0	63	NMS	[]	Port-Gentil	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	6.219988793301523	7.220010787081778	-0.12000000476837158	0.8799999952316284	S. Schroeder	0	8
0-20000-0-61980	5	23	[]	[]	SAINT-DENIS/GILLOT (REUNION)	[]	[]	0	55.52799987792969	-20.892000198364258	NA	1953-03-01	1961-12-31	1	0	63	NMS	[]	Sainte-Marie	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	54.99281367229568	56.06318608356369	-21.392000198364258	-20.392000198364258	S. Schroeder	0	8
0-20000-0-61996	5	24	[]	[]	MARTIN DE VIVIES (ILE AMSTERDAM)	[]	[]	0	77.56900024414062	-37.79499816894531	NA	1950-05-21	1957-12-30	1	0	63	NMS	[]	Mahébourg	NA	NA	0	63	29	1	NA	NA	[111, 112, 2]	NA	[]	76.93625586035661	78.20174462792464	-38.29499816894531	-37.29499816894531	S. Schroeder	0	13
0-20000-0-61998	5	25	[]	[]	PORT-AUX-FRANCAIS (ILES KERGUELEN)	[]	[]	0	70.24299621582031	-49.35200119018555	NA	1950-01-18	1957-12-31	1	0	63	NMS	[]	Saint-Joseph	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	69.47543054298684	71.01056188865378	-49.85200119018555	-48.85200119018555	S. Schroeder	0	8
0-20000-0-07747	5	26	6607	-1	PERPIGNAN	[]	[]	0	2.871999979019165	42.73699951171875	NA	1925-01-17	1948-12-31	1	0	63	NMS	[]	Perpignan	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	2.1912430149856834	3.5527569430526467	42.23699951171875	43.23699951171875	S. Schroeder	0	8
