	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	elevation
27	0-20000-0-01271	0	27	9:1391,9:1396,9:4175	3	TRONDHEIM/VERNES			0	10.935	63.45916666666667		19401201	19420406	1	0	63	NMS	166.0	Trondheim									117,126							L.Haimberger	0	17.06
28	0-20000-0-01304	0	28	LDWR	3	YTTEROYANE LH			0	4.681666666666667	61.57166666666667		19780207	19780207	1	0	63	NMS	166.0	Askoy									106,107,117,126,137,138,139,140,39							L.Haimberger	0	25.3
29	0-20000-0-01317	0	29	4176,4887,5062,9:4176,C:4887,C:5062	3	BERGEN/FLORIDA			0	5.333611111111111	60.38305555555556		19040401	19550422	1	0	63	NMS	166.0	Bergen									106,107,117,126,137,138,139,140							L.Haimberger	0	35.7
30	0-20000-0-01332	0	30	1334	3	FJAERLAND-BREMUSEET			0	6.764166666666667	61.42305555555555		20050811	20050811	1	0	63	NMS	166.0	Bergen									106,107,117,126,137,138,139,140,39							L.Haimberger	0	54.0
31	0-20000-0-01384	0	31	1384,1:1384,2:36101	3	OSLO/GARDERMOEN			0	11.08	60.20638888888889		19320107	20010401	1	0	63	NMS	166.0	Jessheim									106,107,117,126,137,138,139,140,39							L.Haimberger	0	207.56
32	0-20000-0-01393	0	32	1393	3	DREVSJO			0	12.033333333333331	61.88972222222222		19860429	19860429	1	0	63	NMS	166.0	Elverum									106,107,117,126,137,138,139,140,39							L.Haimberger	0	673.5
33	0-20000-0-01408	0	33	1408	3	HAUGESUND AP			0	5.197777777777778	59.34972222222223		20151014	20151014	1	0	63	NMS	166.0	Leirvik									106,107,117,126,137,138,139,140,39							L.Haimberger	0	26.21
34	0-20000-0-01430	0	34	3:OWPE,OWPE	3	MANDAL III			0	7.451666666666667	58.02444444444444		19680527	19680527	1	0	63	NMS	166.0	Mandal									106,107,117,139,140,39							L.Haimberger	0	-999.0
35	0-20000-0-01431	0	35	1432	3	SIRDAL-SINNES			0	6.9094444444444445	58.922777777777775		19811223	19811223	1	0	63	NMS	166.0	Stavanger									106,107,117,126,137,138,139,140,39							L.Haimberger	0	555.4
36	0-20000-0-01452	0	36	9:1392	3	KRISTIANSAND/KJEVIK			0	8.076666666666666	58.2		19401201	19420406	1	0	63	NMS	166.0	Kristiansand									117,126							L.Haimberger	0	17.37
37	0-20000-0-01455	0	37	1455	3	TVEITSUND			0	8.520555555555557	59.026944444444446		19920612	19920612	1	0	63	NMS	166.0	Larvik									106,107,117,126,137,138,139,140,39							L.Haimberger	0	254.88
38	0-20000-0-01463	0	38	4883,5046,C:4883,C:5046	3	AS			0	10.781944444444443	59.660555555555554		19091126	19601231	1	0	63	NMS	166.0	Drobak									106,107,117,126,137,138,139,140							L.Haimberger	0	93.0
39	0-20000-0-01465	0	39	1465	3	TORUNGEN LH			0	8.789166666666667	58.39861111111111		19891024	19891024	1	0	63	NMS	166.0	Kristiansand									106,107,117,126,137,138,139,140,39							L.Haimberger	0	15.0
40	0-20000-0-01468	0	40	5337,C:5337	3	KONGSVINGER			0	12.006666666666666	60.19027777777777		19120224	19560425	1	0	63	NMS	166.0	Kongsvinger									106,107,117,126,137,138,139,140							L.Haimberger	0	127.76
41	0-20000-0-02019	0	41	1020,5734,9:1389	3	KATTERJAKK A			0	18.16805555555556	68.42027777777778		19230212	19810622	1	0	63	NMS	196.0	Narvik									106,107,117,126,137,138,139,140,39							L.Haimberger	0	516.2
42	0-20000-0-02020	0	42	2020,5573,C:5573	3	KATTERJAKK			0	18.17138888888889	68.42111111111112		19201005	19860106	1	0	63	NMS	196.0	Narvik									106,107,117,126,137,138,139,140,39							L.Haimberger	0	517.3
43	0-20000-0-02049	0	43	2048	3	GALLIVARE			0	20.64583333333333	67.14222222222223		19881201	19881201	1	0	63	NMS	196.0	Kiruna									106,107,117,126,137,138,139,140,39							L.Haimberger	0	359.83
44	0-20000-0-02054	0	44	2084	3	NEDRE SOPPERO			0	21.755	68.04388888888889		19801213	19810114	1	0	63	NMS	196.0	Kiruna									106,107,117,126,137,138,139,140,39							L.Haimberger	0	360.0
