	file	kind	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
166	era5.10885.bfr	ORPHAN	0-20888-0-10885	 	167	10885	 	 	 	 	 	0.5	83.1	 	19710612	19710612	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
167	era5.1039.bfr	ORPHAN	0-20888-0-10039	 	168	10039	 	 	 	 	 	133.0	29.7	 	19720309	19731220	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
168	era5.1030.bfr	ORPHAN	0-20888-0-10030	 	169	10030	 	 	 	 	 	-30.3	61.3	 	19710417	19710417	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
169	era5.1083.bfr	ORPHAN	0-20888-0-10083	 	170	10083	 	 	 	 	 	83.9	-31.6	 	19710805	19710805	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
170	era5.10146.bfr	MATCHING_ID_NONMATCHING_COORD	0-20777-0-10146	 	171	10146	 	 	 	 	 	[-146.9, -146.9]	[-29.4, -29.4]	 	19710720	19710720	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
171	era5.10150.bfr	COORDINATE_ISSUES	0-20666-0-10150	 	172	10150	 	 	 	 	 			 	19710112	19721014	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
172	era5.29915.bfr	MATCHING_ID_NONMATCHING_COORD	0-20777-0-29915	 	173	29915	 	 	 	 	 	[78.65, 78.65]	[53.97, 53.97]	 	19650901	19660416	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
173	era5.10938.bfr	ORPHAN	0-20888-0-10938	 	174	10938	 	 	 	 	 	-12.3	38.8	 	19710915	19710915	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
174	era5.10427.bfr	MATCHING_ID_NONMATCHING_COORD	0-20777-0-10427	 	175	10427	 	 	 	 	 	[-55.0, -55.0]	[17.7, 17.7]	 	19720613	19730531	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
175	era5.52995.bfr	ORPHAN	0-20888-0-52995	 	176	52995	 	 	 	 	 	104.62	35.58	 	19590801	19591231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
176	era5.57238.bfr	ORPHAN	0-20888-0-57238	 	177	57238	 	 	 	 	 	108.48	32.1	 	19731117	19781220	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
177	era5.6745.bfr	ORPHAN	0-20888-0-67045	 	178	67045	 	 	 	 	 	46.8	-17.0	 	19700602	19721218	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
178	era5.25621.bfr	ORPHAN	0-20888-0-25621	 	179	25621	 	 	 	 	 	158.9	64.0	 	19620311	19631229	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
179	era5.78825.bfr	ORPHAN	0-20888-0-78825	 	180	78825	 	 	 	 	 	-109.2	10.3	 	19680617	19680922	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
180	era5.10411.bfr	ORPHAN	0-20888-0-10411	 	181	10411	 	 	 	 	 	127.0	31.0	 	19711123	19720713	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
