primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0-20000-0-11035	5	17	-1	-1	WIEN/HOHE WARTE (11035-0)	-1	-1	0	16.37	48.25	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Vienna	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	15.619115833143583	17.12088416685642	47.75	48.75	S. Schroeder	0
-1	-1	18	-1	-1		-1	-1	0	151.8	78.9	NA	1958-01-01	1961-10-30	1	0	63	NMS	-1	Anadyr	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	149.20289376312437	154.39710623687566	78.4	79.4	S. Schroeder	0
0-20000-0-11518	5	19	-1	-1	PRAHA/RUZYNE	-1	-1	0	14.28	50.1	NA	1958-01-01	1969-07-16	1	0	63	NMS	-1	Prague	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	13.500515570681884	15.059484429318115	49.6	50.6	S. Schroeder	0
0-20000-0-01152	5	20	-1	-1	BODO VI	-1	-1	0	14.37	67.27	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Bodø	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	13.075967400231276	15.664032599768722	66.77	67.77	S. Schroeder	0
0-20000-0-78526	5	21	-1	-1	SAN JUAN/INT.,  PUERTO RICO	-1	-1	0	-66.0	18.43	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Carolina	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-66.52703110486348	-65.47296889513652	17.93	18.93	S. Schroeder	0
0-20000-0-78897	5	22	-1	-1	LE RAIZET AERO	-1	-1	0	-61.52	16.27	NA	1958-01-01	1972-12-31	1	0	63	NMS	-1	Les Abymes	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-62.04085931274026	-60.99914068725975	15.77	16.77	S. Schroeder	0
0-20000-0-78988	5	23	-1	-1	HATO AIRPORT, CURACAO (78988-0)	-1	-1	0	-68.98	12.22	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Willemstad	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-69.49159160761658	-68.46840839238342	11.72	12.72	S. Schroeder	0
0-20000-0-78866	5	24	-1	-1	JULIANA AIRPORT,  ST. MAARTEN	-1	-1	0	-63.12	18.05	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Basseterre	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-63.64588042359186	-62.59411957640813	17.55	18.55	S. Schroeder	0
0-20000-0-78467	5	25	-1	-1	SABANA DE LA MAR	-1	-1	0	-69.38	19.05	NA	1958-01-01	1962-08-04	1	0	63	NMS	-1	Samaná	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-69.90896948807874	-68.85103051192125	18.55	19.55	S. Schroeder	0
0-20000-0-78862	5	26	-1	-1	VC BIRD INT'L AIRPORT ANTIGUA	-1	-1	0	-61.78	17.12	NA	1958-01-01	1970-05-31	1	0	63	NMS	-1	Sainte-Rose	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-62.303182029822636	-61.256817970177366	16.62	17.62	S. Schroeder	0
