	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	,primary_id,primary_id_scheme,record_number,secondary_id,secondary_id_scheme,station_name,station_abbreviation,alternative_name,station_crs,longitude,latitude,local_gravity,start_date,end_date,station_type,platform_type,platform_sub_type,operating_institute,operating_territory,city,contact,role,observing_frequency,reporting_time,telecommunication_method,station_automation,measuring_system_model,measuring_system_id,observed_variables,comment,optional_data,bbox_min_longitude,bbox_max_longitude,bbox_min_latitude,bbox_max_latitude,metadata_contact,metadata_contact_role
25	0-20000-0-01192	0	25	4178,9:4178,NOXUAC04178	3	NARVIK,STRAUMSNES			0	17.66	68.43		19400929	19410628	1	0	63	NMS	166.0	Narvik					29	1			106,107,117,126,138							E. Tramutola,L.Haimberger	0.0	
26	0-20000-0-01205	0.0	26	01206	1.0,3.0	SVINOY LH			0.0	5.27	62.33		20171107	20180405	1.0	0.0	63.0			Molde									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
27	0-20000-0-01224	0.0	27	01224	1.0,3.0	AALESUND			0.0	6.21	62.47		19921217	19921217	1.0	0.0	63.0			Kristiansund									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
28	0-20000-0-01253	0.0	28	01252	1.0,3.0	SOKNEDAL			0.0	10.18	62.95		19880321	19880321	1.0	0.0	63.0			Trondheim									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
29	0-20000-0-01257	0.0	29	C:5369	1.0,3.0	TRONDHEIM/VOLL			0.0	10.45	63.41		19250819	19280326	1.0	0.0	63.0			Trondheim									106,107,117							L.Haimberger	0.0	
30	0-20000-0-01262	0.0	30	01262	1.0,3.0	NORDOYAN LH			0.0	10.55	64.8		19971122	19971122	1.0	0.0	63.0			Steinkjer									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
31	0-20000-0-01271	0.0	31	9:1391,9:1396,9:4175	1.0,3.0	TRONDHEIM/VERNES			0.0	10.94	63.46		19401203	19420321	1.0	0.0	63.0			Trondheim									117,126							L.Haimberger	0.0	
32	0-20000-0-01317	0	32	4176,9:4176,C:4887,C:5062,NOXUAC04176	3	BERGEN,BERGEN/FLORIDA			0	5.33	60.38		19230403	19420331	1	0	63	NMS	166.0	Bergen					29	1			106,107,117,126,138							E. Tramutola,L.Haimberger	0.0	
33	0-20000-0-01332	0.0	33	01334	1.0,3.0	FJAERLAND-BREMUSEET			0.0	6.76	61.42		20050811	20050811	1.0	0.0	63.0			Bergen									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
34	0-20000-0-01384	0.0	34	01384,1384,1:1384	1.0,3.0	OSLO/GARDERMOEN			0.0	11.08	60.21		19320107	20010401	1.0	0.0	63.0			Jessheim									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
35	0-20000-0-01393	0.0	35	01393	1.0,3.0	DREVSJO			0.0	12.03	61.89		19860429	19860429	1.0	0.0	63.0			Elverum									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
36	0-20000-0-01408	0.0	36	01408	1.0,3.0	HAUGESUND AP			0.0	5.2	59.35		20151014	20151014	1.0	0.0	63.0			Leirvik									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
37	0-20000-0-01412	0.0	37	10256,6:102561	1.0,3.0	OBRESTAD			0.0	5.56	58.66		19720831	19720928	1.0	0.0	63.0												104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
