,Country,City,AccentCity,Region,Population,Latitude,Longitude
6,ad,andorra la vella,Andorra la Vella,7.0,20430.0,42.5,1.5166667
32,ad,encamp,Encamp,3.0,11224.0,42.5333333,1.5833333
53,ad,les escaldes,Les Escaldes,8.0,15854.0,42.5,1.5333333
93,ae,abu dhabi,Abu Dhabi,1.0,603687.0,24.466667,54.36666700000001
242,ae,dubai,Dubai,3.0,1137376.0,25.258172,55.304717
490,ae,sharjah,Sharjah,6.0,543942.0,25.35731,55.40330400000001
1384,af,acin,Acin,18.0,15098.0,34.082481,70.668152
3717,af,anar darreh,Anar Darreh,6.0,10023.0,32.758697999999995,61.653969
3784,af,andarab,Andarab,3.0,27034.0,35.633484,69.260195
4547,af,asadabad,Asadabad,34.0,48400.0,34.873113000000004,71.14697
4799,af,asmar,Asmar,34.0,15708.0,35.033328000000004,71.358087
5410,af,aybak,Aybak,32.0,47877.0,36.26468,68.015512
5678,af,azrow,Azrow,17.0,12526.0,34.173553000000005,69.645728
6644,af,baglan,Baglan,3.0,108481.0,36.130684,68.708286
6651,af,bagrami,Bagrami,13.0,30256.0,34.493761,69.274274
7935,af,baraki barak,Baraki Barak,17.0,22305.0,33.9675,68.948611
11059,af,cah ab,Cah Ab,26.0,23424.0,37.397734,69.814644
11524,af,carikar,Carikar,40.0,53693.0,35.016585,69.174011
14630,af,ciras,Ciras,33.0,12778.0,35.416737,65.982341
18389,af,dawlatabad,Dawlatabad,7.0,13603.0,36.432589,64.920713
18390,af,dawlatabad,Dawlatabad,30.0,17674.0,36.98782,66.82066
19611,af,deh rawud,Deh Rawud,39.0,25683.0,32.624131,65.459659
22872,af,eskasem,Eskasem,1.0,12120.0,36.706932,71.570658
23231,af,farah,Farah,6.0,43574.0,32.374508,62.116383
24457,af,gardez,Gardez,36.0,103732.0,33.597439,69.225922
25037,af,gazni,Gazni,8.0,143049.0,33.550833000000004,68.4225
25187,af,geresk,Geresk,10.0,43638.0,31.820894,64.570048
29709,af,herat,Herat,11.0,272880.0,34.348167,62.199673
30969,af,jalalabad,Jalalabad,18.0,200389.0,34.426468,70.45153
32582,af,jurm,Jurm,1.0,12121.0,36.864768,70.83420699999998
32756,af,kabul,Kabul,13.0,3043589.0,34.516667,69.18333299999999
40647,af,kholm,Kholm,30.0,64954.0,36.697362,67.698255
40903,af,khowst,Khowst,37.0,96246.0,33.339512,69.92041
44398,af,kuhestan,Kuhestan,11.0,12087.0,34.653889,61.197778
45272,af,kusk,Kusk,11.0,16952.0,33.29565,61.952206
46301,af,lar gerd,Lar Gerd,33.0,11635.0,35.48936099999999,66.664088
49564,af,mehtar lam,Mehtar Lam,35.0,17350.0,34.671389000000005,70.20944399999999
50172,af,mirabad,Mirabad,19.0,14160.0,30.436244,61.838304
53427,af,nahrin,Nahrin,3.0,22389.0,36.064904,69.13343
56128,af,nuristan,Nuristan,38.0,17072.0,34.95,70.4
56562,af,orgun,Orgun,29.0,10665.0,32.901111,69.152798
56920,af,pagman,Pagman,13.0,49173.0,34.5875,68.953333
