date	counts
198409	20591
198410	21639
198411	20939
198412	21413
198501	21750
198502	19594
198503	21598
198504	20954
198505	21324
198506	20549
198507	21323
198508	20950
198509	20037
198510	21080
198511	20561
198512	21339
198601	21822
198602	19908
198603	21645
198604	20752
198605	21481
198606	20301
198607	21041
198608	21178
198609	20856
198610	21783
198611	21237
198612	22009
198701	21979
198702	20094
198703	21969
198704	21118
198705	21957
198706	21030
198707	21536
198708	21666
198709	21188
198710	22102
198711	21660
198712	22311
198801	22190
198802	20592
198803	22119
198804	21281
198805	21892
198806	21034
198807	21640
198808	21811
198809	21446
198810	22085
198811	21892
198812	22691
198901	22685
198902	20097
198903	22203
198904	21324
198905	21949
198906	20652
198907	21537
198908	21701
198909	21040
198910	22065
198911	21756
198912	21696
199001	21672
199002	20126
199003	22252
199004	21376
199005	21803
199006	20786
199007	21581
199008	21502
199009	20488
199010	21052
199011	20418
199012	20968
199101	20881
199102	19040
199103	21173
199104	20662
199105	21471
199106	20045
199107	20720
199108	21157
199109	20149
199110	20667
199111	19984
199112	20570
199201	19721
199202	18893
199203	20097
199204	19606
199205	20453
199206	19711
199207	20529
199208	20505
199209	20004
199210	20775
199211	20576
199212	21047
199301	20769
199302	19045
199303	20869
199304	20373
199305	20676
199306	19969
199307	20353
199308	20122
199309	18672
199310	19494
199311	18855
199312	19298
199401	19337
199402	17904
199403	19599
199404	19122
199405	19733
199406	18839
199407	19505
199408	19748
199409	19125
199410	19797
199411	19178
199412	19710
199501	18787
199502	16847
199503	18562
199504	17963
199505	18669
199506	17725
199507	18431
199508	18274
199509	17540
199510	18309
199511	17901
199512	18361
199601	18280
199602	16602
199603	17649
199604	17023
199605	17450
199606	16432
199607	16944
199608	16719
199609	16007
199610	16544
199611	16215
199612	16835
199701	16484
199702	15268
199703	16884
199704	17048
199705	17300
199706	16866
199707	17427
199708	17191
199709	17155
199710	17223
199711	16627
199712	17165
199801	17606
199802	15772
199803	17532
199804	16709
199805	17367
199806	16177
199807	16730
199808	16678
199809	15767
199810	16337
199811	15736
199812	15425
199901	15872
199902	14991
199903	16842
199904	16160
199905	16456
199906	15718
199907	16154
199908	15764
199909	15138
199910	15644
199911	15332
199912	16233
200001	16366
200002	15634
200003	16396
200004	15920
200005	17045
200006	16815
200007	17130
200008	17240
200009	16715
200010	17683
200011	16868
200012	17486
200101	17339
200102	16277
200103	17483
200104	17586
200105	18077
200106	17121
200107	17266
200108	17608
200109	16686
200110	17309
200111	16809
200112	17130
200201	17113
200202	15666
200203	17346
200204	16844
200205	17423
200206	16924
200207	17693
200208	17624
200209	17028
