	file	reportype	kind
63	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00062.gz	16019	MOBILE
64	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00063.gz	16019	MOBILE
65	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00064.gz	16019	MOBILE
66	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00065.gz	16019	MOBILE
67	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00066.gz	16019	MOBILE
68	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00067.gz	16019	MOBILE
69	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00068.gz	16019	MOBILE
70	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00069.gz	16019	MOBILE
71	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00070.gz	16019	MOBILE
72	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00071.gz	16019	MOBILE
73	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00072.gz	16019	MOBILE
74	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00073.gz	16019	MOBILE
75	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00074.gz	16019	MOBILE
76	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00075.gz	16019	MOBILE
77	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00076.gz	16019	MOBILE
78	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00077.gz	16019	MOBILE
79	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00078.gz	16019	MOBILE
80	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00079.gz	16019	MOBILE
81	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00080.gz	16019	MOBILE
82	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00081.gz	16019	MOBILE
83	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00082.gz	16019	MOBILE
84	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00083.gz	16019	MOBILE
85	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00084.gz	16019	MOBILE
86	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00085.gz	16019	MOBILE
87	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00086.gz	16019	MOBILE
88	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00087.gz	16019	MOBILE
89	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00088.gz	16019	MOBILE
90	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00089.gz	16019	MOBILE
91	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00090.gz	16019	MOBILE
92	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00091.gz	16019	MOBILE
93	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00092.gz	16019	MOBILE
94	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00093.gz	16019	MOBILE
95	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00094.gz	16019	MOBILE
96	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00095.gz	16019	MOBILE
97	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00096.gz	16019	MOBILE
98	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00097.gz	16019	MOBILE
99	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00098.gz	16019	MOBILE
100	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00099.gz	16019	MOBILE
101	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00100.gz	16019	MOBILE
102	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00101.gz	16019	MOBILE
103	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00102.gz	16019	MOBILE
104	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00103.gz	16019	MOBILE
105	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00104.gz	16019	MOBILE
106	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00105.gz	16019	MOBILE
107	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00106.gz	16019	MOBILE
108	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00107.gz	16019	MOBILE
109	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00108.gz	16019	MOBILE
110	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00109.gz	16019	MOBILE
111	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00110.gz	16019	MOBILE
112	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00111.gz	16019	MOBILE
113	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00112.gz	16019	MOBILE
114	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00113.gz	16019	MOBILE
115	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00114.gz	16019	MOBILE
116	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00115.gz	16019	MOBILE
117	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00116.gz	16019	MOBILE
118	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00117.gz	16019	MOBILE
119	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00118.gz	16019	MOBILE
120	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00119.gz	16019	MOBILE
121	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00120.gz	16019	MOBILE
122	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00121.gz	16019	MOBILE
123	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00122.gz	16019	MOBILE
124	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00123.gz	16019	MOBILE
125	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00124.gz	16019	MOBILE
126	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00125.gz	16019	MOBILE
127	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00126.gz	16019	MOBILE
128	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00127.gz	16019	MOBILE
129	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00128.gz	16019	MOBILE
130	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00129.gz	16019	MOBILE
131	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00130.gz	16019	MOBILE
132	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00131.gz	16019	MOBILE
133	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00132.gz	16019	MOBILE
134	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00133.gz	16019	MOBILE
135	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00134.gz	16019	MOBILE
