/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20600-0-6:102023_era5_2_harvested_era5.conv._6:10202.gz.nc	62.1	62.2	-33.5	-33.0
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20000-0-72291_era5_2_harvested_era5.conv._72291.gz.nc	33.23	33.7	-119.45	-117.83
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20600-0-6:108289_era5_2_harvested_era5.conv._6:10828.gz.nc	58.9	58.9	-29.5	-19.1
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20600-0-6:100959_era5_2_harvested_era5.conv._6:10095.gz.nc	33.5	35.0	-134.8	-130.7
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20600-0-1:53231_era5_2_harvested_era5.conv._1:53231.gz.nc	41.45	42.37	106.38	108.2
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20000-0-02527_era5_2_harvested_era5.conv._02527.gz.nc	57.66	57.72	11.78	12.3
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20000-0-14015_era5_2_harvested_era5.conv._13017.gz.nc	34.3	46.07	-6.6	14.52
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20600-0-99905_era5_2_harvested_era5.conv._99905.gz.nc	33.6	57.8	-50.4	-13.5
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20000-0-80453_era5_2_harvested_era5.conv._1:80413.gz.nc	7.3	10.25	-67.65	-61.45
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20600-0-6:102177_era5_2_harvested_era5.conv._6:10217.gz.nc	18.7	31.7	-176.4	179.9
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20600-0-61696_era5_2_harvested_era5.conv._61696.gz.nc	33.1	42.7	-45.7	-45.7
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20600-0-6:102231_era5_2_harvested_era5.conv._6:10223.gz.nc	14.2	18.9	107.4	119.1
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20000-0-72232_era5_2_harvested_era5.conv._1:72232.gz.nc	29.33	29.97	-89.4	-89.38
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20000-0-53513_era5_2_harvested_era5.conv._53513.gz.nc	39.97	40.77	106.75	107.4
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20000-0-53068_era5_2_harvested_era5.conv._53068.gz.nc	43.65	44.22	111.53	112.0
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20600-0-6:100815_era5_2_harvested_era5.conv._6:10081.gz.nc	-60.4	-60.4	-81.5	81.5
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20600-0-6:101001_era5_2_harvested_era5.conv._6:10100.gz.nc	-51.3	-49.0	100.1	100.1
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20600-0-99910_era5_2_harvested_era5.conv._99910.gz.nc	-88.2	90.0	-179.9	180.0
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20000-0-99013_era5_2_harvested_era5.conv._99906.gz.nc	37.0	67.7	-72.0	6.1
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20600-0-6:101377_era5_2_harvested_era5.conv._6:10137.gz.nc	-10.7	-10.7	-137.7	137.7
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20000-0-72232_era5_2_harvested_era5.conv._72232.gz.nc	29.33	29.97	-89.4	-89.38
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20000-0-72243_era5_2_harvested_era5.conv._72243.gz.nc	29.42	30.0	-95.4	-95.22
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20000-0-99014_era5_2_harvested_era5.conv._99907.gz.nc	16.4	67.7	-145.8	120.6
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20600-0-6:102800_era5_2_harvested_era5.conv._6:10280.gz.nc	-43.7	-34.0	113.5	154.9
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20000-0-56374_era5_2_harvested_era5.conv._1:56374.gz.nc	29.43	30.08	102.03	102.23
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20000-0-99006_era5_2_harvested_era5.conv._99901.gz.nc	-89.6	90.0	-179.9	180.0
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20001-0-10771_era5_2_harvested_era5.conv._1:10687.gz.nc	49.1	49.7	11.13	11.95
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20000-0-72223_era5_2_harvested_era5.conv._1:72223.gz.nc	30.6	30.7	-88.3	-87.75
/raid60/scratch/federico/MAY2021_HARVEST/era5_2/0-20000-0-53513_era5_2_harvested_era5.conv._1:53513.gz.nc	39.97	40.77	106.75	107.4
