127.0.0.1, 2018-09-13 23:30:43, GET, /admin/static/_2.17.1/css/calendar.css, HTTP/1.1, 304, 0.000221
127.0.0.1, 2018-09-13 23:30:43, GET, /admin/static/_2.17.1/js/calendar.js, HTTP/1.1, 304, 0.000209
127.0.0.1, 2018-09-13 23:30:43, GET, /admin/static/_2.17.1/js/web2py.js, HTTP/1.1, 304, 0.000210
127.0.0.1, 2018-09-13 23:30:43, GET, /admin/static/_2.17.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000225
127.0.0.1, 2018-09-13 23:30:43, GET, /admin/static/_2.17.1/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000213
127.0.0.1, 2018-09-13 23:30:44, GET, /admin/static/_2.17.1/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000367
127.0.0.1, 2018-09-13 23:30:44, GET, /admin/static/_2.17.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000263
127.0.0.1, 2018-09-13 23:30:44, GET, /admin/static/_2.17.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000223
127.0.0.1, 2018-09-13 23:30:44, GET, /admin/static/_2.17.1/css/bootstrap.min.css, HTTP/1.1, 304, 0.000214
127.0.0.1, 2018-09-13 23:30:44, GET, /admin/static/_2.17.1/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000218
127.0.0.1, 2018-09-13 23:30:44, GET, /admin/static/_2.17.1/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000206
127.0.0.1, 2018-09-13 23:30:44, GET, /admin/static/_2.17.1/js/bootstrap.min.js, HTTP/1.1, 304, 0.000197
127.0.0.1, 2018-09-13 23:30:44, GET, /admin/static/_2.17.1/images/help.png, HTTP/1.1, 304, 0.000258
127.0.0.1, 2018-09-13 23:30:54, GET, /raobvis/, HTTP/1.1, 500, 1.835461
127.0.0.1, 2018-09-13 23:31:07, GET, /admin/default/ticket/raobvis/127.0.0.1.2018-09-13.23-30-52.fc89ae03-44f2-4079-a832-1ce5ee2b8c98, HTTP/1.1, 200, 0.034249
127.0.0.1, 2018-09-13 23:32:19, GET, /admin/default/ticket/raobvis/127.0.0.1.2018-09-13.23-30-52.fc89ae03-44f2-4079-a832-1ce5ee2b8c98, HTTP/1.1, 200, 0.122935
127.0.0.1, 2018-09-13 23:32:19, GET, /admin/static/_2.17.1/js/jquery.js, HTTP/1.1, 304, 0.000320
127.0.0.1, 2018-09-13 23:32:19, GET, /admin/static/_2.17.1/css/calendar.css, HTTP/1.1, 304, 0.000195
127.0.0.1, 2018-09-13 23:32:20, GET, /admin/static/_2.17.1/js/calendar.js, HTTP/1.1, 304, 0.000214
127.0.0.1, 2018-09-13 23:32:20, GET, /admin/static/_2.17.1/js/web2py.js, HTTP/1.1, 304, 0.000218
127.0.0.1, 2018-09-13 23:32:20, GET, /admin/static/_2.17.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000193
127.0.0.1, 2018-09-13 23:32:20, GET, /admin/static/_2.17.1/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000214
127.0.0.1, 2018-09-13 23:32:20, GET, /admin/static/_2.17.1/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000343
127.0.0.1, 2018-09-13 23:32:20, GET, /admin/static/_2.17.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000235
127.0.0.1, 2018-09-13 23:32:20, GET, /admin/static/_2.17.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000209
127.0.0.1, 2018-09-13 23:32:20, GET, /admin/static/_2.17.1/css/bootstrap.min.css, HTTP/1.1, 304, 0.000197
127.0.0.1, 2018-09-13 23:32:20, GET, /admin/static/_2.17.1/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000205
127.0.0.1, 2018-09-13 23:32:20, GET, /admin/static/_2.17.1/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000197
127.0.0.1, 2018-09-13 23:32:20, GET, /admin/static/_2.17.1/js/bootstrap.min.js, HTTP/1.1, 304, 0.000194
127.0.0.1, 2018-09-13 23:32:20, GET, /admin/static/_2.17.1/images/help.png, HTTP/1.1, 304, 0.000268
