	Unnamed: 0	station_id	station_name	latitude	longitude	WMO_id	isRadio
1598	1598	94326	ALICE SPRINGS            	-23.816666666666666	133.88333333333333	94326	
1599	1599	94568	AMBERLEY AERO            	-27.63333333333333	152.71666666666667	94568	
1600	1600	94576	BRISBANE RO              	-27.466666666666665	153.03333333333333	94576	
1601	1601	94689	BROKEN HILL              	-31.966666666666665	141.45	94689	
1602	1602	94203	BROOME                   	-17.95	122.25	94203	
1603	1603	94387	BUNDABERG                	-24.86666666666667	152.35	94387	
1604	1604	94287	CAIRNS                   	-16.883333333333333	145.75	94287	
1605	1605	94926	CANBERRA                 	-35.31666666666667	149.2	94926	
1606	1606	94300	CARNARVON                	-24.88333333333333	113.65	94300	
1607	1607	94653	CEDUNA                   	-32.13333333333333	133.7	94653	
1608	1608	94510	CHARLEVILLE              	-26.41666666666667	146.28333333333333	94510	
1609	1609	94335	CLONCURRY                	-20.666666666666668	140.5	94335	
1610	1610	94711	COBAR                    	-31.53333333333333	145.81666666666666	94711	
1611	1611	94791	COFFS HARBOUR            	-30.316666666666666	153.11666666666667	94791	
1612	1612	94591	COOLANGATTA              	-28.16666666666667	153.5	94591	
1613	1613	94234	DALY WATERS              	-16.266666666666666	133.36666666666667	94234	
1614	1614	94120	DARWIN                   	-12.416666666666664	130.86666666666667	94120	
1615	1615	94907	EAST SALE                	-38.1	147.13333333333333	94907	
1616	1616	94646	FORREST                  	-30.83333333333333	128.1	94646	
1617	1617	94403	GERALDTON                	-28.8	114.7	94403	
1618	1618	94461	GILES                    	-25.03333333333333	128.3	94461	
1619	1619	94380	GLADSTONE                	-23.83333333333333	151.28333333333333	94380	
1620	1620	94212	HALLS CREEK              	-18.233333333333334	127.66666666666669	94212	
1621	1621	94970	HOBART RO                	-42.88333333333333	147.33333333333334	94970	
1622	1622	94975	HOBART MO                	-42.833333333333336	147.53333333333333	94975	
1623	1623	94637	KALGOORLIE               	-30.78333333333333	121.45	94637	
1624	1624	94968	LAUNCESTON               	-41.55	147.21666666666667	94968	
1625	1625	94865	LAVERTON                 	-37.88333333333333	144.75	94865	
1626	1626	94674	LEIGH CREEK AP           	-30.466666666666665	138.41666666666666	94674	
1627	1627	94346	LONGREACH                	-23.43333333333333	144.26666666666668	94346	
1628	1628	94367	MACKAY                   	-21.116666666666667	149.21666666666667	94367	
1629	1629	94650	MARALINGA                	-30.15	131.58333333333334	94650	
1630	1630	94430	MEEKATHARRA              	-26.58333333333333	118.5	94430	
1631	1631	94868	MELBOURNE                	-37.81666666666667	144.96666666666667	94868	
1632	1632	94693	MILDURA                  	-34.23333333333333	142.08333333333334	94693	
1633	1633	94527	MOREE                    	-29.466666666666665	149.85	94527	
1634	1634	94821	MT GAMBIER               	-37.75	140.78333333333333	94821	
1635	1635	94750	NOWRA                    	-34.95	150.53333333333333	94750	
1636	1636	94305	ONSLOW                   	-21.63333333333333	115.1	94305	
1637	1637	94476	OODNADATTA               	-27.55	135.46666666666667	94476	
1638	1638	94980	PATS RIVER               	-40.1	148.01666666666668	94980	
1639	1639	94610	PERTH MO                 	-31.91666666666667	115.96666666666668	94610	
1640	1640	94608	PERTH RO                 	-31.95	115.5	94608	
1641	1641	94312	PT HEDLAND               	-20.383333333333333	118.61666666666666	94312	
1642	1642	94753	RICHMOND                 	-33.6	150.78333333333333	94753	
1643	1643	94374	ROCKHAMPTON              	-23.38333333333333	150.48333333333332	94374	
1644	1644	94768	SYDNEY RO                	-33.86666666666667	151.2	94768	
1645	1645	94207	TALGARNO                 	-19.28333333333333	121.5	94207	
1646	1646	94762	TAMWORTH                 	-31.08333333333333	150.85	94762	
1647	1647	94175	THURSDAY IS              	-10.583333333333334	142.21666666666667	94175	
1648	1648	94294	TOWNSVILLE               	-19.25	146.76666666666668	94294	
1649	1649	94910	WAGGA                    	-35.166666666666664	147.46666666666667	94910	
1650	1650	94776	WILLIAMTOWN MO           	-32.81666666666667	151.83333333333334	94776	
1651	1651	94299	WILLIS IS                	-16.3	149.98333333333332	94299	
1652	1652	94659	WOOMERA                  	-31.15	136.81666666666666	94659	
1653	1653	97048	GORONTALO                	0.5166666666666667	123.06666666666666	97048	
1654	1654	97146	KENDARI                  	-4.1	122.43333333333334	97146	
1655	1655	97180	MAKASAR                  	-4.083333333333333	119.55	97180	
1656	1656	97014	MENADO                   	1.5333333333333332	124.91666666666669	97014	
1657	1657	96781	BANDUNG                  	-6.9	107.58333333333331	96781	
1658	1658	96805	CILACAP                  	-7.7333333333333325	109.01666666666668	96805	
1659	1659	96739	CURUG                    	-6.2333333333333325	106.65	96739	
1660	1660	97230	DENPASAR                 	-8.75	115.16666666666669	97230	
1661	1661	96747	JAKARTA (HALIM P.K.)     	-6.25	106.83333333333331	96747	
1662	1662	96743	JAKARTA(KEMAYORAN)       	-6.15	106.85	96743	
1663	1663	96745	JAKARTA OBSERVATORY      	-6.183333333333334	106.83333333333331	96745	
1664	1664	96973	KALIANGET                	-7.05	113.96666666666668	96973	
1665	1665	96881	MADIUN                   	-7.616666666666667	111.51666666666668	96881	
1666	1666	97240	REMBIGA                  	-8.566666666666666	116.06666666666666	97240	
1667	1667	96839	SEMARANG                 	-6.9833333333333325	110.38333333333334	96839	
1668	1668	96737	SERANG                   	-6.116666666666666	106.13333333333334	96737	
1669	1669	96933	SURABAYA                 	-7.216666666666668	112.71666666666668	96933	
1670	1670	96801	TASIKMALAYA              	-7.333333333333332	108.25	96801	
1671	1671	96797	TEGAL                    	-6.85	109.15	96797	
