	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	elevation	file	inventory
271	0-20000-0-72356	0	272	5077	3	TULSA/INT., OK.			0	-95.88333333333334	36.2		1921-10-31	1954-07-27	1	0	63	NMS	231	Broken Arrow									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	19.7		3.6	195.0	5077.txt_converted_csv_reduced.csv	OSCAR
272	0-20000-0-13275	0	273	5404	3	BEOGRAD/KOSUTNJAK			0	20.416666666666668	44.766666666666666		1923-04-02	1928-07-19	1	0	63	NMS	189	Pancevo									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	21.1		1.3	132.0	5404B.txt_converted_csv_reduced.csv	OSCAR
273	0-20000-0-11747	0	274	5289	3	PROSTEJOV			0	17.134722222222223	49.4525		1910-01-06	1939-12-31	1	0	63	NMS	54	Prostejov									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	2.0		1.3	216.92	5289A.txt_converted_csv_reduced.csv	OSCAR
274	0-20000-0-27612	0	275	4530	3	MOSKVA VDNH			0	37.61666666666667	55.833333333333336		1927-06-18	1934-06-28	1	0	63	NMS	190	Skhodnya									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	25.3		3.6	156.7	4530.txt_converted_csv_reduced.csv	OSCAR
275	0-20400-0-5035	0	276	5035	3	Alma Ata			0	76.88	43.77		1923-04-02	1928-07-19	1	0	63	NMS	124	Boralday									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	0.0		45.6	841.0	5035A.txt_converted_csv_reduced.csv	CHUAN
276	0-20000-0-48062	0	277	5028	3	SITTWE			0	92.88333333333334	20.133333333333333		1926-01-11	1955-04-22	1	0	63	NMS	145	Akyab									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	7.1		6.2	5.0	5028A.txt_converted_csv_reduced.csv	OSCAR
277	0-20000-0-42182	0	278	5816	3	NEW DELHI/SAFDARJUNG			0	77.2	28.58333333333333		1929-11-16	1931-12-31	1	0	63	NMS	104	New Delhi									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	2.7		2.0	216.0	5816.txt_converted_csv_reduced.csv	OSCAR
278	0-20000-0-07747	0	279	5276	3	PERPIGNAN			0	2.872777777777778	42.73722222222222		1909-07-31	1941-12-31	1	0	63	NMS	74	Perpignan									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	0.8		4.4	44.0	5276A.txt_converted_csv_reduced.csv	OSCAR
279	0-20000-0-08420	0	280	5148	3	GRANADA/BASE AEREA			0	-3.631388888888889	37.13722222222222		1906-09-22	1955-04-22	1	0	63	NMS	67	Armilla									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	3.1		2.4	570.0	5148A.txt_converted_csv_reduced.csv	OSCAR
280	0-20000-0-07299	0	281	5249	3	BALE-MULHOUSE			0	7.51	47.614444444444445		1927-02-16	1927-06-13	1	0	63	NMS	74	Rixheim									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	14.2		3.2	273.0	5249B.txt_converted_csv_reduced.csv	OSCAR
281	0-20000-0-22802	0	282	5519	3	SORTAVALA			0	30.716666666666665	61.71666666666667		1932-02-11	1956-08-09	1	0	63	NMS	190	Sortavala									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	2.0		1.8	19.0	5519.txt_converted_csv_reduced.csv	OSCAR
282	0-20000-0-24959	0	283	4598	3	JAKUTSK			0	129.71666666666667	62.016666666666666		1920-02-16	1960-09-25	1	0	63	NMS	190	Markha									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	0.4		9.5	100.72	4598.txt_converted_csv_reduced.csv	OSCAR
283	0-20000-0-24817	0	284	4659	3	ERBOGACEN			0	108.01666666666668	61.266666666666666		1925-04-14	1956-12-31	1	0	63	NMS	190	Kirensk									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	0.4		388.2	290.7	4659.txt_converted_csv_reduced.csv	OSCAR
284	0-20000-0-06290	0	285	5719	3	TWENTE AWS			0	6.890833333333333	52.27305555555555		1912-08-29	1942-03-31	1	0	63	NMS	165	Nordhorn									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	21.3		1.0	34.55	5719.txt_converted_csv_reduced.csv	OSCAR
285	0-20300-0-76549	0	286	4926	3	TAMPICO			0	-97.85	22.283		1923-04-06	1955-04-22	1	0	63	NMS	156	Anahuac									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	18.3		9.0	15.0	4926.txt_converted_csv_reduced.csv	IGRA2
286	0-20000-0-07650	0	287	5230	3	MARIGNANE			0	5.216111111111111	43.437777777777775		1925-04-14	1928-11-17	1	0	63	NMS	74	Marignane									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	1.6		1.9	32.0	5230B.txt_converted_csv_reduced.csv	OSCAR
287	0-20000-0-06621	0	288	5672	3	GUETTINGEN			0	9.279444444444444	47.60166666666667		1908-05-01	1939-06-22	1	0	63	NMS	42	Friedrichshafen									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	16.0		0.3	441.13	5672.txt_converted_csv_reduced.csv	OSCAR
288	0-246-0-100996	0	289	5516	3	HELSINKI HARMAJA			0	24.975277777777777	60.105		1932-03-08	1938-12-31	1	0	63	NMS	69	Helsinki									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	7.3		8.1	6.4	5516.txt_converted_csv_reduced.csv	OSCAR
289	0-20001-0-16320	0	290	5075	3	BRINDISI RDS			0	17.956666666666667	40.66027777777778		1921-05-16	1954-09-22	1	0	63	NMS	109	Brindisi									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	1.6		3.6	10.12	5075A.txt_converted_csv_reduced.csv	OSCAR
290	0-20000-0-66152	0	291	5970	3	DUNDO			0	20.816666666666663	-7.4		1952-07-01	1952-12-30	1	0	63	NMS	8	Tshikapa									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	3.3		105.5	776.0	5970.txt_converted_csv_reduced.csv	OSCAR
291	0-20000-0-03749	0	292	5399	3	MIDDLE WALLOP			0	-1.57	51.14972222222222		1923-04-06	1955-04-22	1	0	63	NMS	76	Winchester									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	17.8		11.5	90.4	5399.txt_converted_csv_reduced.csv	OSCAR
292	0-20000-0-27612	0	293	4534	3	MOSKVA VDNH			0	37.61666666666667	55.833333333333336		1941-01-01	1941-12-31	1	0	63	NMS	190	Dolgoprudnyy									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	12.3		3.8	156.7	4534.txt_converted_csv_reduced.csv	OSCAR
293	0-20300-0-00073	0	294	4924	3	SLUTSK			0	30.45	59.68		1900-09-14	1949-12-25	1	0	63	NMS	190	Pavlovsk									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	1.7		2.6	35.0	4924.txt_converted_csv_reduced.csv	IGRA2
294	0-20000-0-91938	0	295	4490	3	TAHITI-FAAA			0	-149.61444444444444	-17.55527777777778		1923-02-14	1935-12-31	1	0	63	NMS	174	Papeete									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	5.7		0.1	320.0	4490A.txt_converted_csv_reduced.csv	OSCAR
295	0-20000-0-60338	0	296	5714	3	MELILLA (60338-0)			0	-2.955555555555556	35.27777777777778		1904-04-01	1942-03-31	1	0	63	NMS	136	Melilla									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	3.4		2.1	55.0	5714.txt_converted_csv_reduced.csv	OSCAR
296	0-20000-0-10361	0	297	5707	3	MAGDEBURG			0	11.582777777777778	52.10277777777778		1920-02-18	1934-06-23	1	0	63	NMS	56	Magdeburg									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	4.0		5.2	85.0	5707.txt_converted_csv_reduced.csv	OSCAR
297	0-20400-0-5564	0	298	5564	3	Otto Nordenskjöld Glacier			0	-49.37	66.87		1900-09-14	1949-12-25	1	0	63	NMS	83	Nuuk									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	0.0		319.1	330.0	5564.txt_converted_csv_reduced.csv	CHUAN
298	0-20000-0-41529	0	299	5278	3	PESHAWAR			0	71.93333333333334	34.03333333333333		1909-07-31	1941-12-31	1	0	63	NMS	177	Peshawar									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	28.9		4.5	329.0	5278B.txt_converted_csv_reduced.csv	OSCAR
299	0-20000-0-02562	0	300	5226	3	LINKOPING/MALMSLATT			0	15.525833333333336	58.39805555555556		1923-04-06	1955-04-22	1	0	63	NMS	196	Linkoping									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	2.5		5.7	93.0	5226A.txt_converted_csv_reduced.csv	OSCAR
300	0-20000-0-07690	0	301	4504	3	NICE			0	7.208888888888889	43.64888888888889		1921-02-01	1954-12-27	1	0	63	NMS	74	Antibes									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	10.5		2.5	26.0	4504.txt_converted_csv_reduced.csv	OSCAR
301	0-20000-0-22892	0	302	5529	3	VYBORG			0	28.73333333333333	60.71666666666667		1932-03-08	1938-12-31	1	0	63	NMS	190	Vyborg									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	0.4		1.9	13.0	5529B.txt_converted_csv_reduced.csv	OSCAR
302	0-246-0-101103	0	303	5512	3	KOKEMAKI TULKKILA			0	22.34611111111111	61.25305555555556		1923-04-06	1955-04-22	1	0	63	NMS	69	Vammala									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	16.8		22.8	39.0	5512.txt_converted_csv_reduced.csv	OSCAR
303	0-20000-0-62378	0	304	5156	3	HELWAN			0	31.349166666666665	29.86277777777778		1941-01-01	1941-12-31	1	0	63	NMS	64	Cairo									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	24.2		12.0	74.5	5156A.txt_converted_csv_reduced.csv	OSCAR
304	0-20000-0-83362	0	305	4896	3	CUIABA (AERO)			0	-56.1	-15.65		1900-09-14	1949-12-25	1	0	63	NMS	30	Cuiaba									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0	5.5		2.6	152.84	4896.txt_converted_csv_reduced.csv	OSCAR
