	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	elevation	file
24	0-20000-0-07650	0	25	7650	3	MARIGNANE			0	5.216111111111111	43.437777777777775		19620505	19651024	1	0	63	NMS	74	Vitrolles									[36, 85, 106, 107]							L.Haimberger	0	1.4		2.2	32.0	era5.7650.bfr
25	0-20000-0-61612	0	26	61612	3	PODOR			0	-14.92972222222222	16.649722222222223		19740624	19740624	1	0	63	NMS	150	Dagana									[36, 85, 106, 107]							L.Haimberger	0	6.4		64.7	5.73	era5.61612.bfr
26	0-20500-0-41006	0	27	48910	3	VINH LONG			0	105.95	10.25		19710615	19720126	1	0	63	NMS	239	Vinh Long									[36, 85, 106, 107]							L.Haimberger	0	7.8		6.6	17.0	era5.48910.bfr
27	0-20000-0-74413	0	28	74413	3	SAYLOR CREEK GUNNERY RANGE, ID.			0	-115.7	42.53333333333333		19700212	19710716	1	0	63	NMS	231	Mountain Home									[36, 85, 106, 107]							L.Haimberger	0	3.7		70.3	1108.0	era5.74413.bfr
28	0-20700-0-34398	0	29	34398	3	FURMANOVO                			0	49.48333333333333	49.66666666666666		19680119	19680429	1	0	63	NMS	124	Novouzensk									[36, 85, 106, 107]							L.Haimberger	0	0.4		129.9	-999.0	era5.34398.bfr
29	0-20000-0-61666	0	30	61666	3	DIOURBEL			0	-16.229999999999997	14.65		19740612	19740612	1	0	63	NMS	204	Diourbel									[36, 85, 106, 107]							L.Haimberger	0	6.4		6.5	7.11	era5.61666.bfr
30	0-20000-0-67083	0	31	67085	3	ANTANANARIVO/IVATO			0	47.48333333333333	-18.8		19580325	19670311	1	0	63	NMS	141	Antananarivo									[36, 85, 106, 107]							L.Haimberger	0	14.2		1.5	1276.0	era5.6785.bfr
31	0-20000-0-40045	0	32	40045	3	DEIR EZZOR			0	40.15	35.31666666666667		19660718	19700604	1	0	63	NMS	210	Abu Kamal									[36, 85, 106, 107]							L.Haimberger	0	1.5		120.3	212.0	era5.4045.bfr
32	0-20000-0-43497	0	33	43497	3	HAMBANTOTA			0	81.13333333333334	6.116666666666666		19620717	19721220	1	0	63	NMS	129	Hambantota									[36, 85, 106, 107]							L.Haimberger	0	0.5		1.5	16.0	era5.43497.bfr
33	0-20000-0-48402	0	34	41012	3	CHAI NAT AGROMET			0	100.1913888888889	15.158055555555556		19680602	19680605	1	0	63	NMS	216	Takhli									[36, 85, 106, 107]							L.Haimberger	0	17.8		5.0	16.85	era5.4112.bfr
