	file	kind	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
23	era5.10425.bfr	ORPHAN	0-20888-0-10425	 	24	10425	 	 	 	 	 	-58.5	15.6	 	19730903	19730903	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
24	era5.32207.bfr	ORPHAN	0-20888-0-32207	 	25	32207	 	 	 	 	 	153.25	48.05	 	19781228	19781228	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
25	era5.1088.bfr	ORPHAN	0-20888-0-10088	 	26	10088	 	 	 	 	 	-88.6	85.3	 	19710405	19710405	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
26	era5.1066.bfr	ORPHAN	0-20888-0-10066	 	27	10066	 	 	 	 	 	-66.6	36.1	 	19710523	19710523	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
27	era5.62670.bfr	ORPHAN	0-20888-0-62670	 	28	62670	 	 	 	 	 	36.4	18.3	 	19740723	19740927	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
28	era5.10135.bfr	COORDINATE_ISSUES	0-20666-0-10135	 	29	10135	 	 	 	 	 			 	19710123	19711021	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
29	era5.10414.bfr	ORPHAN	0-20888-0-10414	 	30	10414	 	 	 	 	 	-33.9	37.6	 	19710706	19710706	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
30	era5.10379.bfr	COORDINATE_ISSUES	0-20666-0-10379	 	31	10379	 	 	 	 	 			 	19730802	19731002	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
31	era5.10926.bfr	ORPHAN	0-20888-0-10926	 	32	10926	 	 	 	 	 	-65.0	26.0	 	19721221	19721230	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
32	era5.10977.bfr	ORPHAN	0-20888-0-10977	 	33	10977	 	 	 	 	 	-161.3	26.0	 	19710218	19710322	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
33	era5.1045.bfr	ORPHAN	0-20888-0-10045	 	34	10045	 	 	 	 	 	-45.5	46.9	 	19710923	19710923	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
34	era5.32379.bfr	ORPHAN	0-20888-0-32379	 	35	32379	 	 	 	 	 	159.9	56.1	 	19750223	19750324	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
35	era5.64455.bfr	ORPHAN	0-20888-0-64455	 	36	64455	 	 	 	 	 	16.8	-1.2	 	19740717	19740717	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
