	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
27	0-20000-0-41780	0	28	41780	3	KARACHI AIRPORT			0	67.13333333333334	24.9		2014-12-01	2016-10-01	1	0	63	NMS	177	Karachi									['126', '137', '106', '107', '117']							L.Haimberger	0
28	0-20000-0-48327	0	29	19099	3	CHIANG MAI			0	98.96833333333332	18.770555555555557		2014-11-25	2014-11-25	1	0	63	NMS	216	Chiang Mai									['126', '137', '106', '107', '117']							L.Haimberger	0
29	0-20000-0-62423	0	30	62423	3	FARAFRA			0	27.989166666666662	27.058333333333334		2015-11-01	2015-11-04	1	0	63	NMS	64	Matay									['126', '137', '106', '107', '117']							L.Haimberger	0
30	0-20000-0-97430	0	31	97430	3	TERNATE/BABULLAH			0	127.38138888888888	0.8291666666666666		2014-10-11	2024-03-04	1	0	63	NMS	100	Ternate									['126', '137', '106', '107', '117']							L.Haimberger	0
31	0-20000-0-42101	0	32	42103	3	PATIALA			0	76.46666666666667	30.33333333333333		2014-10-06	2016-10-05	1	0	63	NMS	104										['126', '137', '106', '107', '117']							L.Haimberger	0
32	0-20000-0-30715	0	33	30715	3	ANGARSK			0	103.85	52.48333333333333		2015-11-01	2024-02-24	1	0	63	NMS	190	Angarsk									['126', '137', '106', '107', '117']							L.Haimberger	0
33	0-20000-0-96073	0	34	96073	3	SIBOLGA/PINANGSORI			0	98.88333333333334	1.5533333333333337		2014-10-11	2024-03-04	1	0	63	NMS	100	Sibolga									['126', '137', '106', '107', '117']							L.Haimberger	0
34	0-20000-0-71600	0	35	71600	3	SABLE ISLAND, NS			0	-60.0	43.91666666666666		2015-11-01	2015-11-04	1	0	63	NMS	37	Sydney									['126', '137', '106', '107', '117']							L.Haimberger	0
35	0-20000-0-80413	0	36	80413	3	MARACAY - B.A. SUCRE			0	-67.65	10.25		2014-10-02	2015-01-30	1	0	63	NMS	236	Maracay									['126', '137', '106', '107', '117']							L.Haimberger	0
36	0-20000-0-62306	0	37	62306	3	MERSA MATRUH			0	27.221666666666664	31.325277777777774		2015-11-01	2015-11-03	1	0	63	NMS	64	Marsa Matruh									['126', '137', '106', '107', '117']							L.Haimberger	0
37	0-20000-0-30054	0	38	30054	3	VITIM			0	112.58333333333331	59.45		2015-11-01	2024-03-03	1	0	63	NMS	190	Lensk									['126', '137', '106', '107', '117']							L.Haimberger	0
38	0-643-0-26708	0	39	26702	3	KALININGRAD (NIZOV'E)			0	20.765833333333333	54.69638888888888		2015-11-01	2015-11-04	1	0	63	NMS	190	Kaliningrad									['126', '137', '106', '107', '117']							L.Haimberger	0
39	0-20000-0-96737	0	40	96737	3	SERANG			0	106.13333333333334	-6.116666666666666		2014-10-11	2024-03-04	1	0	63	NMS	100	Serang									['126', '137', '106', '107', '117']							L.Haimberger	0
40	0-20000-0-41891	0	41	41891	3	SYLHET			0	91.88333333333334	24.9		2024-02-04	2024-02-23	1	0	63	NMS	19	Chhatak									['126', '137', '106', '107', '117']							L.Haimberger	0
41	0-20000-0-61687	0	42	61687	3	TAMBACOUNDA			0	-13.67972222222222	13.769722222222224		2014-10-02	2016-01-12	1	0	63	NMS	204	Tambacounda									['126', '137', '106', '107', '117']							L.Haimberger	0
42	0-20000-0-08594	0	43	8594	3	SAL			0	-22.948888888888888	16.741944444444446		2015-11-02	2015-11-04	1	0	63	NMS	51	Santa Maria									['126', '137', '106', '107', '117']							L.Haimberger	0
43	0-20000-0-97690	0	44	97690	3	JAYAPURA/SENTANI			0	140.51833333333337	-2.575833333333333		2014-10-11	2024-03-04	1	0	63	NMS	100	Vanimo									['126', '137', '106', '107', '117']							L.Haimberger	0
44	0-20000-0-30635	0	45	30635	3	UST'-BARGUZIN			0	109.01666666666668	53.41666666666666		2015-11-01	2024-02-28	1	0	63	NMS	190	Onokhoy									['126', '137', '106', '107', '117']							L.Haimberger	0
45	0-20000-0-24125	0	46	24125	3	OLENEK (24125-0)			0	112.43333333333334	68.5		2015-11-01	2015-11-04	1	0	63	NMS	190	Udachnyy									['126', '137', '106', '107', '117']							L.Haimberger	0
46	0-20000-0-96315	0	47	96315	3	BRUNEI AIRPORT			0	114.93333333333334	4.933333333333334		2015-11-01	2015-11-03	1	0	63	NMS	28	Limbang									['126', '137', '106', '107', '117']							L.Haimberger	0
47	0-20000-0-97300	0	48	97300	3	MAUMERE/WAI OTI			0	122.2375	-8.635833333333332		2014-10-11	2024-03-03	1	0	63	NMS	100	Maumere									['126', '137', '106', '107', '117']							L.Haimberger	0
