	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	elevation	file	inventory
20	0-20000-0-91701	0	21	woudc	3	KANTON ISLAND			0	-171.71666666666667	-2.7666666666666666		1965-02-24	1965-12-28	1	0	63	NMS	117										['126', '137', '106', '107', '117']							L.Haimberger	0	2.0			2.0	woudc_-2.76_-171.7.csv	OSCAR
21	0-20000-0-71639	0	22	woudc	3	TORONTO BUTTONVILLE A, ONT			0	-79.36999999999999	43.86222222222222		1976-11-23	1994-06-10	1	0	63	NMS	37	Toronto									['126', '137', '106', '107', '117']							L.Haimberger	0	12.2		13.3	198.1	woudc_43.78_-79.47.csv	OSCAR
22	0-20000-0-78807	0	23	woudc	3	COROZAL OESTE			0	-79.56666666666666	8.966666666666667		1980-08-30	1980-09-18	1	0	63	NMS	172	Panama									['126', '137', '106', '107', '117']							L.Haimberger	0	2.6		2.6	45.0	woudc_8.983_-79.55.csv	OSCAR
23	0-20000-0-08383	0	24	woudc	3	HUELVA			0	-6.911666666666667	37.27833333333333		1977-05-17	1983-09-30	1	0	63	NMS	67	Moguer									['126', '137', '106', '107', '117']							L.Haimberger	0	25.4		21.6	20.0	woudc_37.1_-6.733.csv	OSCAR
24	0-20000-0-70261	0	25	woudc	3	FAIRBANKS/INT., AK			0	-147.8766666666667	64.81611111111111		1964-11-10	1965-12-29	1	0	63	NMS	231	College									['126', '137', '106', '107', '117']							L.Haimberger	0	0.5		5.4	135.3	woudc_64.817_-147.867.csv	OSCAR
25	0-20500-0-26459	0	26	woudc	3	POKER FLAT			0	-147.48	65.12		1979-07-16	1982-06-12	1	0	63	NMS	231	College									['126', '137', '106', '107', '117']							L.Haimberger	0	1.5		34.3	196.9008	woudc_65.133_-147.483.csv	WBAN
26	0-20000-0-71748	0	27	woudc	3	GIMLI CLIMATE, MAN			0	-97.05	50.63333333333333		1980-07-15	1985-08-09	1	0	63	NMS	37	Winnipeg									['126', '137', '106', '107', '117']							L.Haimberger	0	0.0		83.8	230.11	woudc_50.633_-97.05.csv	OSCAR
27	0-20000-0-83063	0	28	woudc	3	PORTO NACIONAL (AERO)			0	-48.4	-10.7		1992-09-15	1992-10-21	1	0	63	NMS	30	Porto Nacional									['126', '137', '106', '107', '117']							L.Haimberger	0	11.1		14.3	265.0	woudc_-10.8_-48.4.csv	OSCAR
28	0-20000-0-68010	0	29	woudc	3	OKAUKUEJO			0	15.916666666666666	-19.183333333333334		1992-09-09	1992-10-18	1	0	63	NMS	159	Oshakati									['126', '137', '106', '107', '117']							L.Haimberger	0	2.5		158.5	1100.0	woudc_-19.2_15.9.csv	OSCAR
29	0-20000-0-83362	0	30	woudc	3	CUIABA (AERO)			0	-56.1	-15.65		1992-09-18	1992-10-10	1	0	63	NMS	30	Cuiaba									['126', '137', '106', '107', '117']							L.Haimberger	0	5.5		2.6	152.84	woudc_-15.6_-56.1.csv	OSCAR
30	0-20300-0-78801	0	31	woudc	3	USAF-DS3-601			0	-79.983	9.333		1977-07-16	1977-07-31	1	0	63	NMS	172	Colon									['126', '137', '106', '107', '117']							L.Haimberger	0	0.3		9.5	52.0	woudc_9.33_-79.983.csv	IGRA2
31	0-20000-0-71023	0	32	woudc	3	JIMMY LAKE AWOS, SASK			0	-109.96194444444444	54.90833333333333		1977-02-17	1981-12-01	1	0	63	NMS	37	Grand Centre									['126', '137', '106', '107', '117']							L.Haimberger	0	15.1		42.2	637.1	woudc_54.783_-110.05.csv	OSCAR
32	0-20000-0-74490	0	33	woudc	3	BEDFORD/HANSCOM AFB, MA.			0	-71.28333333333333	42.46666666666667		1969-06-11	1971-03-23	1	0	63	NMS	231	Lexington									['126', '137', '106', '107', '117']							L.Haimberger	0	2.3		3.5	41.0	woudc_42.45_-71.267.csv	OSCAR
33	0-20001-0-71909	0	34	woudc	3	IQALUIT UA, NU			0	-68.55	63.75		1991-11-07	1992-04-01	1	0	63	NMS	37										['126', '137', '106', '107', '117']							L.Haimberger	0	0.0			33.5	woudc_63.75_-68.55.csv	OSCAR
34	0-20000-0-71138	0	35	woudc	3	YORKTON, SASK (71138-0)			0	-102.46166666666667	51.26472222222223		1975-07-26	1978-08-24	1	0	63	NMS	37	Yorkton									['126', '137', '106', '107', '117']							L.Haimberger	0	0.4		5.2	498.3	woudc_51.263_-102.467.csv	OSCAR
