era5.1759.conv.2:20501	117
era5.1759.conv.1:41288	171
era5.1759.conv.1:61984	74
era5.1759.conv.1:41710	177
era5.1759.conv.2:43221	121
era5.1759.conv.2:11630	181
era5.1759.conv.2:23013	231
era5.1759.conv.1:40688	106
era5.1759.conv.1:48692	197
era5.1759.conv.1:55472	47
era5.1759.conv.2:33406	107
era5.1759.conv.1:40165	182
era5.1759.conv.2:24246	231
era5.1759.conv.2:14905	231
era5.1759.conv.1:68174	246
era5.1759.conv.2:3941	231
era5.1759.conv.1:63737	114
era5.1759.conv.2:43269	47
era5.1759.conv.2:43205	47
era5.1759.conv.1:27331	190
era5.1759.conv.1:96853	100
era5.1759.conv.2:12865	231
era5.1759.conv.2:12808	231
era5.1759.conv.2:41204	176
era5.1759.conv.2:32916	19
era5.1759.conv.1:97980	100
era5.1759.conv.1:41749	177
era5.1759.conv.1:67194	141
era5.1759.conv.2:13203	183
era5.1759.conv.2:43217	121
era5.1759.conv.1:71805	179
era5.1759.conv.1:16460	109
era5.1759.conv.2:13716	231
era5.1759.conv.2:23145	231
era5.1759.conv.2:23014	231
era5.1759.conv.1:40030	210
era5.1759.conv.2:23193	231
era5.1759.conv.1:47426	113
era5.1759.conv.1:65082	163
era5.1759.conv.1:41855	19
era5.1759.conv.1:60738	221
era5.1759.conv.1:16642	88
era5.1759.conv.2:43314	113
era5.1759.conv.1:47673	113
era5.1759.conv.1:17611	53
era5.1759.conv.2:3110	231
era5.1759.conv.2:13943	231
era5.1759.conv.1:65167	163
era5.1759.conv.1:48875	239
era5.1759.conv.2:32907	104
era5.1759.conv.1:41598	177
era5.1759.conv.2:11602	238
era5.1759.conv.1:67241	158
era5.1759.conv.1:48948	125
era5.1759.conv.1:72643	231
era5.1759.conv.2:14509	37
era5.1759.conv.2:23117	231
era5.1759.conv.2:43308	113
era5.1759.conv.2:13906	231
era5.1759.conv.1:68858	246
era5.1759.conv.1:72223	231
era5.1759.conv.6:20518	104
era5.1759.conv.1:57932	47
era5.1759.conv.6:20483	145
era5.1759.conv.1:71124	37
era5.1759.conv.1:47891	113
era5.1759.conv.2:31302	66
era5.1759.conv.2:25003	37
era5.1759.conv.2:94795	37
era5.1759.conv.1:71707	37
era5.1759.conv.2:25207	37
era5.1759.conv.2:13930	231
era5.1759.conv.1:67217	158
era5.1759.conv.2:93841	231
era5.1759.conv.2:13709	231
era5.1759.conv.1:16689	88
era5.1759.conv.1:64900	46
era5.1759.conv.1:63799	114
era5.1759.conv.2:3863	231
era5.1759.conv.2:12855	231
era5.1759.conv.2:14996	37
era5.1759.conv.1:48379	216
era5.1759.conv.1:58754	47
era5.1759.conv.2:13707	231
era5.1759.conv.1:68032	34
era5.1759.conv.1:60565	61
era5.1759.conv.1:57193	47
era5.1759.conv.1:96685	100
era5.1759.conv.2:23207	231
era5.1759.conv.1:57426	47
era5.1759.conv.2:22501	231
era5.1759.conv.1:7690	74
era5.1759.conv.1:63793	114
era5.1759.conv.6:78730	164
era5.1759.conv.2:3113	231
era5.1759.conv.6:22075	104
era5.1759.conv.1:96773	100
era5.1759.conv.1:62055	135
era5.1759.conv.1:91356	72
era5.1759.conv.2:12911	231
era5.1759.conv.1:7558	74
era5.1759.conv.6:20430	104
era5.1759.conv.1:82191	30
era5.1759.conv.1:94612	13
era5.1759.conv.1:44272	146
era5.1759.conv.2:43320	113
era5.1759.conv.2:32501	171
era5.1759.conv.1:47777	113
era5.1759.conv.1:40621	106
era5.1759.conv.2:32945	145
era5.1759.conv.2:93901	231
era5.1759.conv.1:48456	216
era5.1759.conv.2:11618	181
era5.1759.conv.1:67025	141
era5.1759.conv.1:72243	231
era5.1759.conv.2:13946	231
era5.1759.conv.2:43213	121
era5.1759.conv.2:41406	91
era5.1759.conv.2:4709	37
era5.1759.conv.1:87925	10
era5.1759.conv.1:10046	56
era5.1759.conv.2:11803	164
era5.1759.conv.2:42012	47
era5.1759.conv.1:60740	221
era5.1759.conv.2:13826	231
era5.1759.conv.1:66215	8
era5.1759.conv.2:3873	231
era5.1759.conv.2:13828	231
era5.1759.conv.2:13855	231
era5.1759.conv.2:93826	231
era5.1759.conv.2:17202	83
era5.1759.conv.2:12852	231
era5.1759.conv.2:93118	231
era5.1759.conv.2:13805	231
era5.1759.conv.2:25110	37
era5.1759.conv.2:43273	121
era5.1759.conv.2:94005	231
era5.1759.conv.2:24249	231
era5.1759.conv.1:47817	113
era5.1759.conv.1:97690	100
era5.1759.conv.2:25201	37
era5.1759.conv.2:33023	61
era5.1759.conv.2:14720	231
era5.1759.conv.1:76648	156
era5.1759.conv.2:13830	231
era5.1759.conv.6:23711	120
era5.1759.conv.1:80444	236
era5.1759.conv.2:13988	231
era5.1759.conv.1:62805	195
era5.1759.conv.1:62751	195
era5.1759.conv.1:7255	74
era5.1759.conv.2:3925	231
era5.1759.conv.2:32946	19
era5.1759.conv.1:48060	145
era5.1759.conv.2:93905	231
