	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	elevation	file	inventory
0	0-20000-0-78862	0	1	78861	3	VC BIRD INT'L AIRPORT ANTIGUA			0	-61.78333333333333	17.116666666666667		1947	1993	1	0	63	NMS	3	Sainte-Rose									['85', '38', '106', '107']							L.Haimberger	0	0.1		87.4	10.0	ACM00078861	OSCAR
1	0-20000-0-60670	0	2	60670	3	DJANET			0	9.466666666666669	24.266666666666666		1973	1985	1	0	63	NMS	61	Gat									['85', '38', '106', '107']							L.Haimberger	0	0.1		105.3	970.0	AGM00060670	OSCAR
2	0-20000-0-87860	0	3	87860	3	COMODORO RIVADAVIA AERO			0	-67.46194444444444	-45.79222222222222		1958	2021	1	0	63	NMS	10	Comodoro Rivadavia									['85', '38', '106', '107']							L.Haimberger	0	3.1		9.0	46.0	ARM00087860	OSCAR
3	0-20000-0-60511	0	4	60511	3	TIARET			0	1.4666666666666668	35.35		1987	1988	1	0	63	NMS	61	Sidi Ali									['85', '38', '106', '107']							L.Haimberger	0	0.0		126.1	978.0	AGM00060511	OSCAR
4	0-20000-0-66390	0	5	66390	3	LUBANGO (SA DA BANDEIRA)			0	13.566666666666666	-14.933333333333334		1973	1974	1	0	63	NMS	8	Lubango									['85', '38', '106', '107']							L.Haimberger	0	0.1		7.4	1758.0	AOM00066390	OSCAR
5	0-20000-0-94299	0	6	94299	3	WILLIS ISLAND			0	149.96527777777777	-16.28777777777778		1947	2021	1	0	63	NMS	13	Innisfail									['85', '38', '106', '107']							L.Haimberger	0	0.5		441.0	9.8	ASM00094299	OSCAR
6	0-20300-0-60678	0	7	60678	3	IN AMGUEL			0	5.15	23.8167		1964	1965	1	0	63	NMS	61	None									['85', '38', '106', '107']							L.Haimberger	0	0.0		None	1006.0	AGM00060678	IGRA2
7	0-20300-0-89557	0	8	89557	3	SOVIETSKAVA			0	87.583	-78.4		1958	1958	1	0	63	NMS	9	None									['85', '38', '106', '107']							L.Haimberger	0	0.0		None	3571.0	AYM00089557	IGRA2
8	0-20000-0-87925	0	9	87926	3	RIO GALLEGOS AERO			0	-69.30805555555555	-51.611666666666665		1967	1977	1	0	63	NMS	10	Rio Gallegos									['85', '38', '106', '107']							L.Haimberger	0	6.8		1.2	19.0	ARM00087926	OSCAR
9	0-20000-0-94300	0	10	94300	3	CARNARVON AIRPORT			0	113.67	-24.887777777777774		1950	2012	1	0	63	NMS	13	Geraldton									['85', '38', '106', '107']							L.Haimberger	0	0.0		441.2	4.5	ASM00094300	OSCAR
