	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
25	0-20000-0-25563	0	26	5991	3	ANADYR'			0	177.56666666666666	64.78333333333333		1928-03-13	1944-06-29	1	0	63	NMS	190	Anadyr									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
26	0-20000-0-27612	0	27	4537	3	MOSKVA VDNH			0	37.61666666666667	55.833333333333336		1944-01-01	1944-12-31	1	0	63	NMS	190	Dolgoprudnyy									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
27	0-246-0-101004	0	28	5504	3	HELSINKI KUMPULA			0	24.961388888888887	60.20305555555556		1911-01-02	1948-11-06	1	0	63	NMS	69	Helsinki									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
28	0-20000-0-15420	0	29	5078	3	BUCURESTI BANEASA			0	26.078055555555554	44.51055555555556		1921-05-25	1948-06-27	1	0	63	NMS	188	Bucharest									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
29	0-20000-0-96745	0	30	5490	3	JAKARTA/OBSERVATORY			0	106.83333333333331	-6.183333333333334		1910-02-16	1915-05-21	1	0	63	NMS	100	Pamulang									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
30	0-20400-0-5061	0	31	5061	3	Berdjansk			0	36.8	46.63		1926-07-05	1967-06-19	1	0	63	NMS	228	Sartana									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
31	0-20000-0-03321	0	32	5622	3	HAWARDEN AIRPORT			0	-2.9875000000000003	53.17472222222222		1922-03-27	1955-04-22	1	0	63	NMS	76	Chester									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
32	0-20000-0-27612	0	33	4523	3	MOSKVA VDNH			0	37.61666666666667	55.833333333333336		1936-04-30	1955-04-01	1	0	63	NMS	190	Dolgoprudnyy									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
33	0-20000-0-42404	0	34	5439	3	DHUBRI			0	89.98333333333333	26.016666666666666		1941-04-30	1941-05-20	1	0	63	NMS	104	Dhuburi									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
34	0-20001-0-22522	0	35	4556	3	KEM'			0	34.65	64.95		1900-04-21	1956-10-31	1	0	63	NMS	190	Kem									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
35	0-20000-0-42811	0	36	5115	3	DIAMOND HARBOUR			0	88.2	22.183333333333334		1925-04-14	1955-04-22	1	0	63	NMS	104	Jaynagar-Majilpur									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
36	0-20000-0-33946	0	37	4646	3	Simferopol			0	33.967222222222226	45.040277777777774		1948-01-03	1955-04-22	1	0	63	NMS	228	Bakhchysaray									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
37	0-20000-0-34300	0	38	4557	3	Kharkiv			0	36.2825	49.92805555555555		1921-02-01	1954-12-27	1	0	63	NMS	228	Vysokyy									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
38	0-20000-0-01257	0	39	5369	3	TRONDHEIM/VOLL			0	10.453888888888889	63.410555555555554		1925-04-14	1928-03-26	1	0	63	NMS	166	Trondheim									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
39	0-20000-0-02562	0	40	5225	3	LINKOPING/MALMSLATT			0	15.525833333333336	58.39805555555556		-999-03-30	1954-09-22	1	0	63	NMS	196	Linkoping									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
40	0-20300-0-94937	0	41	6078	3	ELLENDALE			0	-98.5667	45.9833		1923-06-12	1955-04-01	1	0	63	NMS	231	Aberdeen									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
41	0-20000-0-41480	0	42	5780	3	ADEN			0	45.03333333333333	12.833333333333334		1929-10-24	1942-03-31	1	0	63	NMS	243	Aden									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
42	0-20300-0-05498	0	43	5497	3	LITTLE AMERICA I			0	-163.93	-78.57		-999-03-30	1954-09-22	1	0	63	NMS	170	None									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
43	0-20000-0-07761	0	44	5027	3	AJACCIO			0	8.792777777777777	41.918055555555554		1926-04-09	1931-03-11	1	0	63	NMS	74	Ajaccio									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
44	0-20000-0-16121	0	45	4893	3	GENOVA			0	8.921111111111111	44.41944444444445		1923-04-02	1923-12-06	1	0	63	NMS	109	Genoa									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
45	0-20000-0-78526	0	46	5319	3	SAN JUAN/INT.,  PUERTO RICO			0	-65.99194444444444	18.43166666666667		1921-05-16	1934-06-22	1	0	63	NMS	181	Catano									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
46	0-20000-0-91938	0	47	4493	3	TAHITI-FAAA			0	-149.61444444444444	-17.55527777777778		1907-12-14	1956-08-09	1	0	63	NMS	174	Papeete									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
47	0-20000-0-94299	0	48	5394	3	WILLIS ISLAND			0	149.96527777777777	-16.28777777777778		1921-05-16	1934-06-22	1	0	63	NMS	13	Innisfail									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
48	0-20000-0-02611	0	49	5212	3	HELSINGBORG			0	12.765277777777778	56.03055555555555		1923-02-12	1956-12-31	1	0	63	NMS	196	Eslov									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
49	0-20000-0-21824	0	50	4548	3	TIKSI			0	128.91666666666666	71.58333333333333		1954-04-19	1954-09-22	1	0	63	NMS	190	None									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
50	0-20300-0-94881	0	51	5309	3	ROYAL CENTER			0	-86.4833	40.8833		1925-08-17	1937-06-21	1	0	63	NMS	231	Logansport									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
51	0-20001-0-22522	0	52	4619	3	KEM'			0	34.65	64.95		1923-02-12	1956-12-31	1	0	63	NMS	190	Kem									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
52	0-20300-0-26702	0	53	5985	3	KALININGRAD			0	20.5583	54.7264		1920-02-16	1955-04-22	1	0	63	NMS	190	Svetlyy									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
53	0-20000-0-12330	0	54	5726	3	POZNAN-LAWICA			0	16.834722222222222	52.41666666666666		1920-01-14	1934-06-30	1	0	63	NMS	178	Poznan									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
