	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	elevation	file	inventory
22	0-20111-0-71918	0	23	71918	3	ARCTIC BAY, NT			0	-85.15	73.03		1948-01-01	1966-06-30	1	0	63	NMS	37	None									['126', '137', '106', '107', '117']							L.Haimberger	0	5.9		None	-999.0	71918_stationfile.csv	HARA
23	0-20001-0-22522	0	24	22522	3	KEM'			0	34.65	64.95		1958-05-01	1973-05-17	1	0	63	NMS	190	Kem									['126', '137', '106', '107', '117']							L.Haimberger	0	6.1		9.9	7.5	22522_stationfile.csv	OSCAR
24	0-20000-0-25042	0	25	25042	3	AJON			0	167.9688888888889	69.91861111111112		1958-05-01	1995-12-09	1	0	63	NMS	190	None									['126', '137', '106', '107', '117']							L.Haimberger	0	1.3		None	13.7	25042_stationfile.csv	OSCAR
25	0-20300-0-71968	0	26	71968	3	AKLAVIK			0	-135.0	68.23		1950-01-01	1960-09-12	1	0	63	NMS	37	None									['126', '137', '106', '107', '117']							L.Haimberger	0	3.3		None	10.0	71968_stationfile.csv	IGRA2
26	0-20000-0-21946	0	27	21946	3	CHOKURDAH			0	147.88333333333333	70.61666666666666		1958-05-01	1996-07-06	1	0	63	NMS	190	None									['126', '137', '106', '107', '117']							L.Haimberger	0	0.4		None	61.0	21946_stationfile.csv	OSCAR
27	0-20000-0-25399	0	28	25399	3	MYS UELEN			0	-169.83472222222224	66.16277777777778		1958-05-01	1996-04-12	1	0	63	NMS	190	None									['126', '137', '106', '107', '117']							L.Haimberger	0	0.8		None	7.06	25399_stationfile.csv	OSCAR
28	0-20000-0-23078	0	29	23078	3	NORIL'SK			0	88.26388888888889	69.34722222222221		1980-02-05	1996-05-23	1	0	63	NMS	190	Norilsk									['126', '137', '106', '107', '117']							L.Haimberger	0	3.5		3.8	64.6	23078_stationfile.csv	OSCAR
29	0-20300-0-04340	0	30	4340	3	KAP TOBIN			0	-21.97	70.42		1958-05-01	1980-10-28	1	0	63	NMS	83	None									['126', '137', '106', '107', '117']							L.Haimberger	0	0.0		None	22.0	04340_stationfile.csv	IGRA2
30	0-20000-0-71938	0	31	71938	3	KUGLUKTUK A, NU			0	-115.1438888888889	67.81666666666666		1948-01-02	1970-02-17	1	0	63	NMS	37	None									['126', '137', '106', '107', '117']							L.Haimberger	0	2.6		None	22.6	71938_stationfile.csv	OSCAR
31	0-20000-0-71090	0	32	71090	3	CLYDE RIVER A, NU			0	-68.51694444444445	70.48583333333333		1950-01-01	1972-11-28	1	0	63	NMS	37	None									['126', '137', '106', '107', '117']							L.Haimberger	0	3.5		None	26.5	71090_stationfile.csv	OSCAR
32	0-20000-0-70133	0	33	70133	3	KOTZEBUE, RALPH WIEN			0	-162.61333333333332	66.8863888888889		1962-03-04	1996-07-06	1	0	63	NMS	231	None									['126', '137', '106', '107', '117']							L.Haimberger	0	2.0		None	5.0	70133_stationfile.csv	OSCAR
33	0-20000-0-20891	0	34	20891	3	HATANGA			0	102.46638888888889	71.97722222222222		1958-05-01	1996-06-28	1	0	63	NMS	190	None									['126', '137', '106', '107', '117']							L.Haimberger	0	0.3		None	32.8	20891_stationfile.csv	OSCAR
34	0-20000-0-24125	0	35	24125	3	OLENEK (24125-0)			0	112.43333333333334	68.5		1958-05-01	1996-07-06	1	0	63	NMS	190	Udachnyy									['126', '137', '106', '107', '117']							L.Haimberger	0	0.1		232.4	219.54	24125_stationfile.csv	OSCAR
