	file	kind	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
22	12123.csv	ORPHAN	0-20888-0-12123.csv	 	23	12123.csv	 	 	 	 	 	115.02115,115.01696,114.15622,115.01439	-61.00946,-60.9179,-61.661530000000006,-61.29339	 	20240205	20240206	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
23	72261.csv	COORDINATE_ISSUES	0-20666-0-72261.csv	 	24	72261.csv	 	 	 	 	 			 	20141001	20161005	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
24	59431.csv	COORDINATE_ISSUES	0-20666-0-59431.csv	 	25	59431.csv	 	 	 	 	 			 	20141001	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
25	34467.csv	ORPHAN	0-20888-0-34467.csv	 	26	34467.csv	 	 	 	 	 	44.34638,nan	48.788050000000005,nan	 	20151101	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
26	82244.csv	COORDINATE_ISSUES	0-20666-0-82244.csv	 	27	82244.csv	 	 	 	 	 			 	20141001	20161005	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
27	83612.csv	COORDINATE_ISSUES	0-20666-0-83612.csv	 	28	83612.csv	 	 	 	 	 			 	20141001	20161005	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
28	83899.csv	COORDINATE_ISSUES	0-20666-0-83899.csv	 	29	83899.csv	 	 	 	 	 			 	20141001	20161005	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
29	98328.csv	COORDINATE_ISSUES	0-20666-0-98328.csv	 	30	98328.csv	 	 	 	 	 			 	20141002	20240304	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
30	72469.csv	COORDINATE_ISSUES	0-20666-0-72469.csv	 	31	72469.csv	 	 	 	 	 			 	20141001	20161005	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
31	74004.csv	ORPHAN	0-20888-0-74004.csv	 	32	74004.csv	 	 	 	 	 	-114.0,114.0	32.5,32.5	 	20141001	20240301	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
32	83378.csv	COORDINATE_ISSUES	0-20666-0-83378.csv	 	33	83378.csv	 	 	 	 	 			 	20141002	20161005	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
33	74494.csv	COORDINATE_ISSUES	0-20666-0-74494.csv	 	34	74494.csv	 	 	 	 	 			 	20141001	20161005	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
34	42101.csv	COORDINATE_ISSUES	0-20666-0-42101.csv	 	35	42101.csv	 	 	 	 	 			 	20141002	20240301	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
35	37011.csv	ORPHAN	0-20888-0-37011.csv	 	36	37011.csv	 	 	 	 	 	39.033,nan	44.010000000000005,nan	 	20151101	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
36	71836.csv	COORDINATE_ISSUES	0-20666-0-71836.csv	 	37	71836.csv	 	 	 	 	 			 	20141001	20161005	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
37	42622.csv	ORPHAN	0-20888-0-42622.csv	 	38	42622.csv	 	 	 	 	 	93.77	25.880000000000003	 	20240206	20240211	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
38	72214.csv	COORDINATE_ISSUES	0-20666-0-72214.csv	 	39	72214.csv	 	 	 	 	 			 	20141001	20240302	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
39	15420.csv	COORDINATE_ISSUES	0-20666-0-15420.csv	 	40	15420.csv	 	 	 	 	 			 	20141001	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
40	42971.csv	COORDINATE_ISSUES	0-20666-0-42971.csv	 	41	42971.csv	 	 	 	 	 			 	20141007	20240302	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
41	43041.csv	COORDINATE_ISSUES	0-20666-0-43041.csv	 	42	43041.csv	 	 	 	 	 			 	20141020	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
42	23802.csv	ORPHAN	0-20888-0-23802.csv	 	43	23802.csv	 	 	 	 	 	50.78595000000001,nan	61.676820000000006,nan	 	20151101	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
43	88889.csv	ORPHAN	0-20888-0-88889.csv	 	44	88889.csv	 	 	 	 	 	-58.44805,-58.43300000000001,-58.45,-58.45,-58.447230000000005	-51.82000000000001,-51.167,-51.82000000000001,-51.81,-51.82278	 	20141001	20240302	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
44	34882.csv	ORPHAN	0-20888-0-34882.csv	 	45	34882.csv	 	 	 	 	 	47.97167,nan	46.29083000000001,nan	 	20151101	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
45	63985.csv	ORPHAN	0-20888-0-63985.csv	 	46	63985.csv	 	 	 	 	 	55.530800000000006,50.6	-4.67905,-4.32667	 	20151101	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
46	89062.csv	COORDINATE_ISSUES	0-20666-0-89062.csv	 	47	89062.csv	 	 	 	 	 			 	20141003	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
47	61901.csv	ORPHAN	0-20888-0-61901.csv	 	48	61901.csv	 	 	 	 	 	-5.66722,-5.65,-5.66,-5.666670000000001,-5.6675	-15.94194,-15.567000000000002,-15.93,-15.933330000000002,-15.942000000000002	 	20141002	20240302	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
48	25913.csv	ORPHAN	0-20888-0-25913.csv	 	49	25913.csv	 	 	 	 	 	150.78333,150.71666000000002	59.55,59.900000000000006	 	20151101	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
49	72388.csv	ORPHAN	0-20888-0-72388.csv	 	50	72388.csv	 	 	 	 	 	nan,-115.1847	nan,36.04706	 	20160426	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
50	42111.csv	COORDINATE_ISSUES	0-20666-0-42111.csv	 	51	42111.csv	 	 	 	 	 			 	20141007	20240302	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
51	42874.csv	ORPHAN	0-20888-0-42874.csv	 	52	42874.csv	 	 	 	 	 	81.65,nan,81.65	21.23,nan,21.23333	 	20141002	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
52	17064.csv	COORDINATE_ISSUES	0-20666-0-17064.csv	 	53	17064.csv	 	 	 	 	 			 	20141001	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
53	43003.csv	COORDINATE_ISSUES	0-20666-0-43003.csv	 	54	43003.csv	 	 	 	 	 			 	20141002	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
54	07145.csv	COORDINATE_ISSUES	0-20666-0-07145.csv	 	55	07145.csv	 	 	 	 	 			 	20141001	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
55	71603.csv	COORDINATE_ISSUES	0-20666-0-71603.csv	 	56	71603.csv	 	 	 	 	 			 	20141001	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
56	72662.csv	ORPHAN	0-20888-0-72662.csv	 	57	72662.csv	 	 	 	 	 	-103.2,-103.21027,-103.05,-103.21,103.2	44.66667,44.07301,44.05,44.07,44.66667	 	20141001	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
57	42348.csv	COORDINATE_ISSUES	0-20666-0-42348.csv	 	58	42348.csv	 	 	 	 	 			 	20141006	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
58	43333.csv	COORDINATE_ISSUES	0-20666-0-43333.csv	 	59	43333.csv	 	 	 	 	 			 	20141007	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
59	47230.csv	ORPHAN	0-20888-0-47230.csv	 	60	47230.csv	 	 	 	 	 	126.10238	37.26342	 	20240204	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
60	71722.csv	COORDINATE_ISSUES	0-20666-0-71722.csv	 	61	71722.csv	 	 	 	 	 			 	20141001	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
61	71802.csv	COORDINATE_ISSUES	0-20666-0-71802.csv	 	62	71802.csv	 	 	 	 	 			 	20141001	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
62	08160.csv	COORDINATE_ISSUES	0-20666-0-08160.csv	 	63	08160.csv	 	 	 	 	 			 	20141001	20151030	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
63	60018.csv	COORDINATE_ISSUES	0-20666-0-60018.csv	 	64	60018.csv	 	 	 	 	 			 	20141001	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
64	UNKNOWN.csv	COORDINATE_ISSUES	0-20666-0-UNKNOWN.csv	 	65	UNKNOWN.csv	 	 	 	 	 			 	20141001	20240304	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
