	date_time	sensor_id	date_time_conv
0	1320973200	b'J80 '	1941-11-11 01:00:00
40653	2561284800	b'J56 '	1981-03-01 12:00:00
58626	2964772800	b'J94 '	1993-12-13 12:00:00
66420	3139819200	b'J99 '	1999-07-01 12:00:00
71479	3253089600	b'J9H '	2003-02-01 12:00:00
79462	3565944000	b'80.0'	2012-12-31 12:00:00
79508	3567931200	b'nan'	2013-01-23 12:00:00
79951	3587068800	b'22.0'	2013-09-02 00:00:00
82174	3682625400	b'122.'	2016-09-11 23:30:00
82787	3708979200	b'30.0'	2017-07-14 00:00:00
83189	3726345600	b'35.0'	2018-01-31 00:00:00
83410	3735891000	b'135.'	2018-05-21 11:30:00
85011	3804924644	b'141.'	2020-07-28 11:30:44
85080	3807950400	b'41.0'	2020-09-01 12:00:00
