	date_time	sensor_id	date_time_conv
0	1312581600	b'V18 '	1941-08-05 22:00:00
30034	2527545600	b'V2_ '	1980-02-05 00:00:00
32321	2645136000	b'V8A '	1983-10-28 00:00:00
38556	2918070000	b'VB_ '	1992-06-20 23:00:00
39959	2980191600	b'VC_ '	1994-06-09 23:00:00
45982	3239046000	b'M__ '	2002-08-22 23:00:00
50966	3454574400	b'VNn '	2009-06-21 12:00:00
50975	3454959600	b'VNg '	2009-06-25 23:00:00
51065	3458847600	b'BFa '	2009-08-09 23:00:00
53513	3565983600	b'99.0'	2012-12-31 23:00:00
53730	3575401200	b'nan'	2013-04-19 23:00:00
54253	3598081479	b'80.0'	2014-01-07 11:04:39
55481	3651390327	b'141.'	2015-09-16 11:05:27
55491	3651822000	b'41.0'	2015-09-21 11:00:00
59850	3841135200	b'63.0'	2021-09-20 14:00:00
59852	3841211115	b'163.'	2021-09-21 11:05:15
