	date_time	sensor_id	date_time_conv
0	1395313200	b'C2  '	1944-03-20 11:00:00
1115	2033035200	b'V13 '	1964-06-04 12:00:00
23814	3565944000	b'57.0'	2012-12-31 12:00:00
23816	3566030400	b'90.0'	2013-01-01 12:00:00
23841	3567153600	b'nan'	2013-01-14 12:00:00
24932	3615836400	b'17.0'	2014-07-31 23:00:00
25314	3633508800	b'80.0'	2015-02-21 12:00:00
26024	3666466800	b'41.0'	2016-03-08 23:00:00
26025	3666510000	b'14.0'	2016-03-09 11:00:00
27407	3729326400	b'77.0'	2018-03-06 12:00:00
29000	3801560400	b'63.0'	2020-06-19 13:00:00
29267	3814344000	b'99.0'	2020-11-14 12:00:00
29789	3838622400	b'54.0'	2021-08-22 12:00:00
