	date_time	sensor_id	date_time_conv
0	1612609200	b'FE2 '	1951-02-07 11:00:00
6699	2832624000	b'V8A '	1989-10-06 00:00:00
6766	2840140800	b'VEv '	1990-01-01 00:00:00
9447	3084649200	b'VEg '	1997-09-30 23:00:00
9886	3123097200	b'VEG '	1998-12-19 23:00:00
11283	3242415600	b'V9G '	2002-09-30 23:00:00
11289	3242847600	b'MV6 '	2002-10-05 23:00:00
15336	3565983600	b'57.0'	2012-12-31 23:00:00
15403	3571725600	b'77.0'	2013-03-08 10:00:00
15404	3571732800	b'nan'	2013-03-08 12:00:00
15679	3595793340	b'177.'	2013-12-11 23:29:00
