	date_time	sensor_id	date_time_conv
0	1356926400	b'VDR '	1943-01-01 04:00:00
63106	3171999600	b'VDT '	2000-07-07 23:00:00
69413	3312831600	b'VGT '	2004-12-23 23:00:00
69879	3323804400	b'VGR '	2005-04-29 23:00:00
71092	3359919600	b'VNt '	2006-06-21 23:00:00
71585	3376508400	b'VNn '	2006-12-30 23:00:00
71637	3378236400	b'VNr '	2007-01-19 23:00:00
77792	3565983600	b'80.0'	2012-12-31 23:00:00
77793	3566005200	b'nan'	2013-01-01 05:00:00
78850	3600284400	b'78.0'	2014-02-01 23:00:00
80784	3739136197	b'141.'	2018-06-28 00:56:37
