	date_time	sensor_id	date_time_conv
0	729424980	b'GKB '	1923-02-12 10:03:00
19085	2326190400	b'WI4 '	1973-09-18 12:00:00
19102	2326881600	b'W_P '	1973-09-26 12:00:00
21086	2479982400	b'IA3 '	1978-08-03 12:00:00
22421	2528190000	b'IA5 '	1980-02-12 11:00:00
28260	2778494400	b'IA7 '	1988-01-18 12:00:00
32101	2954620800	b'I31 '	1993-08-18 00:00:00
47317	3565940400	b'nan'	2012-12-31 11:00:00
47322	3566095200	b'55.0'	2013-01-02 06:00:00
49438	3632191200	b'7.0'	2015-02-06 06:00:00
50312	3659839200	b'22.0'	2015-12-23 06:00:00
50536	3666492000	b'80.0'	2016-03-09 06:00:00
50755	3673314000	b'35.0'	2016-05-27 05:00:00
52419	3725589600	b'13.0'	2018-01-22 06:00:00
52425	3725762400	b'30.0'	2018-01-24 06:00:00
52452	3726540000	b'19.0'	2018-02-02 06:00:00
