	date_time	sensor_id	date_time_conv
0	1460257200	b'Z472'	1946-04-11 03:00:00
26683	2403561600	b'Z4a2'	1976-03-02 00:00:00
28241	2450908800	b'MZR '	1977-09-01 00:00:00
28740	2467800000	b'RA4 '	1978-03-15 12:00:00
28750	2468102400	b'Z4a '	1978-03-19 00:00:00
33481	2807827200	b'XXX '	1988-12-23 00:00:00
34089	2894918400	b'RZ3 '	1991-09-27 00:00:00
34831	2981491200	b'VCV '	1994-06-25 00:00:00
35951	3084652800	b'VCN '	1997-10-01 00:00:00
35961	3085603200	b'VCG '	1997-10-12 00:00:00
43471	3565965600	b'nan'	2012-12-31 18:00:00
