	date_time	sensor_id	date_time_conv
0	1947326400	b'RK2 '	1961-09-16 12:00:00
24032	2716372800	b'MR4 '	1986-01-29 12:00:00
24253	2721427200	b'RRA '	1986-03-29 00:00:00
28380	2819016000	b'MRr '	1989-05-01 12:00:00
30328	2873318400	b'RR1 '	1991-01-20 00:00:00
33976	3055536000	b'XXX '	1996-10-29 00:00:00
35358	3232742400	b'RZ3 '	2002-06-11 00:00:00
40620	3565944000	b'58.0'	2012-12-31 12:00:00
40666	3567931200	b'nan'	2013-01-23 12:00:00
40880	3582014400	b'28.0'	2013-07-05 12:00:00
41082	3590740800	b'27.0'	2013-10-14 12:00:00
41112	3592036800	b'22.0'	2013-10-29 12:00:00
41255	3599208000	b'68.0'	2014-01-20 12:00:00
42358	3651307200	b'90.0'	2015-09-15 12:00:00
42919	3676752000	b'29.0'	2016-07-06 00:00:00
43033	3681676800	b'59.0'	2016-09-01 00:00:00
44494	3745310400	b'30.0'	2018-09-07 12:00:00
45097	3772353600	b'19.0'	2019-07-17 12:00:00
45284	3780473550	b'119.'	2019-10-19 11:32:30
