	date_time	sensor_id	date_time_conv
0	1280023320	b'RS5 '	1940-07-25 02:02:00
21358	2321136000	b'RK5 '	1973-07-22 00:00:00
25709	2432743200	b'MRu '	1977-02-02 18:00:00
25978	2438964000	b'RA4 '	1977-04-15 18:00:00
38061	2723155200	b'W__ '	1986-04-18 00:00:00
38113	2724278400	b'RRB '	1986-05-01 00:00:00
43409	2851329600	b'MRr '	1990-05-10 12:00:00
43417	2851545600	b'RR1 '	1990-05-13 00:00:00
44457	2899411200	b'RZ3 '	1991-11-18 00:00:00
45675	2953454400	b'XXX '	1993-08-04 12:00:00
55948	3565944000	b'89.0'	2012-12-31 12:00:00
55967	3566764800	b'58.0'	2013-01-10 00:00:00
55994	3567931200	b'nan'	2013-01-23 12:00:00
56059	3570739200	b'27.0'	2013-02-25 00:00:00
56091	3572121600	b'29.0'	2013-03-13 00:00:00
57306	3624696000	b'90.0'	2014-11-11 12:00:00
57515	3637612800	b'28.0'	2015-04-10 00:00:00
59155	3708547200	b'88.0'	2017-07-09 00:00:00
59931	3742070400	b'62.0'	2018-08-01 00:00:00
60440	3764016000	b'9.0'	2019-04-12 00:00:00
60742	3777233400	b'162.'	2019-09-11 23:30:00
61500	3809979000	b'128.'	2020-09-24 23:30:00
61577	3814255800	b'160.'	2020-11-13 11:30:00
