	date_time	sensor_id	date_time_conv
0	1577847600	b'AW1 '	1950-01-01 03:00:00
33492	2303683200	b'AA63'	1973-01-01 00:00:00
44230	2487880800	b'APA3'	1978-11-02 22:00:00
50294	2606947200	b'APB '	1982-08-12 00:00:00
50907	2618438400	b'APCa'	1982-12-23 00:00:00
58940	2771452800	b'APJa'	1987-10-29 00:00:00
59016	2772403200	b'V8A '	1987-11-09 00:00:00
67825	2956431600	b'VDR '	1993-09-07 23:00:00
75930	3178609200	b'VFG '	2000-09-22 11:00:00
75954	3179300400	b'VDG '	2000-09-30 11:00:00
81671	3359577600	b'VNg '	2006-06-18 00:00:00
85703	3565983600	b'81.0'	2012-12-31 23:00:00
85704	3566005200	b'nan'	2013-01-01 05:00:00
87153	3734220208	b'142.'	2018-05-02 03:23:28
