	date_time	sensor_id	date_time_conv
0	8677500	b'DGh '	1900-04-11 10:25:00
2500	1348891200	b'XXX '	1942-09-30 04:00:00
13710	1776326400	b'DG2 '	1956-04-16 08:00:00
14243	1822370400	b'UBD '	1957-10-01 06:00:00
15227	1907388000	b'UB5 '	1960-06-11 06:00:00
16071	1961650800	b'DGP '	1962-03-01 07:00:00
16215	1964757600	b'BIT '	1962-04-06 06:00:00
16311	1966744800	b'U9H '	1962-04-29 06:00:00
16692	1974844800	b'U4B '	1962-08-01 00:00:00
16822	1977548400	b'Zb2 '	1962-09-01 07:00:00
16826	1977631200	b'Z45 '	1962-09-02 06:00:00
17339	1988085600	b'ZC4 '	1963-01-01 06:00:00
18075	2003983200	b'ZCH '	1963-07-04 06:00:00
18179	2006229600	b'ZDH '	1963-07-30 06:00:00
18963	2023164000	b'ZDT '	1964-02-11 06:00:00
19608	2037182400	b'UBT '	1964-07-22 12:00:00
20014	2045973600	b'UcB '	1964-11-01 06:00:00
20516	2057054400	b'U9B '	1965-03-09 12:00:00
20576	2058350400	b'U15 '	1965-03-24 12:00:00
22350	2097640800	b'ZEH '	1966-06-22 06:00:00
27409	2210652000	b'ZfH '	1970-01-20 06:00:00
29413	2256202800	b'ZFH '	1971-07-01 11:00:00
31562	2309428800	b'ZHH '	1973-03-08 12:00:00
32766	2335780800	b'ZF1 '	1974-01-07 12:00:00
32970	2340273600	b'U4c '	1974-02-28 12:00:00
37708	2452053600	b'V2S '	1977-09-14 06:00:00
37945	2457172800	b'ZH1 '	1977-11-12 12:00:00
39158	2483697600	b'ZIH '	1978-09-15 12:00:00
40055	2503742400	b'ZI1 '	1979-05-05 12:00:00
41831	2548756800	b'ZJH '	1980-10-07 12:00:00
42400	2561284800	b'ZJ4 '	1981-03-01 12:00:00
44369	2634897600	b'V8J '	1983-07-01 12:00:00
44735	2650881600	b'MX1 '	1984-01-02 12:00:00
