	date_time	sensor_id	date_time_conv
0	1730080800	b'IC2 '	1954-10-29 02:00:00
14505	2150064000	b'IA2 '	1968-02-19 00:00:00
27077	2499141600	b'W_P '	1979-03-13 06:00:00
27317	2504473200	b'IA4 '	1979-05-13 23:00:00
29709	2566771200	b'IA6 '	1981-05-04 00:00:00
39291	2833790400	b'IA8 '	1989-10-19 12:00:00
43649	2944900800	b'I32 '	1993-04-27 12:00:00
55594	3286051200	b'MI2 '	2004-02-18 00:00:00
56872	3334348800	b'I42 '	2005-08-30 00:00:00
57123	3344306400	b'XXX '	2005-12-23 06:00:00
61194	3565922400	b'nan'	2012-12-31 06:00:00
62566	3648499200	b'17.0'	2015-08-14 00:00:00
67850	3787513200	b'21.0'	2020-01-08 23:00:00
