primary_id	secondary_id	station_name	latitude	longitude	start	end	file
0-20000-0-32540	[32583]	PETROPAVLOVSK-KAMCHATSKIJ (32540-0)	52.98	158.65	1950-03-25 00:00:00	1956-11-28 00:00:00	/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_032583.nc
0-20000-0-42516	[42516]	SHILLONG	25.57	91.88	1953-04-27 00:00:00	1955-07-21 00:00:00	/raid60/scratch/leo/scratch/ncar/rda/UADB_trhc_042516.nc
0-20000-0-42165	[42165]	BIKANER	28.0	73.3	1960-04-01 00:00:00	2019-03-31 00:00:00	/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_042165.nc
0-20000-0-34880	[34882]	ASTRAHAN' (34880-0)	46.28	48.01	2017-12-13 00:00:00	2019-03-31 00:00:00	/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_034882.nc
0-20000-0-10385	[10385]	BERLIN-SCHOENEFELD	52.38	13.52	1956-01-03 00:00:00	1971-05-20 00:00:00	/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_010385.nc
0-20000-0-41675	[41675]	MULTAN	30.2	71.43	1954-01-01 00:00:00	2019-03-12 00:00:00	/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_041675.nc
0-20000-0-40911	[99888, 40911]	MAZAR-I-SHARIF	36.7	67.2	2009-08-05 00:00:00	2015-01-14 00:00:00	/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_040911.nc
0-20000-0-29998	[30700]	ORLIK	52.17	100.35	1976-06-20 00:00:00	2002-08-24 00:00:00	/raid60/scratch/leo/scratch/ncar/rda/UADB_trhc_030700.nc
0-20000-0-38606	[38606]	KOKAND	40.55	70.95	1976-12-01 00:00:00	1996-06-12 00:00:00	/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_038606.nc
0-20000-0-10488	[10486, 9486]	DRESDEN-KLOTZSCHE	51.12	13.68	1950-01-01 00:00:00	2000-09-11 00:00:00	/raid60/scratch/leo/scratch/ncar/rda/UADB_trhc_010486.nc
0-20000-0-31329	[31329]	EKIMCHAN	53.07	132.93	1951-03-01 00:00:00	2002-01-20 00:00:00	/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_031329.nc
0-20001-0-37055	[37055]	MINERAL'NYE VODY (37055-1)	44.22	43.1	2017-12-13 00:00:00	2019-03-31 00:00:00	/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_037055.nc
0-20000-0-15260	[15260]	SIBIU	45.8	24.15	1973-03-23 00:00:00	1991-03-31 00:00:00	/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_015260.nc
0-20000-0-25703	[25703]	SEJMCHAN	62.93	152.43	1955-04-27 00:00:00	2019-03-31 00:00:00	/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_025703.nc
0-20000-0-28275	[28275]	TOBOL'SK	58.15	68.18	1951-11-24 00:00:00	2019-03-31 00:00:00	/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_028275.nc
