	date	counts
254	1921-03-01	0
255	1921-04-01	0
256	1921-05-01	0
257	1921-06-01	0
258	1921-07-01	0
259	1921-08-01	0
260	1921-09-01	0
261	1921-10-01	0
262	1921-11-01	0
263	1921-12-01	0
264	1922-01-01	0
265	1922-02-01	0
266	1922-03-01	0
267	1922-04-01	0
268	1922-05-01	0
269	1922-06-01	0
270	1922-07-01	0
271	1922-08-01	0
272	1922-09-01	0
273	1922-10-01	0
274	1922-11-01	0
275	1922-12-01	0
276	1923-01-01	0
277	1923-02-01	0
278	1923-03-01	0
279	1923-04-01	0
280	1923-05-01	0
281	1923-06-01	0
282	1923-07-01	0
283	1923-08-01	0
284	1923-09-01	0
285	1923-10-01	0
286	1923-11-01	0
287	1923-12-01	0
288	1924-01-01	0
289	1924-02-01	0
290	1924-03-01	0
291	1924-04-01	0
292	1924-05-01	0
293	1924-06-01	0
294	1924-07-01	0
295	1924-08-01	0
296	1924-09-01	0
297	1924-10-01	0
298	1924-11-01	0
299	1924-12-01	0
300	1925-01-01	0
301	1925-02-01	0
302	1925-03-01	0
303	1925-04-01	0
304	1925-05-01	0
305	1925-06-01	0
306	1925-07-01	0
307	1925-08-01	1
308	1925-09-01	0
309	1925-10-01	0
310	1925-11-01	0
311	1925-12-01	0
312	1926-01-01	0
313	1926-02-01	0
314	1926-03-01	0
315	1926-04-01	0
316	1926-05-01	0
317	1926-06-01	0
318	1926-07-01	0
319	1926-08-01	0
320	1926-09-01	0
321	1926-10-01	0
322	1926-11-01	0
323	1926-12-01	0
324	1927-01-01	0
325	1927-02-01	0
326	1927-03-01	0
327	1927-04-01	0
328	1927-05-01	0
329	1927-06-01	0
330	1927-07-01	0
331	1927-08-01	0
332	1927-09-01	0
333	1927-10-01	1
334	1927-11-01	0
335	1927-12-01	1
336	1928-01-01	0
337	1928-02-01	0
338	1928-03-01	0
339	1928-04-01	0
340	1928-05-01	0
341	1928-06-01	0
342	1928-07-01	0
343	1928-08-01	0
344	1928-09-01	0
345	1928-10-01	0
346	1928-11-01	0
347	1928-12-01	0
348	1929-01-01	0
349	1929-02-01	0
350	1929-03-01	0
351	1929-04-01	0
352	1929-05-01	0
353	1929-06-01	0
354	1929-07-01	0
355	1929-08-01	0
356	1929-09-01	0
357	1929-10-01	0
358	1929-11-01	0
359	1929-12-01	0
360	1930-01-01	0
361	1930-02-01	0
362	1930-03-01	0
363	1930-04-01	0
364	1930-05-01	0
365	1930-06-01	0
366	1930-07-01	0
367	1930-08-01	0
368	1930-09-01	0
369	1930-10-01	0
370	1930-11-01	0
371	1930-12-01	0
372	1931-01-01	0
373	1931-02-01	0
374	1931-03-01	0
375	1931-04-01	0
376	1931-05-01	0
377	1931-06-01	0
378	1931-07-01	0
379	1931-08-01	0
380	1931-09-01	0
381	1931-10-01	0
382	1931-11-01	0
383	1931-12-01	0
384	1932-01-01	0
385	1932-02-01	0
386	1932-03-01	0
387	1932-04-01	0
388	1932-05-01	0
389	1932-06-01	0
390	1932-07-01	0
391	1932-08-01	0
392	1932-09-01	0
393	1932-10-01	0
394	1932-11-01	0
395	1932-12-01	0
396	1933-01-01	0
397	1933-02-01	0
398	1933-03-01	0
399	1933-04-01	0
400	1933-05-01	0
401	1933-06-01	0
402	1933-07-01	0
403	1933-08-01	0
404	1933-09-01	0
405	1933-10-01	0
406	1933-11-01	0
407	1933-12-01	0
408	1934-01-01	0
409	1934-02-01	0
410	1934-03-01	0
411	1934-04-01	0
412	1934-05-01	3
413	1934-06-01	0
414	1934-07-01	0
415	1934-08-01	0
416	1934-09-01	3
417	1934-10-01	0
418	1934-11-01	0
419	1934-12-01	0
420	1935-01-01	1
421	1935-02-01	3
422	1935-03-01	0
423	1935-04-01	1
424	1935-05-01	0
425	1935-06-01	3
426	1935-07-01	0
427	1935-08-01	1
428	1935-09-01	0
429	1935-10-01	4
430	1935-11-01	2
431	1935-12-01	1
432	1936-01-01	0
433	1936-02-01	0
434	1936-03-01	1
435	1936-04-01	0
436	1936-05-01	2
437	1936-06-01	3
438	1936-07-01	2
439	1936-08-01	0
440	1936-09-01	0
441	1936-10-01	1
442	1936-11-01	1
443	1936-12-01	0
444	1937-01-01	0
445	1937-02-01	0
446	1937-03-01	1
447	1937-04-01	1
448	1937-05-01	3
449	1937-06-01	4
450	1937-07-01	3
451	1937-08-01	1
452	1937-09-01	1
453	1937-10-01	1
454	1937-11-01	0
455	1937-12-01	5
456	1938-01-01	10
457	1938-02-01	12
458	1938-03-01	14
459	1938-04-01	4
460	1938-05-01	1
461	1938-06-01	2
462	1938-07-01	12
463	1938-08-01	14
464	1938-09-01	9
465	1938-10-01	5
466	1938-11-01	14
467	1938-12-01	9
468	1939-01-01	10
469	1939-02-01	9
470	1939-03-01	1
471	1939-04-01	13
472	1939-05-01	19
473	1939-06-01	19
474	1939-07-01	34
475	1939-08-01	20
476	1939-09-01	15
477	1939-10-01	26
478	1939-11-01	53
479	1939-12-01	33
480	1940-01-01	26
481	1940-02-01	61
482	1940-03-01	90
483	1940-04-01	114
484	1940-05-01	107
485	1940-06-01	99
486	1940-07-01	148
487	1940-08-01	193
488	1940-09-01	207
489	1940-10-01	224
490	1940-11-01	192
491	1940-12-01	227
492	1941-01-01	185
493	1941-02-01	183
494	1941-03-01	199
495	1941-04-01	165
496	1941-05-01	215
497	1941-06-01	263
498	1941-07-01	183
499	1941-08-01	183
500	1941-09-01	169
501	1941-10-01	166
502	1941-11-01	139
503	1941-12-01	162
504	1942-01-01	145
505	1942-02-01	123
506	1942-03-01	137
507	1942-04-01	194
508	1942-05-01	173
509	1942-06-01	191
510	1942-07-01	217
511	1942-08-01	204
512	1942-09-01	211
513	1942-10-01	178
514	1942-11-01	115
515	1942-12-01	93
516	1943-01-01	104
517	1943-02-01	72
518	1943-03-01	112
519	1943-04-01	131
520	1943-05-01	161
521	1943-06-01	175
522	1943-07-01	124
523	1943-08-01	199
524	1943-09-01	183
525	1943-10-01	66
526	1943-11-01	91
527	1943-12-01	65
528	1944-01-01	73
529	1944-02-01	65
530	1944-03-01	72
531	1944-04-01	104
532	1944-05-01	164
533	1944-06-01	117
534	1944-07-01	111
535	1944-08-01	111
536	1944-09-01	89
537	1944-10-01	117
538	1944-11-01	114
539	1944-12-01	113
540	1945-01-01	111
541	1945-02-01	99
542	1945-03-01	127
543	1945-04-01	78
544	1945-05-01	90
545	1945-06-01	77
546	1945-07-01	77
547	1945-08-01	64
548	1945-09-01	64
549	1945-10-01	76
550	1945-11-01	73
551	1945-12-01	67
552	1946-01-01	152
553	1946-02-01	147
554	1946-03-01	198
555	1946-04-01	180
556	1946-05-01	194
557	1946-06-01	158
558	1946-07-01	173
559	1946-08-01	145
560	1946-09-01	126
561	1946-10-01	102
562	1946-11-01	99
563	1946-12-01	95
564	1947-01-01	180
565	1947-02-01	147
566	1947-03-01	218
567	1947-04-01	248
568	1947-05-01	228
569	1947-06-01	193
570	1947-07-01	245
571	1947-08-01	230
572	1947-09-01	221
573	1947-10-01	257
574	1947-11-01	249
575	1947-12-01	276
576	1948-01-01	469
577	1948-02-01	490
578	1948-03-01	626
579	1948-04-01	858
580	1948-05-01	815
581	1948-06-01	817
582	1948-07-01	757
583	1948-08-01	809
584	1948-09-01	827
585	1948-10-01	857
586	1948-11-01	827
587	1948-12-01	812
588	1949-01-01	852
589	1949-02-01	741
590	1949-03-01	1066
591	1949-04-01	1043
592	1949-05-01	976
593	1949-06-01	1107
594	1949-07-01	1190
595	1949-08-01	1161
596	1949-09-01	1202
597	1949-10-01	1275
598	1949-11-01	1298
599	1949-12-01	1377
600	1950-01-01	1868
601	1950-02-01	1836
602	1950-03-01	1981
603	1950-04-01	2133
604	1950-05-01	2427
605	1950-06-01	2471
606	1950-07-01	2764
607	1950-08-01	2736
608	1950-09-01	2683
609	1950-10-01	2730
610	1950-11-01	2561
611	1950-12-01	2607
612	1951-01-01	2769
613	1951-02-01	2587
614	1951-03-01	3025
615	1951-04-01	2720
616	1951-05-01	2970
617	1951-06-01	2942
618	1951-07-01	3137
619	1951-08-01	3005
620	1951-09-01	3103
621	1951-10-01	3369
622	1951-11-01	3138
623	1951-12-01	3222
624	1952-01-01	3277
625	1952-02-01	3314
626	1952-03-01	3680
627	1952-04-01	3579
628	1952-05-01	3647
629	1952-06-01	3762
630	1952-07-01	3956
631	1952-08-01	4054
632	1952-09-01	4113
633	1952-10-01	4105
634	1952-11-01	4167
635	1952-12-01	4132
636	1953-01-01	4229
637	1953-02-01	3718
638	1953-03-01	3883
639	1953-04-01	3751
640	1953-05-01	3861
641	1953-06-01	3871
642	1953-07-01	3873
643	1953-08-01	4098
644	1953-09-01	4023
645	1953-10-01	3984
646	1953-11-01	3944
647	1953-12-01	4172
648	1954-01-01	4295
649	1954-02-01	3956
650	1954-03-01	4065
651	1954-04-01	1310
652	1954-05-01	1369
653	1954-06-01	1249
654	1954-07-01	1452
655	1954-08-01	1367
656	1954-09-01	1465
657	1954-10-01	1339
658	1954-11-01	1323
659	1954-12-01	1327
660	1955-01-01	1445
661	1955-02-01	1335
662	1955-03-01	1435
663	1955-04-01	1474
664	1955-05-01	1318
665	1955-06-01	1256
666	1955-07-01	3723
667	1955-08-01	4307
668	1955-09-01	4464
669	1955-10-01	4732
670	1955-11-01	4239
671	1955-12-01	4724
672	1956-01-01	5175
673	1956-02-01	5126
674	1956-03-01	5278
675	1956-04-01	5215
676	1956-05-01	4950
677	1956-06-01	4971
678	1956-07-01	5043
679	1956-08-01	5028
680	1956-09-01	5035
681	1956-10-01	5346
682	1956-11-01	5019
683	1956-12-01	5381
684	1957-01-01	5839
685	1957-02-01	5479
686	1957-03-01	6414
687	1957-04-01	8647
688	1957-05-01	9114
689	1957-06-01	13464
690	1957-07-01	15717
691	1957-08-01	15859
692	1957-09-01	15309
693	1957-10-01	15829
694	1957-11-01	15513
695	1957-12-01	15941
696	1958-01-01	16507
697	1958-02-01	15377
698	1958-03-01	17513
699	1958-04-01	17101
700	1958-05-01	17633
701	1958-06-01	17155
702	1958-07-01	17580
703	1958-08-01	17522
704	1958-09-01	16954
705	1958-10-01	17584
706	1958-11-01	16893
707	1958-12-01	17620
708	1959-01-01	17318
709	1959-02-01	15919
710	1959-03-01	18008
711	1959-04-01	17454
712	1959-05-01	17833
713	1959-06-01	17165
714	1959-07-01	17356
715	1959-08-01	17770
716	1959-09-01	17313
717	1959-10-01	18010
718	1959-11-01	17408
719	1959-12-01	17808
720	1960-01-01	17373
721	1960-02-01	16384
722	1960-03-01	18040
723	1960-04-01	16846
724	1960-05-01	18066
725	1960-06-01	17370
726	1960-07-01	17820
727	1960-08-01	17881
728	1960-09-01	17493
729	1960-10-01	18136
730	1960-11-01	17130
731	1960-12-01	17968
732	1961-01-01	18125
733	1961-02-01	16284
734	1961-03-01	18170
735	1961-04-01	17657
736	1961-05-01	18253
737	1961-06-01	17358
738	1961-07-01	18291
739	1961-08-01	18372
740	1961-09-01	17790
741	1961-10-01	18190
742	1961-11-01	17566
743	1961-12-01	18220
744	1962-01-01	18271
745	1962-02-01	16648
746	1962-03-01	18547
747	1962-04-01	18151
748	1962-05-01	18876
749	1962-06-01	18420
750	1962-07-01	18650
751	1962-08-01	18622
752	1962-09-01	18057
753	1962-10-01	18517
754	1962-11-01	17903
755	1962-12-01	18153
756	1963-01-01	17972
757	1963-02-01	16260
758	1963-03-01	18175
759	1963-04-01	17570
760	1963-05-01	17899
761	1963-06-01	17304
762	1963-07-01	17814
763	1963-08-01	17447
764	1963-09-01	16845
765	1963-10-01	16506
766	1963-11-01	16079
767	1963-12-01	16479
768	1964-01-01	13383
769	1964-02-01	12148
770	1964-03-01	15066
771	1964-04-01	10752
772	1964-05-01	14540
773	1964-06-01	15400
774	1964-07-01	16282
775	1964-08-01	16486
776	1964-09-01	16146
777	1964-10-01	15912
778	1964-11-01	15711
779	1964-12-01	16384
780	1965-01-01	15046
781	1965-02-01	14472
782	1965-03-01	16546
783	1965-04-01	16197
784	1965-05-01	16617
785	1965-06-01	15881
786	1965-07-01	16221
787	1965-08-01	16543
788	1965-09-01	15607
789	1965-10-01	15840
790	1965-11-01	14797
791	1965-12-01	14908
792	1966-01-01	17205
793	1966-02-01	14842
794	1966-03-01	15607
795	1966-04-01	16297
796	1966-05-01	16490
797	1966-06-01	16944
798	1966-07-01	17720
799	1966-08-01	14415
800	1966-09-01	14281
801	1966-10-01	15907
802	1966-11-01	12892
803	1966-12-01	14405
804	1967-01-01	16525
805	1967-02-01	15267
806	1967-03-01	17127
807	1967-04-01	16688
808	1967-05-01	16899
809	1967-06-01	16525
810	1967-07-01	18118
811	1967-08-01	17363
812	1967-09-01	16102
813	1967-10-01	17439
814	1967-11-01	12597
815	1967-12-01	15431
816	1968-01-01	15507
817	1968-02-01	15510
818	1968-03-01	16448
819	1968-04-01	16223
820	1968-05-01	16786
821	1968-06-01	16466
822	1968-07-01	16895
823	1968-08-01	16680
824	1968-09-01	16182
825	1968-10-01	17025
826	1968-11-01	16357
827	1968-12-01	16920
828	1969-01-01	16849
829	1969-02-01	14596
830	1969-03-01	17143
831	1969-04-01	16502
832	1969-05-01	17419
833	1969-06-01	17516
834	1969-07-01	18116
835	1969-08-01	15970
836	1969-09-01	17667
837	1969-10-01	17933
838	1969-11-01	17534
839	1969-12-01	17657
840	1970-01-01	18377
841	1970-02-01	16611
842	1970-03-01	18396
843	1970-04-01	18265
844	1970-05-01	18563
845	1970-06-01	19105
846	1970-07-01	18081
847	1970-08-01	19750
848	1970-09-01	17293
849	1970-10-01	19120
850	1970-11-01	18391
851	1970-12-01	19295
852	1971-01-01	18522
853	1971-02-01	16230
854	1971-03-01	17527
855	1971-04-01	17849
856	1971-05-01	18525
857	1971-06-01	18047
858	1971-07-01	17603
859	1971-08-01	18662
860	1971-09-01	17133
861	1971-10-01	18469
862	1971-11-01	18213
863	1971-12-01	17320
864	1972-01-01	18720
865	1972-02-01	16258
