	date_time	sensor_id	date_time_conv
0	808740000	b'IA1 '	1925-08-18 10:00:00
30190	2364638400	b'WI4 '	1974-12-07 12:00:00
35925	2552644800	b'IA5 '	1980-11-21 12:00:00
44959	2779574400	b'IA7 '	1988-01-31 00:00:00
62654	3272526000	b'MI1 '	2003-09-14 11:00:00
63283	3293478000	b'I31 '	2004-05-13 23:00:00
64830	3348018000	b'W__ '	2006-02-04 05:00:00
69080	3560389200	b'nan'	2012-10-28 05:00:00
69651	3658089600	b'0.0'	2015-12-03 00:00:00
71465	3728761200	b'22.0'	2018-02-27 23:00:00
71468	3728851200	b'21.0'	2018-03-01 00:00:00
71688	3734679600	b'1.0'	2018-05-07 11:00:00
72143	3747254400	b'9.0'	2018-09-30 00:00:00
72239	3749540400	b'6.0'	2018-10-26 11:00:00
72761	3765222000	b'17.0'	2019-04-25 23:00:00
