	date_time	sensor_id	date_time_conv
0	1232661600	b'U?? '	1939-01-23 22:00:00
37540	2272579200	b'ZF1 '	1972-01-07 00:00:00
45558	2552083200	b'ZJ1 '	1980-11-15 00:00:00
51434	2802038400	b'ZKB '	1988-10-17 00:00:00
57768	3074112000	b'ZK2 '	1997-06-01 00:00:00
58491	3105648000	b'VU3 '	1998-06-01 00:00:00
64382	3362040000	b'XXX '	2006-07-16 12:00:00
64383	3362731200	b'ZRg '	2006-07-24 12:00:00
69147	3565944000	b'87.0'	2012-12-31 12:00:00
69366	3575404800	b'nan'	2013-04-20 00:00:00
69732	3591367200	b'82.0'	2013-10-21 18:00:00
72511	3711222445	b'182.'	2017-08-08 23:07:25
