	date_time	sensor_id	date_time_conv
0	1425557580	b'NA '	1945-03-05 12:13:00
60168	3565944000	b'29.'	2012-12-31 12:00:00
60169	3565987200	b'89.'	2013-01-01 00:00:00
60181	3566505600	b'88.'	2013-01-07 00:00:00
60213	3567931200	b'nan'	2013-01-23 12:00:00
60268	3570307200	b'27.'	2013-02-20 00:00:00
61576	3627720000	b'69.'	2014-12-16 12:00:00
62191	3657484800	b'60.'	2015-11-26 00:00:00
63028	3696580800	b'90.'	2017-02-20 12:00:00
63534	3718612800	b'11.'	2017-11-02 12:00:00
64080	3742200000	b'62.'	2018-08-02 12:00:00
64468	3762502200	b'162'	2019-03-25 11:30:00
64613	3768766200	b'160'	2019-06-05 23:30:00
65362	3801295800	b'129'	2020-06-16 11:30:00
