	date_time	sensor_id	date_time_conv
0	591966000	b'U?? '	1918-10-05 11:00:00
35130	2274480000	b'ZF1 '	1972-01-29 00:00:00
42059	2550787200	b'ZJ1 '	1980-10-31 00:00:00
47880	2802211200	b'ZKB '	1988-10-19 00:00:00
54102	3074112000	b'ZK2 '	1997-06-01 00:00:00
54822	3105648000	b'VU3 '	1998-06-01 00:00:00
60629	3351844800	b'XXX '	2006-03-20 12:00:00
60630	3352449600	b'ZRg '	2006-03-27 12:00:00
65709	3565944000	b'87.0'	2012-12-31 12:00:00
65857	3572251200	b'nan'	2013-03-14 12:00:00
65894	3573828000	b'52.0'	2013-04-01 18:00:00
69096	3711222227	b'152.'	2017-08-08 23:03:47
