	date_time	sensor_id	date_time_conv
0	1968598800	b'AA63'	1962-05-20 17:00:00
26434	2486761200	b'APA3'	1978-10-20 23:00:00
32681	2603836800	b'APB '	1982-07-07 00:00:00
33274	2616357600	b'APCa'	1982-11-28 22:00:00
41755	2767219200	b'V8A '	1987-09-10 00:00:00
47574	2879708400	b'VDR '	1991-04-03 23:00:00
56068	3071430000	b'VFV '	1997-04-30 23:00:00
56431	3084562800	b'VFG '	1997-09-29 23:00:00
63943	3353180400	b'VN8 '	2006-04-04 23:00:00
63968	3355254000	b'VDG '	2006-04-28 23:00:00
66640	3565897200	b'nan'	2012-12-30 23:00:00
66641	3566070000	b'81.0'	2013-01-01 23:00:00
67476	3719693735	b'142.'	2017-11-15 00:15:35
67914	3815074800	b'42.0'	2020-11-22 23:00:00
