	date_time	sensor_id	date_time_conv
0	250866000	b'ZgE '	1907-12-14 13:00:00
31025	2940105600	b'ZK5 '	1993-03-03 00:00:00
37760	3103941600	b'W_P '	1998-05-12 06:00:00
38190	3122366400	b'UA5 '	1998-12-11 12:00:00
46069	3565900800	b'57.0'	2012-12-31 00:00:00
46091	3569400000	b'nan'	2013-02-09 12:00:00
46126	3576355200	b'80.0'	2013-05-01 00:00:00
46160	3577953600	b'31.0'	2013-05-19 12:00:00
46164	3578126400	b'26.0'	2013-05-21 12:00:00
46167	3578256000	b'25.0'	2013-05-23 00:00:00
46170	3578385600	b'35.0'	2013-05-24 12:00:00
46206	3579940800	b'17.0'	2013-06-11 12:00:00
46223	3580675200	b'11.0'	2013-06-20 00:00:00
46233	3581107200	b'19.0'	2013-06-25 00:00:00
46346	3586118400	b'8.0'	2013-08-22 00:00:00
46354	3586464000	b'36.0'	2013-08-26 00:00:00
46392	3588192000	b'16.0'	2013-09-15 00:00:00
46641	3610180800	b'24.0'	2014-05-27 12:00:00
46697	3612772800	b'5.0'	2014-06-26 12:00:00
46704	3613334400	b'13.0'	2014-07-03 00:00:00
46720	3616185600	b'77.0'	2014-08-05 00:00:00
46976	3640636800	b'47.0'	2015-05-15 00:00:00
47669	3791538000	b'41.0'	2020-02-24 13:00:00
48150	3834864000	b'63.0'	2021-07-10 00:00:00
