	date_time	sensor_id	date_time_conv
0	1266616800	b'RZ3 '	1940-02-20 22:00:00
47277	3156753600	b'XXX '	2000-01-13 12:00:00
55625	3565944000	b'88.0'	2012-12-31 12:00:00
55627	3566030400	b'27.0'	2013-01-01 12:00:00
55630	3566160000	b'28.0'	2013-01-03 00:00:00
55737	3570782400	b'nan'	2013-02-25 12:00:00
55749	3571300800	b'29.0'	2013-03-03 12:00:00
55802	3573590400	b'89.0'	2013-03-30 00:00:00
55934	3579292800	b'58.0'	2013-06-04 00:00:00
56166	3589401600	b'99.0'	2013-09-29 00:00:00
57493	3650097600	b'62.0'	2015-09-01 12:00:00
57559	3652948800	b'69.0'	2015-10-04 12:00:00
57736	3660595200	b'90.0'	2016-01-01 00:00:00
60478	3780387000	b'162.'	2019-10-18 11:30:00
