	date_time	sensor_id	date_time_conv
0	1286056800	b'J56 '	1940-10-02 22:00:00
21846	2561414400	b'J80 '	1981-03-03 00:00:00
35936	2876774400	b'J8H '	1991-03-01 00:00:00
44354	3066033600	b'J94 '	1997-02-27 12:00:00
47633	3139776000	b'J99 '	1999-07-01 00:00:00
52683	3253046400	b'J9H '	2003-02-01 00:00:00
55696	3350160000	b'J0M '	2006-03-01 00:00:00
60794	3565944000	b'30.0'	2012-12-31 12:00:00
60840	3567931200	b'nan'	2013-01-23 12:00:00
61811	3610006260	b'130.'	2014-05-25 11:31:00
63892	3699518400	b'35.0'	2017-03-26 12:00:00
63933	3701331960	b'135.'	2017-04-16 11:46:00
