	date_time	sensor_id	date_time_conv
0	1798772400	b'V18 '	1957-01-01 03:00:00
18795	2399976000	b'V21 '	1976-01-20 12:00:00
26630	2570572800	b'V2_ '	1981-06-17 00:00:00
27426	2587809600	b'V8A '	1982-01-02 12:00:00
40615	2903839200	b'VB_ '	1992-01-08 06:00:00
42738	2980411200	b'MV3 '	1994-06-12 12:00:00
43141	2997864000	b'VC_ '	1994-12-31 12:00:00
56124	3565944000	b'81.0'	2012-12-31 12:00:00
56371	3576830400	b'nan'	2013-05-06 12:00:00
56375	3577089600	b'80.0'	2013-05-09 12:00:00
57651	3631390165	b'141.'	2015-01-27 23:29:25
57656	3631606164	b'142.'	2015-01-30 11:29:24
58644	3674635200	b'42.0'	2016-06-11 12:00:00
58973	3688799524	b'114.'	2016-11-22 10:32:04
