	date_time	sensor_id	date_time_conv
0	1846659600	b'V18 '	1958-07-09 09:00:00
10139	2527754400	b'V21 '	1980-02-07 10:00:00
13516	2686089600	b'V8A '	1985-02-13 00:00:00
17227	2783030400	b'XXX '	1988-03-11 00:00:00
27661	3251489100	b'VCG '	2003-01-13 23:25:00
29295	3327220800	b'VN8 '	2005-06-08 12:00:00
34661	3565944000	b'81.0'	2012-12-31 12:00:00
34684	3566937600	b'nan'	2013-01-12 00:00:00
38096	3720294905	b'141.'	2017-11-21 23:15:05
38098	3720381304	b'123.'	2017-11-22 23:15:04
38101	3720513600	b'23.0'	2017-11-24 12:00:00
39439	3779435706	b'124.'	2019-10-07 11:15:06
39852	3797366400	b'24.0'	2020-05-02 00:00:00
