	date_time	sensor_id	date_time_conv
0	1599501720	b'RA3 '	1950-09-08 18:02:00
12122	2325888000	b'RK5 '	1973-09-15 00:00:00
15325	2435097600	b'RA4 '	1977-03-02 00:00:00
19453	2725401600	b'MR5 '	1986-05-14 00:00:00
19471	2725833600	b'RRB '	1986-05-19 00:00:00
23312	2822774400	b'RR1 '	1989-06-14 00:00:00
23379	2824718400	b'MRr '	1989-07-06 12:00:00
24368	2858976000	b'RZ3 '	1990-08-07 00:00:00
24942	3135067200	b'XXX '	1999-05-07 12:00:00
29093	3565900800	b'89.0'	2012-12-31 00:00:00
29095	3566030400	b'58.0'	2013-01-01 12:00:00
29139	3567931200	b'nan'	2013-01-23 12:00:00
29181	3569745600	b'27.0'	2013-02-13 12:00:00
29282	3574108800	b'88.0'	2013-04-05 00:00:00
29288	3574368000	b'29.0'	2013-04-08 00:00:00
31701	3707078400	b'60.0'	2017-06-22 00:00:00
32687	3749803200	b'62.0'	2018-10-29 12:00:00
32688	3749846400	b'90.0'	2018-10-30 00:00:00
33047	3765396600	b'162.'	2019-04-27 23:30:00
33893	3805702200	b'69.0'	2020-08-06 11:30:00
34193	3820692600	b'160.'	2021-01-26 23:30:00
