	date_time	sensor_id	value
0	1941-12-02 23:00:00	ZH1 	1
1	1941-12-04 01:00:00	ZH1 	1
2	1941-12-05 23:00:00	ZH1 	1
3	1941-12-06 01:00:00	ZH1 	1
4	1941-12-06 23:00:00	ZH1 	1
5	1941-12-07 23:00:00	ZH1 	1
6	1941-12-08 23:00:00	ZH1 	1
7	1941-12-10 23:00:00	ZH1 	1
8	1941-12-11 23:00:00	ZH1 	1
9	1941-12-14 23:00:00	ZH1 	1
10	1941-12-16 23:00:00	ZH1 	1
11	1941-12-18 01:00:00	ZH1 	1
12	1941-12-19 01:00:00	ZH1 	1
13	1941-12-20 01:00:00	ZH1 	1
14	1941-12-21 01:00:00	ZH1 	1
15	1941-12-22 01:00:00	ZH1 	1
16	1941-12-23 01:00:00	ZH1 	1
17	1941-12-27 01:00:00	ZH1 	1
18	1942-01-03 01:00:00	ZH1 	1
19	1942-01-18 01:00:00	ZH1 	1
20	1942-01-23 01:00:00	ZH1 	1
21	1942-01-24 01:00:00	ZH1 	1
22	1942-01-25 01:00:00	ZH1 	1
23	1942-01-26 01:00:00	ZH1 	1
24	1942-01-27 01:00:00	ZH1 	1
25	1942-01-30 01:00:00	ZH1 	1
26	1942-02-10 01:00:00	ZH1 	1
27	1942-02-11 01:00:00	ZH1 	1
28	1942-02-16 01:00:00	ZH1 	1
29	1942-02-18 01:00:00	ZH1 	1
30	1942-02-19 01:00:00	ZH1 	1
31	1942-02-23 01:00:00	ZH1 	1
32	1942-02-24 01:00:00	ZH1 	1
33	1942-02-25 01:00:00	ZH1 	1
34	1942-03-01 01:00:00	ZH1 	1
35	1942-03-02 02:00:00	ZH1 	1
36	1942-03-04 02:00:00	ZH1 	1
37	1942-03-05 02:00:00	ZH1 	1
38	1942-03-06 02:00:00	ZH1 	1
39	1942-03-07 02:00:00	ZH1 	1
40	1942-03-08 02:00:00	ZH1 	1
41	1942-03-09 02:00:00	ZH1 	1
42	1942-03-10 02:00:00	ZH1 	1
43	1942-03-11 02:00:00	ZH1 	1
44	1942-03-13 02:00:00	ZH1 	1
45	1942-03-14 02:00:00	ZH1 	1
46	1942-03-16 02:00:00	ZH1 	1
