index	alternative_name	bbox_max_latitude	bbox_max_longitude	bbox_min_latitude	bbox_min_longitude	city	comment	contact	end_date	latitude	local_gravity	longitude	measuring_system_id	measuring_system_model	metadata_contact	metadata_contact_role	observed_variables	observing_frequency	operating_institute	operating_territory	optional_data	platform_sub_type	platform_type	primary_id	primary_id_scheme	record_number	reporting_time	role	secondary_id	start_date	station_abbreviation	station_automation	station_crs	station_name	station_type	telecommunication_method	file	secondary_id_scheme
b''	b'[]'	-37.23	145.5321825930105	-38.23	144.26780540698945	b'Melbourne'	b'NA'	b'NA'	b'1970-06-30'	-37.73	b'NA'	144.9	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1, 2, 29]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-94864'	b'5'	1343	63	b'NA'	b'1:94864'	b'1946-06-01'	b'[]'	1	0	b'COLDSTREAM'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-94864_CEUAS_merged_v0.nc	
b''	b'[]'	-3.2000000476837163	128.58104619880658	-4.200000047683717	127.5789574633028	b'Ambon'	b'NA'	b'NA'	b'1964-06-22'	-3.7	b'NA'	128.08	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 29]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-97724'	b'5'	3215	63	b'NA'	b'1:97724'	b'1954-07-04'	b'[]'	1	0	b'AMBON/PATTIMURA'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-97724_CEUAS_merged_v0.nc	
b''	b'[]'	22.879998999999998	58.06072818632534	21.879998999999998	56.97927181367467	b'Nizwa'	b'NA'	b'NA'	b'2006-03-12'	22.38	b'NA'	57.52	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-41264'	b'5'	1549	63	b'NA'	41264	b'2006-03-12'	b'[]'	1	0	b'ADAM AIRPORT'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-41264_CEUAS_merged_v0.nc	
b''	b'[]'	44.799999	144.09861781988496	43.799999	142.70137018011502	b'Mombetsu'	b'NA'	b'NA'	b'2016-03-25'	44.3	b'NA'	143.4	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-47474'	b'5'	2132	63	b'NA'	47474	b'2016-03-25'	b'[]'	1	0	b'MOMBETSU AIRPORT'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-47474_CEUAS_merged_v0.nc	
b''	b'[]'	21.379998999999998	96.41514043177305	20.379998999999998	95.34485356822695	b'Meiktila'	b'NA'	b'NA'	b'1945-04-25'	20.88	b'NA'	95.88	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-48053'	b'5'	1583	63	b'NA'	b'2:32953'	b'1945-03-23'	b'[]'	1	0	b'MEIKTILA'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-48053_CEUAS_merged_v0.nc	
b''	b'[]'	44.18000030517578	-0.3786362689848478	43.18000030517578	-1.7613638359193269	b'Dax'	b'NA'	b'NA'	b'1977-11-29'	43.68	b'NA'	-1.07	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1, 2, 59, 29]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-07603'	b'5'	157	63	b'NA'	b'07603'	b'1969-11-03'	b'[]'	1	0	b'DAX'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-07603_CEUAS_merged_v0.nc	
b''	b'[]'	70.0	-91.97227605018554	69.0	-94.82772700157228	b'Yellowknife'	b'NA'	b'NA'	b'1968-07-06'	69.5	b'NA'	-93.4	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1, 2, 59, 29]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-71580'	b'5'	6340	63	b'NA'	b'71914'	b'1962-10-22'	b'[]'	1	0	b'TALOYOAK A, NU'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-71580_CEUAS_merged_v0.nc	
b''	b'[]'	27.07	79.35904413956143	26.07	78.24096186043856	b'Bhind'	b'NA'	b'NA'	b'2019-10-27'	26.57	b'NA'	78.8	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-42364'	b'5'	1724	63	b'NA'	42358	b'2015-01-13'	b'[]'	1	0	b'ETAWAH'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-42364_CEUAS_merged_v0.nc	
b''	b'[]'	18.700001	-70.57366672313064	17.700001	-71.62632927686937	b'Barahona'	b'NA'	b'NA'	b'2002-10-20'	18.2	b'NA'	-71.1	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1, 2, 59, 29]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-78482'	b'5'	3871	63	b'NA'	78482	b'2002-10-20'	b'[]'	1	0	b'BARAHONA'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-78482_CEUAS_merged_v0.nc	
b''	b'[]'	47.97999954223633	22.38981145078885	46.97999954223633	20.91018778627169	b'Debrecen'	b'NA'	b'NA'	b'1976-07-05'	47.48	b'NA'	21.65	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1, 2, 29]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-12882'	b'5'	456	63	b'NA'	b'1:12882'	b'1954-01-02'	b'[]'	1	0	b'DEBRECEN repul\xc5\x91ter'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-12882_CEUAS_merged_v0.nc	
