level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max
0	0		MIDLAND/MIDLAND REG. AIRTERM	31.9425	-102.1892	874.9				72265	1930.0	2021.0	True	34.9		IGRA2	0-20300-0-72265	midland	24.9	31.9972222	-102.0775	USM00072265				
0	0	0-20000-0-72265	MIDLAND/MIDLAND REG. AIR TERM., TX.	31.9425	-102.18916666666667	874.1	Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), CLIMAT(C), RBSN(ST), GOS	31 56 33N	102 11 21W	72265	999.0	999.0	True	34.9		OSCAR	0-20000-0-72265	midland	24.9	31.9972222	-102.0775					
0	0		MIDLAND 2	32.03	-102.1	851.916				23013	19300601.0	19450930.0		27.9		WBAN	0-20500-0-23013	midland	24.9	31.9972222	-102.0775					
0	0		MIDLAND                  	31.933333333333334	-102.2	-999.0				72265				36.0		WMO	0-20700-0-72265	midland	24.9	31.9972222	-102.0775		72265	1361.0		
