level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max
0	0		ALTOONA FAA AIRPORT	40.3	-78.32	459.02880000000005				14736.0	19950101.0	19990714.0		21.1		0-20500-0-14736	WBAN	altoona	32.6	40.5186111	-78.395					
1	1		MARTINSBURG AP	40.3	-78.32	459.02880000000005				14736.0	19610601.0	19610606.0		21.1		0-20500-0-14736	WBAN	altoona	32.6	40.5186111	-78.395					
2	2		MARTINSBURG AP	40.3	-78.32	447.44640000000004				14736.0	19610101.0	19610601.0		21.1		0-20500-0-14736	WBAN	altoona	32.6	40.5186111	-78.395					
3	3		MARTINSBURG AP	40.3	-78.32	447.44640000000004				14736.0	19480501.0	19571201.0		21.1		0-20500-0-14736	WBAN	altoona	32.6	40.5186111	-78.395					
4	4		MARTINSBURG AP	40.3	-78.32	447.44640000000004				14736.0	19571201.0	19610101.0		21.1		0-20500-0-14736	WBAN	altoona	32.6	40.5186111	-78.395					
5	5		MARTINSBURG ALTOONA FAA AP	40.3	-78.32	459.02880000000005				14736.0	19610606.0	19770101.0		21.1		0-20500-0-14736	WBAN	altoona	32.6	40.5186111	-78.395					
6	6		ALTOONA BLAIR CO AP	40.3	-78.32	447.44640000000004				14736.0	19441002.0	19470801.0		21.1		0-20500-0-14736	WBAN	altoona	32.6	40.5186111	-78.395					
7	7		ALTOONA BLAIR CO AP	40.3	-78.32	447.44640000000004				14736.0	19470801.0	19480501.0		21.1		0-20500-0-14736	WBAN	altoona	32.6	40.5186111	-78.395					
8	8		ALTOONA BLAIR CO AP	40.3	-78.32	447.44640000000004				14736.0	19440201.0	19441002.0		21.1		0-20500-0-14736	WBAN	altoona	32.6	40.5186111	-78.395					
9	9		ALTOONA BLAIR CO AP	40.3	-78.32	447.44640000000004				14736.0	19380301.0	19440201.0		21.1		0-20500-0-14736	WBAN	altoona	32.6	40.5186111	-78.395					
10	10		ALTOONA FAA AIRPORT	40.3	-78.32	459.02880000000005				14736.0	19770101.0	19860117.0		21.1		0-20500-0-14736	WBAN	altoona	32.6	40.5186111	-78.395					
11	11		ALTOONA FAA AIRPORT	40.3	-78.32	459.02880000000005				14736.0	19860117.0	19950101.0		21.1		0-20500-0-14736	WBAN	altoona	32.6	40.5186111	-78.395					
12	12		ALTOONA FAA AIRPORT	40.3	-78.32	459.02880000000005				14736.0	19990714.0	99991231.0		21.1		0-20500-0-14736	WBAN	altoona	32.6	40.5186111	-78.395					
