level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max
0	0		KANSAS CITY	39.1167	-94.5833	228.6				13988	1926.0	1947.0	True	100.6		0-20300-0-13988	IGRA2	marshall	19.3	39.1230556	-93.1966667	USW00013988				
0	0		MARSHALL	39.12	-93.22	240.792				13991	19880601.0	19950401.0		17.3		0-20500-0-13991	WBAN	marshall	19.3	39.1230556	-93.1966667					
1	1		MARSHALL	39.13	-93.22	240.792				13991	20041227.0	99991231.0		17.3		0-20500-0-13991	WBAN	marshall	19.3	39.1230556	-93.1966667					
2	2		MARSHALL	39.13	-93.22	240.792				13991	20011119.0	20041227.0		17.3		0-20500-0-13991	WBAN	marshall	19.3	39.1230556	-93.1966667					
3	3		MARSHALL	39.12	-93.22	240.4872				13991	19950401.0	19970501.0		17.3		0-20500-0-13991	WBAN	marshall	19.3	39.1230556	-93.1966667					
4	4		MARSHALL	39.12	-93.22	240.792				13991	19831210.0	19880601.0		17.3		0-20500-0-13991	WBAN	marshall	19.3	39.1230556	-93.1966667					
5	5		MARSHALL	39.12	-93.21	240.792				13991	19970501.0	20011119.0		18.2		0-20500-0-13991	WBAN	marshall	19.3	39.1230556	-93.1966667					
6	6		MARSHALL CAA AIRPORT	39.1	-93.2	237.1344				13991	19471101.0	19471130.0		19.2		0-20500-0-13991	WBAN	marshall	19.3	39.1230556	-93.1966667					
7	7		MARSHALL	39.1	-93.2	237.1344				13991	19400101.0	19471101.0		19.2		0-20500-0-13991	WBAN	marshall	19.3	39.1230556	-93.1966667					
8	8		MARSHALL CAA AIRPORT	39.1	-93.2	237.1344				13991	19471130.0	19500501.0		19.2		0-20500-0-13991	WBAN	marshall	19.3	39.1230556	-93.1966667					
9	9		MARSHALL	39.12	-93.18	241.0968				13991	19511001.0	19820101.0		20.8		0-20500-0-13991	WBAN	marshall	19.3	39.1230556	-93.1966667					
10	10		MARSHALL CAA AIRPORT	39.12	-93.18	241.0968				13991	19500501.0	19500517.0		20.8		0-20500-0-13991	WBAN	marshall	19.3	39.1230556	-93.1966667					
11	11		MARSHALL	39.12	-93.18	241.0968				13991	19500531.0	19510930.0		20.8		0-20500-0-13991	WBAN	marshall	19.3	39.1230556	-93.1966667					
12	12		MARSHALL	39.12	-93.18	241.0968				13991	19500517.0	19500531.0		20.8		0-20500-0-13991	WBAN	marshall	19.3	39.1230556	-93.1966667					
13	13		MARSHALL	39.08	-93.18	241.0968				13991	19390101.0	19391231.0		21.2		0-20500-0-13991	WBAN	marshall	19.3	39.1230556	-93.1966667					
14	14		MARSHALL	39.08	-93.18	241.0968				13991	19291101.0	19390101.0		21.2		0-20500-0-13991	WBAN	marshall	19.3	39.1230556	-93.1966667					
