level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max
0	0		TULSA INTL ARPT(AW)	36.2	-95.883	195.0				72356	1931.0	1975.0	True	1.5		IGRA2	0-20300-0-72356	owasso	8.7	36.2694444	-95.8544444	USM00072356				
1	2		BROKEN ARROW	36.0833	-95.7833	235.0				03955	1918.0	1931.0	True	16.7		IGRA2	0-20300-0-03955	owasso	8.7	36.2694444	-95.8544444	USW00003955				
0	0	0-20000-0-72356	TULSA/INT., OK.	36.2	-95.88333333333334	195.0	Surface land meteorological station (SYNOP), GOS, RBSN(S)	36 12 00N	095 53 00W	72356	999.0	999.0	False	1.5		OSCAR	0-20000-0-72356	owasso	8.7	36.2694444	-95.8544444					
0	0		(assigned station ID) Broken Arrow kite station, OK	36.03	-95.82	-999.0				72356				20.2		SCHROEDER	0-20600-0-72356	owasso	8.7	36.2694444	-95.8544444		72356	2477.0	1918-08-16 00:00:00	1963-04-15 00:00:00
0	0		TULSA WB AIRPORT	36.2	-95.9	206.9592				13968	19631112.0	19690101.0		0.0		WBAN	0-20500-0-13968	owasso	8.7	36.2694444	-95.8544444					
1	1		TULSA WB AIRPORT	36.2	-95.9	206.0448				13968	19300307.0	19340101.0		0.0		WBAN	0-20500-0-13968	owasso	8.7	36.2694444	-95.8544444					
2	2		TULSA WB AIRPORT	36.2	-95.9	206.0448				13968	19340101.0	19390101.0		0.0		WBAN	0-20500-0-13968	owasso	8.7	36.2694444	-95.8544444					
3	3		TULSA WB AIRPORT	36.2	-95.9	206.0448				13968	19390101.0	19460801.0		0.0		WBAN	0-20500-0-13968	owasso	8.7	36.2694444	-95.8544444					
4	4		TULSA WB AIRPORT	36.2	-95.9	206.0448				13968	19460801.0	19460831.0		0.0		WBAN	0-20500-0-13968	owasso	8.7	36.2694444	-95.8544444					
5	5		TULSA WB AIRPORT	36.2	-95.9	206.0448				13968	19460831.0	19551231.0		0.0		WBAN	0-20500-0-13968	owasso	8.7	36.2694444	-95.8544444					
6	6		TULSA WB AIRPORT	36.2	-95.9	206.9592				13968	19690101.0	19700101.0		0.0		WBAN	0-20500-0-13968	owasso	8.7	36.2694444	-95.8544444					
7	7		TULSA INTL AP	36.2	-95.9	206.0448				13968	19300301.0	19300306.0		0.0		WBAN	0-20500-0-13968	owasso	8.7	36.2694444	-95.8544444					
8	8		TULSA WB AIRPORT	36.2	-95.9	203.9112				13968	19700101.0	19701003.0		0.0		WBAN	0-20500-0-13968	owasso	8.7	36.2694444	-95.8544444		72356.0			
9	9		TULSA WSO AIRPORT	36.2	-95.9	203.9112				13968	19701003.0	19730101.0		0.0		WBAN	0-20500-0-13968	owasso	8.7	36.2694444	-95.8544444		72356.0			
10	10		TULSA WSO AIRPORT	36.2	-95.9	203.9112				13968	19730101.0	19820101.0		0.0		WBAN	0-20500-0-13968	owasso	8.7	36.2694444	-95.8544444		72356.0			
11	11		TULSA WSO AIRPORT	36.2	-95.9	203.6064				13968	19820101.0	19880201.0		0.0		WBAN	0-20500-0-13968	owasso	8.7	36.2694444	-95.8544444		72356.0			
12	12		TULSA WSO AP	36.2	-95.9	203.6064				13968	19880201.0	19921001.0		0.0		WBAN	0-20500-0-13968	owasso	8.7	36.2694444	-95.8544444		72356.0			
13	13		TULSA WB AIRPORT	36.2	-95.9	206.9592				13968	19560101.0	19631112.0		0.0		WBAN	0-20500-0-13968	owasso	8.7	36.2694444	-95.8544444					
14	14		TULSA INTL AIRPORT	36.2	-95.89	203.6064				13968	19960226.0	99991231.0		0.9		WBAN	0-20500-0-13968	owasso	8.7	36.2694444	-95.8544444		72356.0			
15	15		TULSA WSO AP	36.2	-95.89	203.6064				13968	19921001.0	19950101.0		0.9		WBAN	0-20500-0-13968	owasso	8.7	36.2694444	-95.8544444		72356.0			
16	16		TULSA WSO AP	36.2	-95.89	203.6064				13968	19950101.0	19960226.0		0.9		WBAN	0-20500-0-13968	owasso	8.7	36.2694444	-95.8544444		72356.0			
17	17		BROKEN ARROW 2 SW	36.07	-95.8	228.90480000000002				3955	19680131.0	19690101.0		17.0		WBAN	0-20500-0-3955	owasso	8.7	36.2694444	-95.8544444					
18	18		BROKEN ARROW 2 SE	36.07	-95.8	228.90480000000002				3955	19680101.0	19680131.0		17.0		WBAN	0-20500-0-3955	owasso	8.7	36.2694444	-95.8544444					
19	19		TULSA JONES JR AP	36.04	-95.98	194.4624				53908	19970904.0	99991231.0		19.2		WBAN	0-20500-0-53908	owasso	8.7	36.2694444	-95.8544444					
20	20		BROKEN ARROW 2 SW	36.05	-95.78	235.0008				3955	19470701.0	19660301.0		19.8		WBAN	0-20500-0-3955	owasso	8.7	36.2694444	-95.8544444					
21	21		TULSA JONES JR AP	36.03	-95.98	190.1952				53908	19651001.0	19690101.0		20.2		WBAN	0-20500-0-53908	owasso	8.7	36.2694444	-95.8544444					
22	22		TULSA JONES JR AP	36.03	-95.98	190.5				53908	19811231.0	19930101.0		20.2		WBAN	0-20500-0-53908	owasso	8.7	36.2694444	-95.8544444					
23	23		TULSA JONES JR AP	36.03	-95.98	194.4624				53908	19930101.0	19950101.0		20.2		WBAN	0-20500-0-53908	owasso	8.7	36.2694444	-95.8544444					
24	24		BROKEN ARROW 2 SW	36.03	-95.82	210.0072				3955	19690101.0	19750721.0		20.2		WBAN	0-20500-0-3955	owasso	8.7	36.2694444	-95.8544444					
25	25		TULSA JONES JR AP	36.03	-95.98	194.4624				53908	19950101.0	19970904.0		20.2		WBAN	0-20500-0-53908	owasso	8.7	36.2694444	-95.8544444					
26	26		TULSA JONES JR AP	36.03	-95.98	190.5				53908	19690101.0	19811231.0		20.2		WBAN	0-20500-0-53908	owasso	8.7	36.2694444	-95.8544444					
27	27		BROKEN ARROW 2 SE	36.03	-95.77	213.9696				3955	19660301.0	19680101.0		22.2		WBAN	0-20500-0-3955	owasso	8.7	36.2694444	-95.8544444					
0	0		TULSA/WSO AP             	36.2	-95.9	-999.0				72356				0.0		WMO	0-20700-0-72356	owasso	8.7	36.2694444	-95.8544444		72356	2982.0		
